delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Mohammad Hafeez,KD Mills,0,Imran Nazir,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Pakistan,0,2012-09-23,male,T20,1,Pakistan,runs,13,0,0,0,0,Nasir Jamshed,20,New Zealand,Pakistan,Pakistan,bat,Pallekele International Cricket Stadium
0.2,Mohammad Hafeez,KD Mills,0,Imran Nazir,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Pakistan,0,2012-09-23,male,T20,1,Pakistan,runs,13,0,0,0,0,Nasir Jamshed,20,New Zealand,Pakistan,Pakistan,bat,Pallekele International Cricket Stadium
0.3,Mohammad Hafeez,KD Mills,0,Imran Nazir,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Pakistan,0,2012-09-23,male,T20,1,Pakistan,runs,13,0,0,0,0,Nasir Jamshed,20,New Zealand,Pakistan,Pakistan,bat,Pallekele International Cricket Stadium
0.4,Imran Nazir,KD Mills,0,Mohammad Hafeez,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Pakistan,0,2012-09-23,male,T20,1,Pakistan,runs,13,0,0,0,0,Nasir Jamshed,20,New Zealand,Pakistan,Pakistan,bat,Pallekele International Cricket Stadium
0.5,Imran Nazir,KD Mills,0,Mohammad Hafeez,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Pakistan,0,2012-09-23,male,T20,1,Pakistan,runs,13,0,0,0,0,Nasir Jamshed,20,New Zealand,Pakistan,Pakistan,bat,Pallekele International Cricket Stadium
0.6,Imran Nazir,KD Mills,0,Mohammad Hafeez,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Pakistan,0,2012-09-23,male,T20,1,Pakistan,runs,13,0,0,0,0,Nasir Jamshed,20,New Zealand,Pakistan,Pakistan,bat,Pallekele International Cricket Stadium
1.1,Mohammad Hafeez,DL Vettori,0,Imran Nazir,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Pakistan,0,2012-09-23,male,T20,1,Pakistan,runs,13,0,0,0,0,Nasir Jamshed,20,New Zealand,Pakistan,Pakistan,bat,Pallekele International Cricket Stadium
1.2,Mohammad Hafeez,DL Vettori,0,Imran Nazir,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0,0.0,0,0,0,0,0,6,0,6,Pakistan,0,2012-09-23,male,T20,1,Pakistan,runs,13,0,0,0,0,Nasir Jamshed,20,New Zealand,Pakistan,Pakistan,bat,Pallekele International Cricket Stadium
1.3,Mohammad Hafeez,DL Vettori,0,Imran Nazir,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Pakistan,0,2012-09-23,male,T20,1,Pakistan,runs,13,0,0,0,0,Nasir Jamshed,20,New Zealand,Pakistan,Pakistan,bat,Pallekele International Cricket Stadium
1.4,Mohammad Hafeez,DL Vettori,0,Imran Nazir,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Pakistan,0,2012-09-23,male,T20,1,Pakistan,runs,13,0,0,0,0,Nasir Jamshed,20,New Zealand,Pakistan,Pakistan,bat,Pallekele International Cricket Stadium
1.5,Mohammad Hafeez,DL Vettori,0,Imran Nazir,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Pakistan,0,2012-09-23,male,T20,1,Pakistan,runs,13,0,0,0,0,Nasir Jamshed,20,New Zealand,Pakistan,Pakistan,bat,Pallekele International Cricket Stadium
1.6,Mohammad Hafeez,DL Vettori,0,Imran Nazir,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Pakistan,0,2012-09-23,male,T20,1,Pakistan,runs,13,0,0,0,0,Nasir Jamshed,20,New Zealand,Pakistan,Pakistan,bat,Pallekele International Cricket Stadium
2.1,Imran Nazir,KD Mills,0,Mohammad Hafeez,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Pakistan,0,2012-09-23,male,T20,1,Pakistan,runs,13,0,0,0,0,Nasir Jamshed,20,New Zealand,Pakistan,Pakistan,bat,Pallekele International Cricket Stadium
2.2,Mohammad Hafeez,KD Mills,{'legbyes': 1},Imran Nazir,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0,1.0,0,0,0,0,0,0,1,1,Pakistan,0,2012-09-23,male,T20,1,Pakistan,runs,13,0,0,0,0,Nasir Jamshed,20,New Zealand,Pakistan,Pakistan,bat,Pallekele International Cricket Stadium
2.3,Imran Nazir,KD Mills,0,Mohammad Hafeez,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Pakistan,0,2012-09-23,male,T20,1,Pakistan,runs,13,0,0,0,0,Nasir Jamshed,20,New Zealand,Pakistan,Pakistan,bat,Pallekele International Cricket Stadium
2.4,Imran Nazir,KD Mills,0,Mohammad Hafeez,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Pakistan,0,2012-09-23,male,T20,1,Pakistan,runs,13,0,0,0,0,Nasir Jamshed,20,New Zealand,Pakistan,Pakistan,bat,Pallekele International Cricket Stadium
2.5,Imran Nazir,KD Mills,0,Mohammad Hafeez,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Pakistan,0,2012-09-23,male,T20,1,Pakistan,runs,13,0,0,0,0,Nasir Jamshed,20,New Zealand,Pakistan,Pakistan,bat,Pallekele International Cricket Stadium
