delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,SW Bates,S Ismail,0,SFM Devine,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
0.2,SW Bates,S Ismail,0,SFM Devine,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
0.3,SW Bates,S Ismail,0,SFM Devine,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
0.4,SW Bates,S Ismail,0,SFM Devine,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
0.5,SW Bates,S Ismail,0,SFM Devine,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
0.6,SW Bates,S Ismail,0,SFM Devine,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
1.1,SFM Devine,M Daniels,0,SW Bates,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
1.2,SFM Devine,M Daniels,0,SW Bates,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
1.3,SFM Devine,M Daniels,0,SW Bates,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
1.4,SFM Devine,M Daniels,0,SW Bates,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
1.5,SFM Devine,M Daniels,0,SW Bates,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
1.6,SFM Devine,M Daniels,0,SW Bates,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
2.1,SFM Devine,M Kapp,0,SW Bates,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
2.2,SFM Devine,M Kapp,0,SW Bates,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
2.3,SFM Devine,M Kapp,0,SW Bates,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
2.4,SW Bates,M Kapp,0,SFM Devine,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
2.5,SFM Devine,M Kapp,{'wides': 1},SW Bates,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
2.6,SFM Devine,M Kapp,0,SW Bates,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
2.7,SFM Devine,M Kapp,0,SW Bates,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
3.1,SW Bates,M Daniels,0,SFM Devine,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
3.2,SW Bates,M Daniels,0,SFM Devine,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
3.3,SW Bates,M Daniels,0,SFM Devine,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
3.4,SW Bates,M Daniels,0,SFM Devine,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
3.5,SW Bates,M Daniels,{'legbyes': 1},SFM Devine,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,1,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
3.6,SFM Devine,M Daniels,0,SW Bates,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
4.1,SW Bates,S Loubser,0,SFM Devine,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
4.2,SFM Devine,S Loubser,0,SW Bates,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
4.3,SFM Devine,S Loubser,0,SW Bates,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
4.4,SFM Devine,S Loubser,0,SW Bates,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
4.5,SW Bates,S Loubser,0,SFM Devine,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
4.6,SW Bates,S Loubser,0,SFM Devine,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
5.1,SW Bates,M Daniels,0,SFM Devine,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
5.2,SW Bates,M Daniels,0,SFM Devine,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
5.3,SFM Devine,M Daniels,0,SW Bates,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
5.4,SFM Devine,M Daniels,0,SW Bates,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
5.5,SFM Devine,M Daniels,0,SW Bates,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
5.6,SFM Devine,M Daniels,0,SW Bates,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
6.1,SW Bates,D van Niekerk,0,SFM Devine,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
6.2,SFM Devine,D van Niekerk,0,SW Bates,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
6.3,SW Bates,D van Niekerk,0,SFM Devine,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
6.4,SW Bates,D van Niekerk,0,SFM Devine,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
6.5,SFM Devine,D van Niekerk,0,SW Bates,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
6.6,SW Bates,D van Niekerk,0,SFM Devine,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['M du Preez'], 'kind': 'caught', 'player_out': 'SW Bates'}",0.0,0.0,0.0,0.0,0,caught,SW Bates,['M du Preez'],0,0,0,New Zealand,0,2014-03-31,female,T20,1,South Africa,wickets,5,0,0,0,0,M du Preez,20,New Zealand,South Africa,New Zealand,bat,Sylhet Stadium
