delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,MDKJ Perera,KD Mills,0,TM Dilshan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Sri Lanka,Chittagong,2014-03-31,male,T20,1,Sri Lanka,runs,59,0,0,0,0,HMRKB Herath,20,New Zealand,Sri Lanka,New Zealand,field,Zahur Ahmed Chowdhury Stadium
0.2,TM Dilshan,KD Mills,0,MDKJ Perera,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Sri Lanka,Chittagong,2014-03-31,male,T20,1,Sri Lanka,runs,59,0,0,0,0,HMRKB Herath,20,New Zealand,Sri Lanka,New Zealand,field,Zahur Ahmed Chowdhury Stadium
0.3,MDKJ Perera,KD Mills,0,TM Dilshan,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Sri Lanka,Chittagong,2014-03-31,male,T20,1,Sri Lanka,runs,59,0,0,0,0,HMRKB Herath,20,New Zealand,Sri Lanka,New Zealand,field,Zahur Ahmed Chowdhury Stadium
0.4,MDKJ Perera,KD Mills,0,TM Dilshan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Chittagong,2014-03-31,male,T20,1,Sri Lanka,runs,59,0,0,0,0,HMRKB Herath,20,New Zealand,Sri Lanka,New Zealand,field,Zahur Ahmed Chowdhury Stadium
0.5,MDKJ Perera,KD Mills,0,TM Dilshan,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Sri Lanka,Chittagong,2014-03-31,male,T20,1,Sri Lanka,runs,59,0,0,0,0,HMRKB Herath,20,New Zealand,Sri Lanka,New Zealand,field,Zahur Ahmed Chowdhury Stadium
0.6,MDKJ Perera,KD Mills,0,TM Dilshan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Chittagong,2014-03-31,male,T20,1,Sri Lanka,runs,59,0,0,0,0,HMRKB Herath,20,New Zealand,Sri Lanka,New Zealand,field,Zahur Ahmed Chowdhury Stadium
1.1,TM Dilshan,TA Boult,0,MDKJ Perera,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Sri Lanka,Chittagong,2014-03-31,male,T20,1,Sri Lanka,runs,59,0,0,0,0,HMRKB Herath,20,New Zealand,Sri Lanka,New Zealand,field,Zahur Ahmed Chowdhury Stadium
1.2,MDKJ Perera,TA Boult,0,TM Dilshan,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Sri Lanka,Chittagong,2014-03-31,male,T20,1,Sri Lanka,runs,59,0,0,0,0,HMRKB Herath,20,New Zealand,Sri Lanka,New Zealand,field,Zahur Ahmed Chowdhury Stadium
1.3,MDKJ Perera,TA Boult,0,TM Dilshan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Sri Lanka,Chittagong,2014-03-31,male,T20,1,Sri Lanka,runs,59,0,0,0,0,HMRKB Herath,20,New Zealand,Sri Lanka,New Zealand,field,Zahur Ahmed Chowdhury Stadium
1.4,TM Dilshan,TA Boult,{'noballs': 1},MDKJ Perera,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,1.0,0.0,0,0,0,0,0,0,1,1,Sri Lanka,Chittagong,2014-03-31,male,T20,1,Sri Lanka,runs,59,0,0,0,0,HMRKB Herath,20,New Zealand,Sri Lanka,New Zealand,field,Zahur Ahmed Chowdhury Stadium
1.5,TM Dilshan,TA Boult,0,MDKJ Perera,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Sri Lanka,Chittagong,2014-03-31,male,T20,1,Sri Lanka,runs,59,0,0,0,0,HMRKB Herath,20,New Zealand,Sri Lanka,New Zealand,field,Zahur Ahmed Chowdhury Stadium
1.6,MDKJ Perera,TA Boult,0,TM Dilshan,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['L Ronchi'], 'kind': 'caught', 'player_out': 'MDKJ Perera'}",0.0,0.0,0.0,0,0,caught,MDKJ Perera,['L Ronchi'],0,0,0,Sri Lanka,Chittagong,2014-03-31,male,T20,1,Sri Lanka,runs,59,0,0,0,0,HMRKB Herath,20,New Zealand,Sri Lanka,New Zealand,field,Zahur Ahmed Chowdhury Stadium
1.7,DPMD Jayawardene,TA Boult,0,TM Dilshan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Chittagong,2014-03-31,male,T20,1,Sri Lanka,runs,59,0,0,0,0,HMRKB Herath,20,New Zealand,Sri Lanka,New Zealand,field,Zahur Ahmed Chowdhury Stadium
2.1,TM Dilshan,KD Mills,0,DPMD Jayawardene,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Sri Lanka,Chittagong,2014-03-31,male,T20,1,Sri Lanka,runs,59,0,0,0,0,HMRKB Herath,20,New Zealand,Sri Lanka,New Zealand,field,Zahur Ahmed Chowdhury Stadium
2.2,TM Dilshan,KD Mills,0,DPMD Jayawardene,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Chittagong,2014-03-31,male,T20,1,Sri Lanka,runs,59,0,0,0,0,HMRKB Herath,20,New Zealand,Sri Lanka,New Zealand,field,Zahur Ahmed Chowdhury Stadium
2.3,TM Dilshan,KD Mills,0,DPMD Jayawardene,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Chittagong,2014-03-31,male,T20,1,Sri Lanka,runs,59,0,0,0,0,HMRKB Herath,20,New Zealand,Sri Lanka,New Zealand,field,Zahur Ahmed Chowdhury Stadium
2.4,TM Dilshan,KD Mills,0,DPMD Jayawardene,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Sri Lanka,Chittagong,2014-03-31,male,T20,1,Sri Lanka,runs,59,0,0,0,0,HMRKB Herath,20,New Zealand,Sri Lanka,New Zealand,field,Zahur Ahmed Chowdhury Stadium
