delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,HK Matthews,MJG Nielsen,0,SR Taylor,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,West Indies,Mumbai,2016-03-31,female,T20,1,West Indies,runs,6,0,0,0,0,B Cooper,20,New Zealand,West Indies,New Zealand,field,Wankhede Stadium
0.2,HK Matthews,MJG Nielsen,0,SR Taylor,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,West Indies,Mumbai,2016-03-31,female,T20,1,West Indies,runs,6,0,0,0,0,B Cooper,20,New Zealand,West Indies,New Zealand,field,Wankhede Stadium
0.3,SR Taylor,MJG Nielsen,0,HK Matthews,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,West Indies,Mumbai,2016-03-31,female,T20,1,West Indies,runs,6,0,0,0,0,B Cooper,20,New Zealand,West Indies,New Zealand,field,Wankhede Stadium
0.4,HK Matthews,MJG Nielsen,0,SR Taylor,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,West Indies,Mumbai,2016-03-31,female,T20,1,West Indies,runs,6,0,0,0,0,B Cooper,20,New Zealand,West Indies,New Zealand,field,Wankhede Stadium
0.5,HK Matthews,MJG Nielsen,0,SR Taylor,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,West Indies,Mumbai,2016-03-31,female,T20,1,West Indies,runs,6,0,0,0,0,B Cooper,20,New Zealand,West Indies,New Zealand,field,Wankhede Stadium
0.6,HK Matthews,MJG Nielsen,0,SR Taylor,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,West Indies,Mumbai,2016-03-31,female,T20,1,West Indies,runs,6,0,0,0,0,B Cooper,20,New Zealand,West Indies,New Zealand,field,Wankhede Stadium
1.1,HK Matthews,LMM Tahuhu,0,SR Taylor,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,West Indies,Mumbai,2016-03-31,female,T20,1,West Indies,runs,6,0,0,0,0,B Cooper,20,New Zealand,West Indies,New Zealand,field,Wankhede Stadium
1.2,HK Matthews,LMM Tahuhu,0,SR Taylor,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,West Indies,Mumbai,2016-03-31,female,T20,1,West Indies,runs,6,0,0,0,0,B Cooper,20,New Zealand,West Indies,New Zealand,field,Wankhede Stadium
1.3,HK Matthews,LMM Tahuhu,0,SR Taylor,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,West Indies,Mumbai,2016-03-31,female,T20,1,West Indies,runs,6,0,0,0,0,B Cooper,20,New Zealand,West Indies,New Zealand,field,Wankhede Stadium
1.4,HK Matthews,LMM Tahuhu,0,SR Taylor,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,West Indies,Mumbai,2016-03-31,female,T20,1,West Indies,runs,6,0,0,0,0,B Cooper,20,New Zealand,West Indies,New Zealand,field,Wankhede Stadium
1.5,HK Matthews,LMM Tahuhu,0,SR Taylor,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,West Indies,Mumbai,2016-03-31,female,T20,1,West Indies,runs,6,0,0,0,0,B Cooper,20,New Zealand,West Indies,New Zealand,field,Wankhede Stadium
1.6,HK Matthews,LMM Tahuhu,0,SR Taylor,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,West Indies,Mumbai,2016-03-31,female,T20,1,West Indies,runs,6,0,0,0,0,B Cooper,20,New Zealand,West Indies,New Zealand,field,Wankhede Stadium
2.1,HK Matthews,MJG Nielsen,0,SR Taylor,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,West Indies,Mumbai,2016-03-31,female,T20,1,West Indies,runs,6,0,0,0,0,B Cooper,20,New Zealand,West Indies,New Zealand,field,Wankhede Stadium
2.2,SR Taylor,MJG Nielsen,0,HK Matthews,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,West Indies,Mumbai,2016-03-31,female,T20,1,West Indies,runs,6,0,0,0,0,B Cooper,20,New Zealand,West Indies,New Zealand,field,Wankhede Stadium
