delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,T Taibu,NL McCullum,0,H Masakadza,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Zimbabwe,Guyana,2010-05-04,male,T20,1,New Zealand,runs,7,0,0,0,0,NL McCullum,20,New Zealand,Zimbabwe,New Zealand,field,Providence Stadium
0.2,H Masakadza,NL McCullum,0,T Taibu,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Zimbabwe,Guyana,2010-05-04,male,T20,1,New Zealand,runs,7,0,0,0,0,NL McCullum,20,New Zealand,Zimbabwe,New Zealand,field,Providence Stadium
0.3,H Masakadza,NL McCullum,0,T Taibu,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Zimbabwe,Guyana,2010-05-04,male,T20,1,New Zealand,runs,7,0,0,0,0,NL McCullum,20,New Zealand,Zimbabwe,New Zealand,field,Providence Stadium
0.4,H Masakadza,NL McCullum,0,T Taibu,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Zimbabwe,Guyana,2010-05-04,male,T20,1,New Zealand,runs,7,0,0,0,0,NL McCullum,20,New Zealand,Zimbabwe,New Zealand,field,Providence Stadium
0.5,H Masakadza,NL McCullum,0,T Taibu,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Zimbabwe,Guyana,2010-05-04,male,T20,1,New Zealand,runs,7,0,0,0,0,NL McCullum,20,New Zealand,Zimbabwe,New Zealand,field,Providence Stadium
0.6,T Taibu,NL McCullum,0,H Masakadza,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Zimbabwe,Guyana,2010-05-04,male,T20,1,New Zealand,runs,7,0,0,0,0,NL McCullum,20,New Zealand,Zimbabwe,New Zealand,field,Providence Stadium
1.1,H Masakadza,SE Bond,0,T Taibu,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Zimbabwe,Guyana,2010-05-04,male,T20,1,New Zealand,runs,7,0,0,0,0,NL McCullum,20,New Zealand,Zimbabwe,New Zealand,field,Providence Stadium
1.2,H Masakadza,SE Bond,0,T Taibu,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Zimbabwe,Guyana,2010-05-04,male,T20,1,New Zealand,runs,7,0,0,0,0,NL McCullum,20,New Zealand,Zimbabwe,New Zealand,field,Providence Stadium
1.3,H Masakadza,SE Bond,0,T Taibu,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Zimbabwe,Guyana,2010-05-04,male,T20,1,New Zealand,runs,7,0,0,0,0,NL McCullum,20,New Zealand,Zimbabwe,New Zealand,field,Providence Stadium
1.4,H Masakadza,SE Bond,0,T Taibu,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Zimbabwe,Guyana,2010-05-04,male,T20,1,New Zealand,runs,7,0,0,0,0,NL McCullum,20,New Zealand,Zimbabwe,New Zealand,field,Providence Stadium
1.5,T Taibu,SE Bond,{'wides': 1},H Masakadza,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0.0,0,0,0,0,0,1,1,Zimbabwe,Guyana,2010-05-04,male,T20,1,New Zealand,runs,7,0,0,0,0,NL McCullum,20,New Zealand,Zimbabwe,New Zealand,field,Providence Stadium
