delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Zeeshan Maqsood,MA Leask,{'wides': 1},A Poulose,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Oman,0,2017-01-19,male,T20,1,Scotland,wickets,7,0,0,0,0,MH Cross,20,Oman,Scotland,Oman,bat,Dubai International Cricket Stadium
0.2,Zeeshan Maqsood,MA Leask,0,A Poulose,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,0,2017-01-19,male,T20,1,Scotland,wickets,7,0,0,0,0,MH Cross,20,Oman,Scotland,Oman,bat,Dubai International Cricket Stadium
0.3,Zeeshan Maqsood,MA Leask,0,A Poulose,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,0,2017-01-19,male,T20,1,Scotland,wickets,7,0,0,0,0,MH Cross,20,Oman,Scotland,Oman,bat,Dubai International Cricket Stadium
0.4,Zeeshan Maqsood,MA Leask,0,A Poulose,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Oman,0,2017-01-19,male,T20,1,Scotland,wickets,7,0,0,0,0,MH Cross,20,Oman,Scotland,Oman,bat,Dubai International Cricket Stadium
0.5,Zeeshan Maqsood,MA Leask,0,A Poulose,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Oman,0,2017-01-19,male,T20,1,Scotland,wickets,7,0,0,0,0,MH Cross,20,Oman,Scotland,Oman,bat,Dubai International Cricket Stadium
0.6,A Poulose,MA Leask,0,Zeeshan Maqsood,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,0,2017-01-19,male,T20,1,Scotland,wickets,7,0,0,0,0,MH Cross,20,Oman,Scotland,Oman,bat,Dubai International Cricket Stadium
0.7,A Poulose,MA Leask,0,Zeeshan Maqsood,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,0,2017-01-19,male,T20,1,Scotland,wickets,7,0,0,0,0,MH Cross,20,Oman,Scotland,Oman,bat,Dubai International Cricket Stadium
1.1,Zeeshan Maqsood,SM Sharif,0,A Poulose,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,0,2017-01-19,male,T20,1,Scotland,wickets,7,0,0,0,0,MH Cross,20,Oman,Scotland,Oman,bat,Dubai International Cricket Stadium
1.2,Zeeshan Maqsood,SM Sharif,0,A Poulose,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,0,2017-01-19,male,T20,1,Scotland,wickets,7,0,0,0,0,MH Cross,20,Oman,Scotland,Oman,bat,Dubai International Cricket Stadium
1.3,Zeeshan Maqsood,SM Sharif,0,A Poulose,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,0,2017-01-19,male,T20,1,Scotland,wickets,7,0,0,0,0,MH Cross,20,Oman,Scotland,Oman,bat,Dubai International Cricket Stadium
