delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Salman Butt,Mashrafe Mortaza,0,Kamran Akmal,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Pakistan,Karachi,2008-04-20,male,T20,0,Pakistan,runs,102,0,0,0,0,Misbah-ul-Haq,20,Pakistan,Bangladesh,Pakistan,bat,National Stadium
0.2,Kamran Akmal,Mashrafe Mortaza,{'wides': 5},Salman Butt,"{'batsman': 0, 'extras': 5, 'total': 5}",0,5.0,0.0,0.0,0,0,0,0,0,0,5,5,Pakistan,Karachi,2008-04-20,male,T20,0,Pakistan,runs,102,0,0,0,0,Misbah-ul-Haq,20,Pakistan,Bangladesh,Pakistan,bat,National Stadium
0.3,Kamran Akmal,Mashrafe Mortaza,0,Salman Butt,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['Mahmudullah'], 'kind': 'run out', 'player_out': 'Salman Butt'}",0.0,0.0,0.0,0,0,run out,Salman Butt,['Mahmudullah'],0,0,0,Pakistan,Karachi,2008-04-20,male,T20,0,Pakistan,runs,102,0,0,0,0,Misbah-ul-Haq,20,Pakistan,Bangladesh,Pakistan,bat,National Stadium
0.4,Kamran Akmal,Mashrafe Mortaza,0,Younis Khan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Pakistan,Karachi,2008-04-20,male,T20,0,Pakistan,runs,102,0,0,0,0,Misbah-ul-Haq,20,Pakistan,Bangladesh,Pakistan,bat,National Stadium
0.5,Kamran Akmal,Mashrafe Mortaza,0,Younis Khan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Pakistan,Karachi,2008-04-20,male,T20,0,Pakistan,runs,102,0,0,0,0,Misbah-ul-Haq,20,Pakistan,Bangladesh,Pakistan,bat,National Stadium
0.6,Kamran Akmal,Mashrafe Mortaza,0,Younis Khan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Pakistan,Karachi,2008-04-20,male,T20,0,Pakistan,runs,102,0,0,0,0,Misbah-ul-Haq,20,Pakistan,Bangladesh,Pakistan,bat,National Stadium
0.7,Kamran Akmal,Mashrafe Mortaza,0,Younis Khan,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'Kamran Akmal'}",0.0,0.0,0.0,0,0,bowled,Kamran Akmal,0,0,0,0,Pakistan,Karachi,2008-04-20,male,T20,0,Pakistan,runs,102,0,0,0,0,Misbah-ul-Haq,20,Pakistan,Bangladesh,Pakistan,bat,National Stadium
1.1,Younis Khan,Shahadat Hossain,0,Misbah-ul-Haq,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Pakistan,Karachi,2008-04-20,male,T20,0,Pakistan,runs,102,0,0,0,0,Misbah-ul-Haq,20,Pakistan,Bangladesh,Pakistan,bat,National Stadium
1.2,Misbah-ul-Haq,Shahadat Hossain,0,Younis Khan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Pakistan,Karachi,2008-04-20,male,T20,0,Pakistan,runs,102,0,0,0,0,Misbah-ul-Haq,20,Pakistan,Bangladesh,Pakistan,bat,National Stadium
1.3,Younis Khan,Shahadat Hossain,0,Misbah-ul-Haq,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Pakistan,Karachi,2008-04-20,male,T20,0,Pakistan,runs,102,0,0,0,0,Misbah-ul-Haq,20,Pakistan,Bangladesh,Pakistan,bat,National Stadium
1.4,Younis Khan,Shahadat Hossain,0,Misbah-ul-Haq,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Pakistan,Karachi,2008-04-20,male,T20,0,Pakistan,runs,102,0,0,0,0,Misbah-ul-Haq,20,Pakistan,Bangladesh,Pakistan,bat,National Stadium
