delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Ahmed Shehzad,LL Tsotsobe,0,Sohaib Maqsood,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Pakistan,0,2013-11-13,male,T20,1,South Africa,wickets,9,0,0,0,0,DW Steyn,20,Pakistan,South Africa,Pakistan,bat,Dubai International Cricket Stadium
0.2,Ahmed Shehzad,LL Tsotsobe,0,Sohaib Maqsood,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Pakistan,0,2013-11-13,male,T20,1,South Africa,wickets,9,0,0,0,0,DW Steyn,20,Pakistan,South Africa,Pakistan,bat,Dubai International Cricket Stadium
0.3,Ahmed Shehzad,LL Tsotsobe,0,Sohaib Maqsood,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Pakistan,0,2013-11-13,male,T20,1,South Africa,wickets,9,0,0,0,0,DW Steyn,20,Pakistan,South Africa,Pakistan,bat,Dubai International Cricket Stadium
0.4,Ahmed Shehzad,LL Tsotsobe,0,Sohaib Maqsood,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Pakistan,0,2013-11-13,male,T20,1,South Africa,wickets,9,0,0,0,0,DW Steyn,20,Pakistan,South Africa,Pakistan,bat,Dubai International Cricket Stadium
0.5,Ahmed Shehzad,LL Tsotsobe,0,Sohaib Maqsood,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['HM Amla'], 'kind': 'caught', 'player_out': 'Ahmed Shehzad'}",0.0,0,0.0,0,0,caught,Ahmed Shehzad,['HM Amla'],0,0,0,Pakistan,0,2013-11-13,male,T20,1,South Africa,wickets,9,0,0,0,0,DW Steyn,20,Pakistan,South Africa,Pakistan,bat,Dubai International Cricket Stadium
0.6,Shahid Afridi,LL Tsotsobe,0,Sohaib Maqsood,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Pakistan,0,2013-11-13,male,T20,1,South Africa,wickets,9,0,0,0,0,DW Steyn,20,Pakistan,South Africa,Pakistan,bat,Dubai International Cricket Stadium
1.1,Sohaib Maqsood,DW Steyn,0,Shahid Afridi,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Pakistan,0,2013-11-13,male,T20,1,South Africa,wickets,9,0,0,0,0,DW Steyn,20,Pakistan,South Africa,Pakistan,bat,Dubai International Cricket Stadium
1.2,Sohaib Maqsood,DW Steyn,0,Shahid Afridi,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Pakistan,0,2013-11-13,male,T20,1,South Africa,wickets,9,0,0,0,0,DW Steyn,20,Pakistan,South Africa,Pakistan,bat,Dubai International Cricket Stadium
1.3,Sohaib Maqsood,DW Steyn,0,Shahid Afridi,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Pakistan,0,2013-11-13,male,T20,1,South Africa,wickets,9,0,0,0,0,DW Steyn,20,Pakistan,South Africa,Pakistan,bat,Dubai International Cricket Stadium
1.4,Sohaib Maqsood,DW Steyn,0,Shahid Afridi,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['Q de Kock'], 'kind': 'caught', 'player_out': 'Sohaib Maqsood'}",0.0,0,0.0,0,0,caught,Sohaib Maqsood,['Q de Kock'],0,0,0,Pakistan,0,2013-11-13,male,T20,1,South Africa,wickets,9,0,0,0,0,DW Steyn,20,Pakistan,South Africa,Pakistan,bat,Dubai International Cricket Stadium
1.5,Mohammad Hafeez,DW Steyn,0,Shahid Afridi,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Pakistan,0,2013-11-13,male,T20,1,South Africa,wickets,9,0,0,0,0,DW Steyn,20,Pakistan,South Africa,Pakistan,bat,Dubai International Cricket Stadium
1.6,Mohammad Hafeez,DW Steyn,0,Shahid Afridi,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['Q de Kock'], 'kind': 'caught', 'player_out': 'Mohammad Hafeez'}",0.0,0,0.0,0,0,caught,Mohammad Hafeez,['Q de Kock'],0,0,0,Pakistan,0,2013-11-13,male,T20,1,South Africa,wickets,9,0,0,0,0,DW Steyn,20,Pakistan,South Africa,Pakistan,bat,Dubai International Cricket Stadium
