delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,ST Jayasuriya,Shoaib Akhtar,0,ML Udawatte,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,King City,2008-10-11,male,T20,1,Pakistan,wickets,3,0,0,0,0,Shoaib Malik,20,Pakistan,Sri Lanka,Pakistan,field,Maple Leaf North-West Ground
0.2,ST Jayasuriya,Shoaib Akhtar,0,ML Udawatte,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Sri Lanka,King City,2008-10-11,male,T20,1,Pakistan,wickets,3,0,0,0,0,Shoaib Malik,20,Pakistan,Sri Lanka,Pakistan,field,Maple Leaf North-West Ground
0.3,ST Jayasuriya,Shoaib Akhtar,0,ML Udawatte,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Sri Lanka,King City,2008-10-11,male,T20,1,Pakistan,wickets,3,0,0,0,0,Shoaib Malik,20,Pakistan,Sri Lanka,Pakistan,field,Maple Leaf North-West Ground
0.4,ST Jayasuriya,Shoaib Akhtar,0,ML Udawatte,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['Sohail Tanvir'], 'kind': 'caught', 'player_out': 'ST Jayasuriya'}",0.0,0.0,0.0,0.0,0,caught,ST Jayasuriya,['Sohail Tanvir'],0,0,0,Sri Lanka,King City,2008-10-11,male,T20,1,Pakistan,wickets,3,0,0,0,0,Shoaib Malik,20,Pakistan,Sri Lanka,Pakistan,field,Maple Leaf North-West Ground
0.5,ML Udawatte,Shoaib Akhtar,0,J Mubarak,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,King City,2008-10-11,male,T20,1,Pakistan,wickets,3,0,0,0,0,Shoaib Malik,20,Pakistan,Sri Lanka,Pakistan,field,Maple Leaf North-West Ground
0.6,ML Udawatte,Shoaib Akhtar,0,J Mubarak,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,King City,2008-10-11,male,T20,1,Pakistan,wickets,3,0,0,0,0,Shoaib Malik,20,Pakistan,Sri Lanka,Pakistan,field,Maple Leaf North-West Ground
1.1,J Mubarak,Sohail Tanvir,0,ML Udawatte,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,King City,2008-10-11,male,T20,1,Pakistan,wickets,3,0,0,0,0,Shoaib Malik,20,Pakistan,Sri Lanka,Pakistan,field,Maple Leaf North-West Ground
1.2,J Mubarak,Sohail Tanvir,0,ML Udawatte,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,King City,2008-10-11,male,T20,1,Pakistan,wickets,3,0,0,0,0,Shoaib Malik,20,Pakistan,Sri Lanka,Pakistan,field,Maple Leaf North-West Ground
1.3,J Mubarak,Sohail Tanvir,0,ML Udawatte,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,King City,2008-10-11,male,T20,1,Pakistan,wickets,3,0,0,0,0,Shoaib Malik,20,Pakistan,Sri Lanka,Pakistan,field,Maple Leaf North-West Ground
1.4,J Mubarak,Sohail Tanvir,0,ML Udawatte,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,King City,2008-10-11,male,T20,1,Pakistan,wickets,3,0,0,0,0,Shoaib Malik,20,Pakistan,Sri Lanka,Pakistan,field,Maple Leaf North-West Ground
