delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,DA Warner,LL Tsotsobe,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Australia,Johannesburg,2011-10-16,male,T20,0,South Africa,wickets,3,0,0,0,0,J Theron,20,South Africa,Australia,Australia,bat,New Wanderers Stadium
0.2,DA Warner,LL Tsotsobe,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Australia,Johannesburg,2011-10-16,male,T20,0,South Africa,wickets,3,0,0,0,0,J Theron,20,South Africa,Australia,Australia,bat,New Wanderers Stadium
0.3,DA Warner,LL Tsotsobe,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Australia,Johannesburg,2011-10-16,male,T20,0,South Africa,wickets,3,0,0,0,0,J Theron,20,South Africa,Australia,Australia,bat,New Wanderers Stadium
0.4,DA Warner,LL Tsotsobe,{'wides': 1},MS Wade,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Australia,Johannesburg,2011-10-16,male,T20,0,South Africa,wickets,3,0,0,0,0,J Theron,20,South Africa,Australia,Australia,bat,New Wanderers Stadium
0.5,DA Warner,LL Tsotsobe,{'wides': 1},MS Wade,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Australia,Johannesburg,2011-10-16,male,T20,0,South Africa,wickets,3,0,0,0,0,J Theron,20,South Africa,Australia,Australia,bat,New Wanderers Stadium
0.6,DA Warner,LL Tsotsobe,{'legbyes': 1},MS Wade,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0,1.0,0,0,0,0,0,0,1,1,Australia,Johannesburg,2011-10-16,male,T20,0,South Africa,wickets,3,0,0,0,0,J Theron,20,South Africa,Australia,Australia,bat,New Wanderers Stadium
0.7,MS Wade,LL Tsotsobe,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Australia,Johannesburg,2011-10-16,male,T20,0,South Africa,wickets,3,0,0,0,0,J Theron,20,South Africa,Australia,Australia,bat,New Wanderers Stadium
0.8,MS Wade,LL Tsotsobe,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Australia,Johannesburg,2011-10-16,male,T20,0,South Africa,wickets,3,0,0,0,0,J Theron,20,South Africa,Australia,Australia,bat,New Wanderers Stadium
1.1,DA Warner,M Morkel,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Australia,Johannesburg,2011-10-16,male,T20,0,South Africa,wickets,3,0,0,0,0,J Theron,20,South Africa,Australia,Australia,bat,New Wanderers Stadium
1.2,DA Warner,M Morkel,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Australia,Johannesburg,2011-10-16,male,T20,0,South Africa,wickets,3,0,0,0,0,J Theron,20,South Africa,Australia,Australia,bat,New Wanderers Stadium
