delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,LE Bosman,Syed Rasel,0,HH Gibbs,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,South Africa,Johannesburg,2008-11-05,male,T20,0,South Africa,runs,12,0,0,0,0,Abdur Razzak,20,South Africa,Bangladesh,Bangladesh,field,New Wanderers Stadium
0.2,LE Bosman,Syed Rasel,0,HH Gibbs,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,South Africa,Johannesburg,2008-11-05,male,T20,0,South Africa,runs,12,0,0,0,0,Abdur Razzak,20,South Africa,Bangladesh,Bangladesh,field,New Wanderers Stadium
0.3,HH Gibbs,Syed Rasel,0,LE Bosman,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,South Africa,Johannesburg,2008-11-05,male,T20,0,South Africa,runs,12,0,0,0,0,Abdur Razzak,20,South Africa,Bangladesh,Bangladesh,field,New Wanderers Stadium
0.4,LE Bosman,Syed Rasel,0,HH Gibbs,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,South Africa,Johannesburg,2008-11-05,male,T20,0,South Africa,runs,12,0,0,0,0,Abdur Razzak,20,South Africa,Bangladesh,Bangladesh,field,New Wanderers Stadium
0.5,LE Bosman,Syed Rasel,0,HH Gibbs,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,South Africa,Johannesburg,2008-11-05,male,T20,0,South Africa,runs,12,0,0,0,0,Abdur Razzak,20,South Africa,Bangladesh,Bangladesh,field,New Wanderers Stadium
0.6,HH Gibbs,Syed Rasel,0,LE Bosman,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,South Africa,Johannesburg,2008-11-05,male,T20,0,South Africa,runs,12,0,0,0,0,Abdur Razzak,20,South Africa,Bangladesh,Bangladesh,field,New Wanderers Stadium
1.1,LE Bosman,Shahadat Hossain,0,HH Gibbs,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,South Africa,Johannesburg,2008-11-05,male,T20,0,South Africa,runs,12,0,0,0,0,Abdur Razzak,20,South Africa,Bangladesh,Bangladesh,field,New Wanderers Stadium
1.2,LE Bosman,Shahadat Hossain,0,HH Gibbs,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,South Africa,Johannesburg,2008-11-05,male,T20,0,South Africa,runs,12,0,0,0,0,Abdur Razzak,20,South Africa,Bangladesh,Bangladesh,field,New Wanderers Stadium
1.3,LE Bosman,Shahadat Hossain,0,HH Gibbs,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,South Africa,Johannesburg,2008-11-05,male,T20,0,South Africa,runs,12,0,0,0,0,Abdur Razzak,20,South Africa,Bangladesh,Bangladesh,field,New Wanderers Stadium
1.4,LE Bosman,Shahadat Hossain,0,HH Gibbs,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,South Africa,Johannesburg,2008-11-05,male,T20,0,South Africa,runs,12,0,0,0,0,Abdur Razzak,20,South Africa,Bangladesh,Bangladesh,field,New Wanderers Stadium
