delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,T Chetty,IT Guha,0,D van Niekerk,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,South Africa,Potchefstroom,2011-10-29,female,T20,0,0,0,0,0,0,0,0,0,20,South Africa,England,South Africa,bat,Senwes Park
0.2,T Chetty,IT Guha,0,D van Niekerk,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,South Africa,Potchefstroom,2011-10-29,female,T20,0,0,0,0,0,0,0,0,0,20,South Africa,England,South Africa,bat,Senwes Park
0.3,T Chetty,IT Guha,{'wides': 1},D van Niekerk,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0.0,0,0,0,0,0,1,1,South Africa,Potchefstroom,2011-10-29,female,T20,0,0,0,0,0,0,0,0,0,20,South Africa,England,South Africa,bat,Senwes Park
0.4,T Chetty,IT Guha,0,D van Niekerk,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,South Africa,Potchefstroom,2011-10-29,female,T20,0,0,0,0,0,0,0,0,0,20,South Africa,England,South Africa,bat,Senwes Park
0.5,D van Niekerk,IT Guha,0,T Chetty,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,South Africa,Potchefstroom,2011-10-29,female,T20,0,0,0,0,0,0,0,0,0,20,South Africa,England,South Africa,bat,Senwes Park
0.6,D van Niekerk,IT Guha,0,T Chetty,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,South Africa,Potchefstroom,2011-10-29,female,T20,0,0,0,0,0,0,0,0,0,20,South Africa,England,South Africa,bat,Senwes Park
0.7,T Chetty,IT Guha,0,D van Niekerk,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,South Africa,Potchefstroom,2011-10-29,female,T20,0,0,0,0,0,0,0,0,0,20,South Africa,England,South Africa,bat,Senwes Park
1.1,D van Niekerk,A Brindle,0,T Chetty,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,South Africa,Potchefstroom,2011-10-29,female,T20,0,0,0,0,0,0,0,0,0,20,South Africa,England,South Africa,bat,Senwes Park
1.2,T Chetty,A Brindle,0,D van Niekerk,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,South Africa,Potchefstroom,2011-10-29,female,T20,0,0,0,0,0,0,0,0,0,20,South Africa,England,South Africa,bat,Senwes Park
1.3,T Chetty,A Brindle,0,D van Niekerk,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['A Brindle'], 'kind': 'run out', 'player_out': 'T Chetty'}",0.0,0,0.0,0.0,0,run out,T Chetty,['A Brindle'],0,0,0,South Africa,Potchefstroom,2011-10-29,female,T20,0,0,0,0,0,0,0,0,0,20,South Africa,England,South Africa,bat,Senwes Park
1.4,K Thomson,A Brindle,0,D van Niekerk,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,South Africa,Potchefstroom,2011-10-29,female,T20,0,0,0,0,0,0,0,0,0,20,South Africa,England,South Africa,bat,Senwes Park
1.5,K Thomson,A Brindle,0,D van Niekerk,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,South Africa,Potchefstroom,2011-10-29,female,T20,0,0,0,0,0,0,0,0,0,20,South Africa,England,South Africa,bat,Senwes Park
