delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,RE Levi,P Kumar,0,JH Kallis,"{'batsman': 3, 'extras': 0, 'total': 3}",0,0.0,0,0.0,0,0,0,0,0,3,0,3,South Africa,Johannesburg,2012-03-30,male,T20,0,South Africa,runs,11,0,0,0,0,CA Ingram,20,South Africa,India,India,field,New Wanderers Stadium
0.2,JH Kallis,P Kumar,0,RE Levi,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,South Africa,Johannesburg,2012-03-30,male,T20,0,South Africa,runs,11,0,0,0,0,CA Ingram,20,South Africa,India,India,field,New Wanderers Stadium
0.3,JH Kallis,P Kumar,{'wides': 1},RE Levi,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,South Africa,Johannesburg,2012-03-30,male,T20,0,South Africa,runs,11,0,0,0,0,CA Ingram,20,South Africa,India,India,field,New Wanderers Stadium
0.4,JH Kallis,P Kumar,0,RE Levi,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,South Africa,Johannesburg,2012-03-30,male,T20,0,South Africa,runs,11,0,0,0,0,CA Ingram,20,South Africa,India,India,field,New Wanderers Stadium
0.5,RE Levi,P Kumar,0,JH Kallis,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,South Africa,Johannesburg,2012-03-30,male,T20,0,South Africa,runs,11,0,0,0,0,CA Ingram,20,South Africa,India,India,field,New Wanderers Stadium
0.6,RE Levi,P Kumar,0,JH Kallis,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,South Africa,Johannesburg,2012-03-30,male,T20,0,South Africa,runs,11,0,0,0,0,CA Ingram,20,South Africa,India,India,field,New Wanderers Stadium
0.7,RE Levi,P Kumar,0,JH Kallis,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,South Africa,Johannesburg,2012-03-30,male,T20,0,South Africa,runs,11,0,0,0,0,CA Ingram,20,South Africa,India,India,field,New Wanderers Stadium
1.1,JH Kallis,IK Pathan,0,RE Levi,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,South Africa,Johannesburg,2012-03-30,male,T20,0,South Africa,runs,11,0,0,0,0,CA Ingram,20,South Africa,India,India,field,New Wanderers Stadium
1.2,RE Levi,IK Pathan,0,JH Kallis,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,South Africa,Johannesburg,2012-03-30,male,T20,0,South Africa,runs,11,0,0,0,0,CA Ingram,20,South Africa,India,India,field,New Wanderers Stadium
1.3,RE Levi,IK Pathan,0,JH Kallis,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,South Africa,Johannesburg,2012-03-30,male,T20,0,South Africa,runs,11,0,0,0,0,CA Ingram,20,South Africa,India,India,field,New Wanderers Stadium
1.4,RE Levi,IK Pathan,0,JH Kallis,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['RG Sharma'], 'kind': 'caught', 'player_out': 'RE Levi'}",0.0,0,0.0,0,0,caught,RE Levi,['RG Sharma'],0,0,0,South Africa,Johannesburg,2012-03-30,male,T20,0,South Africa,runs,11,0,0,0,0,CA Ingram,20,South Africa,India,India,field,New Wanderers Stadium
1.5,CA Ingram,IK Pathan,0,JH Kallis,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,South Africa,Johannesburg,2012-03-30,male,T20,0,South Africa,runs,11,0,0,0,0,CA Ingram,20,South Africa,India,India,field,New Wanderers Stadium
