delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,RE Levi,MJ McClenaghan,0,H Davids,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,East London,2012-12-23,male,T20,0,New Zealand,wickets,8,0,0,0,0,MJ Guptill,20,South Africa,New Zealand,New Zealand,field,Buffalo Park
0.2,RE Levi,MJ McClenaghan,0,H Davids,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,East London,2012-12-23,male,T20,0,New Zealand,wickets,8,0,0,0,0,MJ Guptill,20,South Africa,New Zealand,New Zealand,field,Buffalo Park
0.3,RE Levi,MJ McClenaghan,0,H Davids,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,East London,2012-12-23,male,T20,0,New Zealand,wickets,8,0,0,0,0,MJ Guptill,20,South Africa,New Zealand,New Zealand,field,Buffalo Park
0.4,RE Levi,MJ McClenaghan,0,H Davids,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,East London,2012-12-23,male,T20,0,New Zealand,wickets,8,0,0,0,0,MJ Guptill,20,South Africa,New Zealand,New Zealand,field,Buffalo Park
0.5,RE Levi,MJ McClenaghan,0,H Davids,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,East London,2012-12-23,male,T20,0,New Zealand,wickets,8,0,0,0,0,MJ Guptill,20,South Africa,New Zealand,New Zealand,field,Buffalo Park
0.6,RE Levi,MJ McClenaghan,0,H Davids,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,East London,2012-12-23,male,T20,0,New Zealand,wickets,8,0,0,0,0,MJ Guptill,20,South Africa,New Zealand,New Zealand,field,Buffalo Park
1.1,RE Levi,RM Hira,0,H Davids,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,East London,2012-12-23,male,T20,0,New Zealand,wickets,8,0,0,0,0,MJ Guptill,20,South Africa,New Zealand,New Zealand,field,Buffalo Park
1.2,RE Levi,RM Hira,0,H Davids,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,East London,2012-12-23,male,T20,0,New Zealand,wickets,8,0,0,0,0,MJ Guptill,20,South Africa,New Zealand,New Zealand,field,Buffalo Park
1.3,RE Levi,RM Hira,0,H Davids,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,East London,2012-12-23,male,T20,0,New Zealand,wickets,8,0,0,0,0,MJ Guptill,20,South Africa,New Zealand,New Zealand,field,Buffalo Park
1.4,H Davids,RM Hira,0,RE Levi,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,East London,2012-12-23,male,T20,0,New Zealand,wickets,8,0,0,0,0,MJ Guptill,20,South Africa,New Zealand,New Zealand,field,Buffalo Park
