delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,GJ Maxwell,SMSM Senanayake,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Australia,0,2016-09-06,male,T20,0,Australia,runs,85,0,0,0,0,GJ Maxwell,20,Sri Lanka,Australia,Sri Lanka,field,Pallekele International Cricket Stadium
0.2,GJ Maxwell,SMSM Senanayake,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Australia,0,2016-09-06,male,T20,0,Australia,runs,85,0,0,0,0,GJ Maxwell,20,Sri Lanka,Australia,Sri Lanka,field,Pallekele International Cricket Stadium
0.3,GJ Maxwell,SMSM Senanayake,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Australia,0,2016-09-06,male,T20,0,Australia,runs,85,0,0,0,0,GJ Maxwell,20,Sri Lanka,Australia,Sri Lanka,field,Pallekele International Cricket Stadium
0.4,GJ Maxwell,SMSM Senanayake,0,DA Warner,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Australia,0,2016-09-06,male,T20,0,Australia,runs,85,0,0,0,0,GJ Maxwell,20,Sri Lanka,Australia,Sri Lanka,field,Pallekele International Cricket Stadium
0.5,DA Warner,SMSM Senanayake,0,GJ Maxwell,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Australia,0,2016-09-06,male,T20,0,Australia,runs,85,0,0,0,0,GJ Maxwell,20,Sri Lanka,Australia,Sri Lanka,field,Pallekele International Cricket Stadium
0.6,DA Warner,SMSM Senanayake,0,GJ Maxwell,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Australia,0,2016-09-06,male,T20,0,Australia,runs,85,0,0,0,0,GJ Maxwell,20,Sri Lanka,Australia,Sri Lanka,field,Pallekele International Cricket Stadium
1.1,GJ Maxwell,RAS Lakmal,{'wides': 1},DA Warner,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Australia,0,2016-09-06,male,T20,0,Australia,runs,85,0,0,0,0,GJ Maxwell,20,Sri Lanka,Australia,Sri Lanka,field,Pallekele International Cricket Stadium
1.2,GJ Maxwell,RAS Lakmal,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Australia,0,2016-09-06,male,T20,0,Australia,runs,85,0,0,0,0,GJ Maxwell,20,Sri Lanka,Australia,Sri Lanka,field,Pallekele International Cricket Stadium
1.3,GJ Maxwell,RAS Lakmal,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Australia,0,2016-09-06,male,T20,0,Australia,runs,85,0,0,0,0,GJ Maxwell,20,Sri Lanka,Australia,Sri Lanka,field,Pallekele International Cricket Stadium
1.4,GJ Maxwell,RAS Lakmal,0,DA Warner,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Australia,0,2016-09-06,male,T20,0,Australia,runs,85,0,0,0,0,GJ Maxwell,20,Sri Lanka,Australia,Sri Lanka,field,Pallekele International Cricket Stadium
1.5,DA Warner,RAS Lakmal,{'byes': 4},GJ Maxwell,"{'batsman': 0, 'extras': 4, 'total': 4}",0,0.0,0.0,0.0,4.0,0,0,0,0,0,4,4,Australia,0,2016-09-06,male,T20,0,Australia,runs,85,0,0,0,0,GJ Maxwell,20,Sri Lanka,Australia,Sri Lanka,field,Pallekele International Cricket Stadium
1.6,DA Warner,RAS Lakmal,0,GJ Maxwell,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Australia,0,2016-09-06,male,T20,0,Australia,runs,85,0,0,0,0,GJ Maxwell,20,Sri Lanka,Australia,Sri Lanka,field,Pallekele International Cricket Stadium
1.7,GJ Maxwell,RAS Lakmal,0,DA Warner,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Australia,0,2016-09-06,male,T20,0,Australia,runs,85,0,0,0,0,GJ Maxwell,20,Sri Lanka,Australia,Sri Lanka,field,Pallekele International Cricket Stadium
2.1,DA Warner,CAK Rajitha,0,GJ Maxwell,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Australia,0,2016-09-06,male,T20,0,Australia,runs,85,0,0,0,0,GJ Maxwell,20,Sri Lanka,Australia,Sri Lanka,field,Pallekele International Cricket Stadium
2.2,DA Warner,CAK Rajitha,0,GJ Maxwell,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Australia,0,2016-09-06,male,T20,0,Australia,runs,85,0,0,0,0,GJ Maxwell,20,Sri Lanka,Australia,Sri Lanka,field,Pallekele International Cricket Stadium
2.3,DA Warner,CAK Rajitha,0,GJ Maxwell,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Australia,0,2016-09-06,male,T20,0,Australia,runs,85,0,0,0,0,GJ Maxwell,20,Sri Lanka,Australia,Sri Lanka,field,Pallekele International Cricket Stadium
2.4,DA Warner,CAK Rajitha,0,GJ Maxwell,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Australia,0,2016-09-06,male,T20,0,Australia,runs,85,0,0,0,0,GJ Maxwell,20,Sri Lanka,Australia,Sri Lanka,field,Pallekele International Cricket Stadium
