delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Tamim Iqbal,SL Malinga,0,Soumya Sarkar,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Bangladesh,Colombo,2017-04-04,male,T20,0,Sri Lanka,wickets,6,0,0,0,0,MDKJ Perera,20,Sri Lanka,Bangladesh,Bangladesh,bat,R Premadasa Stadium
0.2,Tamim Iqbal,SL Malinga,0,Soumya Sarkar,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'Tamim Iqbal'}",0.0,0.0,0.0,0,0,bowled,Tamim Iqbal,0,0,0,0,Bangladesh,Colombo,2017-04-04,male,T20,0,Sri Lanka,wickets,6,0,0,0,0,MDKJ Perera,20,Sri Lanka,Bangladesh,Bangladesh,bat,R Premadasa Stadium
0.3,Sabbir Rahman,SL Malinga,0,Soumya Sarkar,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Bangladesh,Colombo,2017-04-04,male,T20,0,Sri Lanka,wickets,6,0,0,0,0,MDKJ Perera,20,Sri Lanka,Bangladesh,Bangladesh,bat,R Premadasa Stadium
0.4,Sabbir Rahman,SL Malinga,0,Soumya Sarkar,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Bangladesh,Colombo,2017-04-04,male,T20,0,Sri Lanka,wickets,6,0,0,0,0,MDKJ Perera,20,Sri Lanka,Bangladesh,Bangladesh,bat,R Premadasa Stadium
0.5,Sabbir Rahman,SL Malinga,{'wides': 5},Soumya Sarkar,"{'batsman': 0, 'extras': 5, 'total': 5}",0,5.0,0.0,0.0,0,0,0,0,0,0,5,5,Bangladesh,Colombo,2017-04-04,male,T20,0,Sri Lanka,wickets,6,0,0,0,0,MDKJ Perera,20,Sri Lanka,Bangladesh,Bangladesh,bat,R Premadasa Stadium
0.6,Sabbir Rahman,SL Malinga,0,Soumya Sarkar,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Bangladesh,Colombo,2017-04-04,male,T20,0,Sri Lanka,wickets,6,0,0,0,0,MDKJ Perera,20,Sri Lanka,Bangladesh,Bangladesh,bat,R Premadasa Stadium
0.7,Soumya Sarkar,SL Malinga,0,Sabbir Rahman,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Bangladesh,Colombo,2017-04-04,male,T20,0,Sri Lanka,wickets,6,0,0,0,0,MDKJ Perera,20,Sri Lanka,Bangladesh,Bangladesh,bat,R Premadasa Stadium
1.1,Sabbir Rahman,KMDN Kulasekara,0,Soumya Sarkar,"{'batsman': 3, 'extras': 0, 'total': 3}",0,0.0,0.0,0.0,0,0,0,0,0,3,0,3,Bangladesh,Colombo,2017-04-04,male,T20,0,Sri Lanka,wickets,6,0,0,0,0,MDKJ Perera,20,Sri Lanka,Bangladesh,Bangladesh,bat,R Premadasa Stadium
1.2,Soumya Sarkar,KMDN Kulasekara,0,Sabbir Rahman,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Bangladesh,Colombo,2017-04-04,male,T20,0,Sri Lanka,wickets,6,0,0,0,0,MDKJ Perera,20,Sri Lanka,Bangladesh,Bangladesh,bat,R Premadasa Stadium
1.3,Soumya Sarkar,KMDN Kulasekara,0,Sabbir Rahman,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Bangladesh,Colombo,2017-04-04,male,T20,0,Sri Lanka,wickets,6,0,0,0,0,MDKJ Perera,20,Sri Lanka,Bangladesh,Bangladesh,bat,R Premadasa Stadium
