delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,G Gambhir,AD Mathews,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,India,0,2012-08-07,male,T20,0,India,runs,39,0,0,0,0,IK Pathan,20,Sri Lanka,India,Sri Lanka,field,Pallekele International Cricket Stadium
0.2,G Gambhir,AD Mathews,0,AM Rahane,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,0,2012-08-07,male,T20,0,India,runs,39,0,0,0,0,IK Pathan,20,Sri Lanka,India,Sri Lanka,field,Pallekele International Cricket Stadium
0.3,AM Rahane,AD Mathews,0,G Gambhir,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,India,0,2012-08-07,male,T20,0,India,runs,39,0,0,0,0,IK Pathan,20,Sri Lanka,India,Sri Lanka,field,Pallekele International Cricket Stadium
0.4,AM Rahane,AD Mathews,0,G Gambhir,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,0,2012-08-07,male,T20,0,India,runs,39,0,0,0,0,IK Pathan,20,Sri Lanka,India,Sri Lanka,field,Pallekele International Cricket Stadium
0.5,G Gambhir,AD Mathews,0,AM Rahane,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,India,0,2012-08-07,male,T20,0,India,runs,39,0,0,0,0,IK Pathan,20,Sri Lanka,India,Sri Lanka,field,Pallekele International Cricket Stadium
0.6,G Gambhir,AD Mathews,0,AM Rahane,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,0,2012-08-07,male,T20,0,India,runs,39,0,0,0,0,IK Pathan,20,Sri Lanka,India,Sri Lanka,field,Pallekele International Cricket Stadium
1.1,G Gambhir,RMS Eranga,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,India,0,2012-08-07,male,T20,0,India,runs,39,0,0,0,0,IK Pathan,20,Sri Lanka,India,Sri Lanka,field,Pallekele International Cricket Stadium
1.2,G Gambhir,RMS Eranga,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,India,0,2012-08-07,male,T20,0,India,runs,39,0,0,0,0,IK Pathan,20,Sri Lanka,India,Sri Lanka,field,Pallekele International Cricket Stadium
1.3,G Gambhir,RMS Eranga,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,India,0,2012-08-07,male,T20,0,India,runs,39,0,0,0,0,IK Pathan,20,Sri Lanka,India,Sri Lanka,field,Pallekele International Cricket Stadium
1.4,G Gambhir,RMS Eranga,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'G Gambhir'}",0.0,0,0.0,0,0,bowled,G Gambhir,0,0,0,0,India,0,2012-08-07,male,T20,0,India,runs,39,0,0,0,0,IK Pathan,20,Sri Lanka,India,Sri Lanka,field,Pallekele International Cricket Stadium
1.5,V Kohli,RMS Eranga,{'wides': 1},AM Rahane,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,India,0,2012-08-07,male,T20,0,India,runs,39,0,0,0,0,IK Pathan,20,Sri Lanka,India,Sri Lanka,field,Pallekele International Cricket Stadium
1.6,V Kohli,RMS Eranga,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,India,0,2012-08-07,male,T20,0,India,runs,39,0,0,0,0,IK Pathan,20,Sri Lanka,India,Sri Lanka,field,Pallekele International Cricket Stadium
1.7,V Kohli,RMS Eranga,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,India,0,2012-08-07,male,T20,0,India,runs,39,0,0,0,0,IK Pathan,20,Sri Lanka,India,Sri Lanka,field,Pallekele International Cricket Stadium
2.1,AM Rahane,AD Mathews,0,V Kohli,"{'batsman': 3, 'extras': 0, 'total': 3}",0,0.0,0,0.0,0,0,0,0,0,3,0,3,India,0,2012-08-07,male,T20,0,India,runs,39,0,0,0,0,IK Pathan,20,Sri Lanka,India,Sri Lanka,field,Pallekele International Cricket Stadium
2.2,V Kohli,AD Mathews,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,India,0,2012-08-07,male,T20,0,India,runs,39,0,0,0,0,IK Pathan,20,Sri Lanka,India,Sri Lanka,field,Pallekele International Cricket Stadium
2.3,V Kohli,AD Mathews,0,AM Rahane,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,India,0,2012-08-07,male,T20,0,India,runs,39,0,0,0,0,IK Pathan,20,Sri Lanka,India,Sri Lanka,field,Pallekele International Cricket Stadium
2.4,V Kohli,AD Mathews,0,AM Rahane,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,India,0,2012-08-07,male,T20,0,India,runs,39,0,0,0,0,IK Pathan,20,Sri Lanka,India,Sri Lanka,field,Pallekele International Cricket Stadium
