delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,DPMD Jayawardene,Sohail Tanvir,0,TM Dilshan,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
0.2,DPMD Jayawardene,Sohail Tanvir,0,TM Dilshan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
0.3,DPMD Jayawardene,Sohail Tanvir,0,TM Dilshan,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['Shoaib Malik'], 'kind': 'caught', 'player_out': 'DPMD Jayawardene'}",0.0,0,0.0,0.0,0,caught,DPMD Jayawardene,['Shoaib Malik'],0,0,0,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
0.4,TM Dilshan,Sohail Tanvir,0,KC Sangakkara,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
0.5,TM Dilshan,Sohail Tanvir,0,KC Sangakkara,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
0.6,TM Dilshan,Sohail Tanvir,0,KC Sangakkara,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
1.1,TM Dilshan,Umar Gul,0,KC Sangakkara,"{'batsman': 3, 'extras': 0, 'total': 3}",0,0.0,0,0.0,0.0,0,0,0,0,3,0,3,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
1.2,KC Sangakkara,Umar Gul,0,TM Dilshan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
1.3,KC Sangakkara,Umar Gul,0,TM Dilshan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
1.4,TM Dilshan,Umar Gul,{'wides': 1},KC Sangakkara,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0.0,0,0,0,0,0,1,1,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
1.5,TM Dilshan,Umar Gul,0,KC Sangakkara,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
1.6,KC Sangakkara,Umar Gul,0,TM Dilshan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
1.7,KC Sangakkara,Umar Gul,0,TM Dilshan,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
2.1,TM Dilshan,Sohail Tanvir,0,KC Sangakkara,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
2.2,TM Dilshan,Sohail Tanvir,0,KC Sangakkara,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
2.3,TM Dilshan,Sohail Tanvir,0,KC Sangakkara,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['Umar Gul'], 'kind': 'caught', 'player_out': 'TM Dilshan'}",0.0,0,0.0,0.0,0,caught,TM Dilshan,['Umar Gul'],0,0,0,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
2.4,LD Chandimal,Sohail Tanvir,0,KC Sangakkara,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
2.5,LD Chandimal,Sohail Tanvir,0,KC Sangakkara,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
2.6,LD Chandimal,Sohail Tanvir,0,KC Sangakkara,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
3.1,LD Chandimal,Mohammad Sami,0,KC Sangakkara,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
3.2,KC Sangakkara,Mohammad Sami,0,LD Chandimal,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
3.3,KC Sangakkara,Mohammad Sami,0,LD Chandimal,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
3.4,KC Sangakkara,Mohammad Sami,0,LD Chandimal,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
3.5,KC Sangakkara,Mohammad Sami,0,LD Chandimal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
3.6,KC Sangakkara,Mohammad Sami,0,LD Chandimal,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
4.1,KC Sangakkara,Sohail Tanvir,0,LD Chandimal,"{'batsman': 3, 'extras': 0, 'total': 3}",0,0.0,0,0.0,0.0,0,0,0,0,3,0,3,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
4.2,LD Chandimal,Sohail Tanvir,0,KC Sangakkara,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
4.3,KC Sangakkara,Sohail Tanvir,0,LD Chandimal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
4.4,KC Sangakkara,Sohail Tanvir,{'wides': 1},LD Chandimal,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0.0,0,0,0,0,0,1,1,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
4.5,KC Sangakkara,Sohail Tanvir,0,LD Chandimal,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'KC Sangakkara'}",0.0,0,0.0,0.0,0,bowled,KC Sangakkara,0,0,0,0,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
4.6,AD Mathews,Sohail Tanvir,0,LD Chandimal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
4.7,AD Mathews,Sohail Tanvir,0,LD Chandimal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
5.1,LD Chandimal,Umar Gul,0,AD Mathews,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
5.2,LD Chandimal,Umar Gul,0,AD Mathews,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
5.3,AD Mathews,Umar Gul,0,LD Chandimal,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
5.4,LD Chandimal,Umar Gul,0,AD Mathews,"{'batsman': 3, 'extras': 0, 'total': 3}",0,0.0,0,0.0,0.0,0,0,0,0,3,0,3,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
5.5,AD Mathews,Umar Gul,0,LD Chandimal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
5.6,AD Mathews,Umar Gul,0,LD Chandimal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
6.1,LD Chandimal,Sohail Tanvir,0,AD Mathews,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
6.2,LD Chandimal,Sohail Tanvir,0,AD Mathews,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
6.3,LD Chandimal,Sohail Tanvir,0,AD Mathews,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
6.4,LD Chandimal,Sohail Tanvir,0,AD Mathews,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
6.5,LD Chandimal,Sohail Tanvir,0,AD Mathews,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
6.6,AD Mathews,Sohail Tanvir,0,LD Chandimal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Hambantota,2012-06-01,male,T20,0,Sri Lanka,runs,37,0,0,0,0,NLTC Perera,20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
