delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,LD Chandimal,Mohammad Naveed,0,TM Dilshan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Mirpur,2016-02-25,male,T20,1,Sri Lanka,runs,14,0,0,0,0,SL Malinga,20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Shere Bangla National Stadium
0.2,LD Chandimal,Mohammad Naveed,0,TM Dilshan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Mirpur,2016-02-25,male,T20,1,Sri Lanka,runs,14,0,0,0,0,SL Malinga,20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Shere Bangla National Stadium
0.3,LD Chandimal,Mohammad Naveed,0,TM Dilshan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sri Lanka,Mirpur,2016-02-25,male,T20,1,Sri Lanka,runs,14,0,0,0,0,SL Malinga,20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Shere Bangla National Stadium
0.4,TM Dilshan,Mohammad Naveed,0,LD Chandimal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Mirpur,2016-02-25,male,T20,1,Sri Lanka,runs,14,0,0,0,0,SL Malinga,20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Shere Bangla National Stadium
0.5,TM Dilshan,Mohammad Naveed,0,LD Chandimal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Mirpur,2016-02-25,male,T20,1,Sri Lanka,runs,14,0,0,0,0,SL Malinga,20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Shere Bangla National Stadium
0.6,TM Dilshan,Mohammad Naveed,0,LD Chandimal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Mirpur,2016-02-25,male,T20,1,Sri Lanka,runs,14,0,0,0,0,SL Malinga,20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Shere Bangla National Stadium
1.1,LD Chandimal,Qadeer Ahmed,0,TM Dilshan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Mirpur,2016-02-25,male,T20,1,Sri Lanka,runs,14,0,0,0,0,SL Malinga,20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Shere Bangla National Stadium
1.2,LD Chandimal,Qadeer Ahmed,0,TM Dilshan,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Sri Lanka,Mirpur,2016-02-25,male,T20,1,Sri Lanka,runs,14,0,0,0,0,SL Malinga,20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Shere Bangla National Stadium
1.3,LD Chandimal,Qadeer Ahmed,0,TM Dilshan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Mirpur,2016-02-25,male,T20,1,Sri Lanka,runs,14,0,0,0,0,SL Malinga,20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Shere Bangla National Stadium
1.4,LD Chandimal,Qadeer Ahmed,0,TM Dilshan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sri Lanka,Mirpur,2016-02-25,male,T20,1,Sri Lanka,runs,14,0,0,0,0,SL Malinga,20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Shere Bangla National Stadium
1.5,TM Dilshan,Qadeer Ahmed,0,LD Chandimal,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sri Lanka,Mirpur,2016-02-25,male,T20,1,Sri Lanka,runs,14,0,0,0,0,SL Malinga,20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Shere Bangla National Stadium
1.6,LD Chandimal,Qadeer Ahmed,0,TM Dilshan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Mirpur,2016-02-25,male,T20,1,Sri Lanka,runs,14,0,0,0,0,SL Malinga,20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Shere Bangla National Stadium
2.1,TM Dilshan,Mohammad Naveed,0,LD Chandimal,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Sri Lanka,Mirpur,2016-02-25,male,T20,1,Sri Lanka,runs,14,0,0,0,0,SL Malinga,20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Shere Bangla National Stadium
2.2,TM Dilshan,Mohammad Naveed,0,LD Chandimal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Mirpur,2016-02-25,male,T20,1,Sri Lanka,runs,14,0,0,0,0,SL Malinga,20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Shere Bangla National Stadium
2.3,TM Dilshan,Mohammad Naveed,0,LD Chandimal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Mirpur,2016-02-25,male,T20,1,Sri Lanka,runs,14,0,0,0,0,SL Malinga,20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Shere Bangla National Stadium
2.4,TM Dilshan,Mohammad Naveed,0,LD Chandimal,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Sri Lanka,Mirpur,2016-02-25,male,T20,1,Sri Lanka,runs,14,0,0,0,0,SL Malinga,20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Shere Bangla National Stadium
2.5,TM Dilshan,Mohammad Naveed,0,LD Chandimal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Mirpur,2016-02-25,male,T20,1,Sri Lanka,runs,14,0,0,0,0,SL Malinga,20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Shere Bangla National Stadium
2.6,TM Dilshan,Mohammad Naveed,0,LD Chandimal,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Sri Lanka,Mirpur,2016-02-25,male,T20,1,Sri Lanka,runs,14,0,0,0,0,SL Malinga,20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Shere Bangla National Stadium
3.1,LD Chandimal,Qadeer Ahmed,0,TM Dilshan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Mirpur,2016-02-25,male,T20,1,Sri Lanka,runs,14,0,0,0,0,SL Malinga,20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Shere Bangla National Stadium
3.2,LD Chandimal,Qadeer Ahmed,0,TM Dilshan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Mirpur,2016-02-25,male,T20,1,Sri Lanka,runs,14,0,0,0,0,SL Malinga,20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Shere Bangla National Stadium
3.3,LD Chandimal,Qadeer Ahmed,0,TM Dilshan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sri Lanka,Mirpur,2016-02-25,male,T20,1,Sri Lanka,runs,14,0,0,0,0,SL Malinga,20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Shere Bangla National Stadium
3.4,TM Dilshan,Qadeer Ahmed,0,LD Chandimal,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sri Lanka,Mirpur,2016-02-25,male,T20,1,Sri Lanka,runs,14,0,0,0,0,SL Malinga,20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Shere Bangla National Stadium
3.5,LD Chandimal,Qadeer Ahmed,0,TM Dilshan,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,6,Sri Lanka,Mirpur,2016-02-25,male,T20,1,Sri Lanka,runs,14,0,0,0,0,SL Malinga,20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Shere Bangla National Stadium
3.6,LD Chandimal,Qadeer Ahmed,0,TM Dilshan,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Sri Lanka,Mirpur,2016-02-25,male,T20,1,Sri Lanka,runs,14,0,0,0,0,SL Malinga,20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Shere Bangla National Stadium
4.1,TM Dilshan,Amjad Javed,0,LD Chandimal,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Sri Lanka,Mirpur,2016-02-25,male,T20,1,Sri Lanka,runs,14,0,0,0,0,SL Malinga,20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Shere Bangla National Stadium
4.2,TM Dilshan,Amjad Javed,0,LD Chandimal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Mirpur,2016-02-25,male,T20,1,Sri Lanka,runs,14,0,0,0,0,SL Malinga,20,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Shere Bangla National Stadium
