delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,J Charles,B Lee,{'wides': 1},DR Smith,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,West Indies,St Lucia,2012-03-27,male,T20,0,Australia,wickets,8,0,0,0,0,SR Watson,20,West Indies,Australia,West Indies,bat,"Beausejour Stadium, Gros Islet"
0.2,J Charles,B Lee,0,DR Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,West Indies,St Lucia,2012-03-27,male,T20,0,Australia,wickets,8,0,0,0,0,SR Watson,20,West Indies,Australia,West Indies,bat,"Beausejour Stadium, Gros Islet"
0.3,J Charles,B Lee,0,DR Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,West Indies,St Lucia,2012-03-27,male,T20,0,Australia,wickets,8,0,0,0,0,SR Watson,20,West Indies,Australia,West Indies,bat,"Beausejour Stadium, Gros Islet"
0.4,J Charles,B Lee,0,DR Smith,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,West Indies,St Lucia,2012-03-27,male,T20,0,Australia,wickets,8,0,0,0,0,SR Watson,20,West Indies,Australia,West Indies,bat,"Beausejour Stadium, Gros Islet"
0.5,DR Smith,B Lee,0,J Charles,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,West Indies,St Lucia,2012-03-27,male,T20,0,Australia,wickets,8,0,0,0,0,SR Watson,20,West Indies,Australia,West Indies,bat,"Beausejour Stadium, Gros Islet"
0.6,DR Smith,B Lee,0,J Charles,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,West Indies,St Lucia,2012-03-27,male,T20,0,Australia,wickets,8,0,0,0,0,SR Watson,20,West Indies,Australia,West Indies,bat,"Beausejour Stadium, Gros Islet"
0.7,DR Smith,B Lee,0,J Charles,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,West Indies,St Lucia,2012-03-27,male,T20,0,Australia,wickets,8,0,0,0,0,SR Watson,20,West Indies,Australia,West Indies,bat,"Beausejour Stadium, Gros Islet"
1.1,DR Smith,JL Pattinson,{'wides': 1},J Charles,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,West Indies,St Lucia,2012-03-27,male,T20,0,Australia,wickets,8,0,0,0,0,SR Watson,20,West Indies,Australia,West Indies,bat,"Beausejour Stadium, Gros Islet"
1.2,DR Smith,JL Pattinson,0,J Charles,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,West Indies,St Lucia,2012-03-27,male,T20,0,Australia,wickets,8,0,0,0,0,SR Watson,20,West Indies,Australia,West Indies,bat,"Beausejour Stadium, Gros Islet"
1.3,DR Smith,JL Pattinson,0,J Charles,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,West Indies,St Lucia,2012-03-27,male,T20,0,Australia,wickets,8,0,0,0,0,SR Watson,20,West Indies,Australia,West Indies,bat,"Beausejour Stadium, Gros Islet"
