delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,DR Smith,SCJ Broad,0,CH Gayle,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0,0.0,0.0,0.0,0,0,0,0,6,0,6,West Indies,Barbados,2014-03-09,male,T20,0,West Indies,runs,27,0,0,0,0,MN Samuels,20,West Indies,England,West Indies,bat,"Kensington Oval, Bridgetown"
0.2,DR Smith,SCJ Broad,0,CH Gayle,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,West Indies,Barbados,2014-03-09,male,T20,0,West Indies,runs,27,0,0,0,0,MN Samuels,20,West Indies,England,West Indies,bat,"Kensington Oval, Bridgetown"
0.3,DR Smith,SCJ Broad,0,CH Gayle,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0,0.0,0.0,0.0,0,0,0,0,4,0,4,West Indies,Barbados,2014-03-09,male,T20,0,West Indies,runs,27,0,0,0,0,MN Samuels,20,West Indies,England,West Indies,bat,"Kensington Oval, Bridgetown"
0.4,DR Smith,SCJ Broad,0,CH Gayle,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0,0.0,0.0,0.0,0,0,0,0,4,0,4,West Indies,Barbados,2014-03-09,male,T20,0,West Indies,runs,27,0,0,0,0,MN Samuels,20,West Indies,England,West Indies,bat,"Kensington Oval, Bridgetown"
0.5,DR Smith,SCJ Broad,0,CH Gayle,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0,0.0,0.0,0.0,0,0,0,0,4,0,4,West Indies,Barbados,2014-03-09,male,T20,0,West Indies,runs,27,0,0,0,0,MN Samuels,20,West Indies,England,West Indies,bat,"Kensington Oval, Bridgetown"
0.6,DR Smith,SCJ Broad,{'noballs': 1},CH Gayle,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0,1.0,0.0,0.0,0,0,0,0,0,1,1,West Indies,Barbados,2014-03-09,male,T20,0,West Indies,runs,27,0,0,0,0,MN Samuels,20,West Indies,England,West Indies,bat,"Kensington Oval, Bridgetown"
0.7,DR Smith,SCJ Broad,0,CH Gayle,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,West Indies,Barbados,2014-03-09,male,T20,0,West Indies,runs,27,0,0,0,0,MN Samuels,20,West Indies,England,West Indies,bat,"Kensington Oval, Bridgetown"
1.1,CH Gayle,JW Dernbach,0,DR Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,West Indies,Barbados,2014-03-09,male,T20,0,West Indies,runs,27,0,0,0,0,MN Samuels,20,West Indies,England,West Indies,bat,"Kensington Oval, Bridgetown"
1.2,CH Gayle,JW Dernbach,0,DR Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,West Indies,Barbados,2014-03-09,male,T20,0,West Indies,runs,27,0,0,0,0,MN Samuels,20,West Indies,England,West Indies,bat,"Kensington Oval, Bridgetown"
1.3,CH Gayle,JW Dernbach,0,DR Smith,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,West Indies,Barbados,2014-03-09,male,T20,0,West Indies,runs,27,0,0,0,0,MN Samuels,20,West Indies,England,West Indies,bat,"Kensington Oval, Bridgetown"
1.4,DR Smith,JW Dernbach,0,CH Gayle,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,West Indies,Barbados,2014-03-09,male,T20,0,West Indies,runs,27,0,0,0,0,MN Samuels,20,West Indies,England,West Indies,bat,"Kensington Oval, Bridgetown"
1.5,DR Smith,JW Dernbach,0,CH Gayle,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0,0.0,0.0,0.0,0,0,0,0,4,0,4,West Indies,Barbados,2014-03-09,male,T20,0,West Indies,runs,27,0,0,0,0,MN Samuels,20,West Indies,England,West Indies,bat,"Kensington Oval, Bridgetown"
1.6,DR Smith,JW Dernbach,0,CH Gayle,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,West Indies,Barbados,2014-03-09,male,T20,0,West Indies,runs,27,0,0,0,0,MN Samuels,20,West Indies,England,West Indies,bat,"Kensington Oval, Bridgetown"
