delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,SA Fritz,SL Munroe,0,TS Cordes,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,South Africa,St Lucia,2013-01-20,female,T20,0,West Indies,wickets,6,0,0,0,0,SF Daley,20,West Indies,South Africa,West Indies,field,"Beausejour Stadium, Gros Islet"
0.2,TS Cordes,SL Munroe,0,SA Fritz,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,South Africa,St Lucia,2013-01-20,female,T20,0,West Indies,wickets,6,0,0,0,0,SF Daley,20,West Indies,South Africa,West Indies,field,"Beausejour Stadium, Gros Islet"
0.3,TS Cordes,SL Munroe,0,SA Fritz,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,South Africa,St Lucia,2013-01-20,female,T20,0,West Indies,wickets,6,0,0,0,0,SF Daley,20,West Indies,South Africa,West Indies,field,"Beausejour Stadium, Gros Islet"
0.4,TS Cordes,SL Munroe,0,SA Fritz,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,South Africa,St Lucia,2013-01-20,female,T20,0,West Indies,wickets,6,0,0,0,0,SF Daley,20,West Indies,South Africa,West Indies,field,"Beausejour Stadium, Gros Islet"
0.5,TS Cordes,SL Munroe,0,SA Fritz,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,South Africa,St Lucia,2013-01-20,female,T20,0,West Indies,wickets,6,0,0,0,0,SF Daley,20,West Indies,South Africa,West Indies,field,"Beausejour Stadium, Gros Islet"
0.6,TS Cordes,SL Munroe,0,SA Fritz,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,South Africa,St Lucia,2013-01-20,female,T20,0,West Indies,wickets,6,0,0,0,0,SF Daley,20,West Indies,South Africa,West Indies,field,"Beausejour Stadium, Gros Islet"
1.1,SA Fritz,SF Daley,0,TS Cordes,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,South Africa,St Lucia,2013-01-20,female,T20,0,West Indies,wickets,6,0,0,0,0,SF Daley,20,West Indies,South Africa,West Indies,field,"Beausejour Stadium, Gros Islet"
1.2,SA Fritz,SF Daley,0,TS Cordes,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'lbw', 'player_out': 'SA Fritz'}",0.0,0,0.0,0.0,0,lbw,SA Fritz,0,0,0,0,South Africa,St Lucia,2013-01-20,female,T20,0,West Indies,wickets,6,0,0,0,0,SF Daley,20,West Indies,South Africa,West Indies,field,"Beausejour Stadium, Gros Islet"
1.3,M du Preez,SF Daley,0,TS Cordes,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,South Africa,St Lucia,2013-01-20,female,T20,0,West Indies,wickets,6,0,0,0,0,SF Daley,20,West Indies,South Africa,West Indies,field,"Beausejour Stadium, Gros Islet"
1.4,TS Cordes,SF Daley,0,M du Preez,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,South Africa,St Lucia,2013-01-20,female,T20,0,West Indies,wickets,6,0,0,0,0,SF Daley,20,West Indies,South Africa,West Indies,field,"Beausejour Stadium, Gros Islet"
1.5,TS Cordes,SF Daley,0,M du Preez,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,South Africa,St Lucia,2013-01-20,female,T20,0,West Indies,wickets,6,0,0,0,0,SF Daley,20,West Indies,South Africa,West Indies,field,"Beausejour Stadium, Gros Islet"
1.6,TS Cordes,SF Daley,0,M du Preez,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,South Africa,St Lucia,2013-01-20,female,T20,0,West Indies,wickets,6,0,0,0,0,SF Daley,20,West Indies,South Africa,West Indies,field,"Beausejour Stadium, Gros Islet"
2.1,M du Preez,SL Munroe,0,TS Cordes,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,South Africa,St Lucia,2013-01-20,female,T20,0,West Indies,wickets,6,0,0,0,0,SF Daley,20,West Indies,South Africa,West Indies,field,"Beausejour Stadium, Gros Islet"
2.2,M du Preez,SL Munroe,0,TS Cordes,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,South Africa,St Lucia,2013-01-20,female,T20,0,West Indies,wickets,6,0,0,0,0,SF Daley,20,West Indies,South Africa,West Indies,field,"Beausejour Stadium, Gros Islet"
2.3,M du Preez,SL Munroe,{'wides': 1},TS Cordes,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0.0,0,0,0,0,0,1,1,South Africa,St Lucia,2013-01-20,female,T20,0,West Indies,wickets,6,0,0,0,0,SF Daley,20,West Indies,South Africa,West Indies,field,"Beausejour Stadium, Gros Islet"
2.4,M du Preez,SL Munroe,0,TS Cordes,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,South Africa,St Lucia,2013-01-20,female,T20,0,West Indies,wickets,6,0,0,0,0,SF Daley,20,West Indies,South Africa,West Indies,field,"Beausejour Stadium, Gros Islet"
2.5,M du Preez,SL Munroe,0,TS Cordes,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,South Africa,St Lucia,2013-01-20,female,T20,0,West Indies,wickets,6,0,0,0,0,SF Daley,20,West Indies,South Africa,West Indies,field,"Beausejour Stadium, Gros Islet"
2.6,M du Preez,SL Munroe,0,TS Cordes,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,South Africa,St Lucia,2013-01-20,female,T20,0,West Indies,wickets,6,0,0,0,0,SF Daley,20,West Indies,South Africa,West Indies,field,"Beausejour Stadium, Gros Islet"
