delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Tamim Iqbal,P Utseya,{'wides': 1},Shamsur Rahman,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
0.2,Tamim Iqbal,P Utseya,0,Shamsur Rahman,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
0.3,Shamsur Rahman,P Utseya,0,Tamim Iqbal,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
0.4,Shamsur Rahman,P Utseya,0,Tamim Iqbal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
0.5,Shamsur Rahman,P Utseya,0,Tamim Iqbal,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['MN Waller'], 'kind': 'caught', 'player_out': 'Shamsur Rahman'}",0.0,0.0,0.0,0.0,0,caught,Shamsur Rahman,['MN Waller'],0,0,0,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
0.6,Tamim Iqbal,P Utseya,0,Shakib Al Hasan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
0.7,Tamim Iqbal,P Utseya,0,Shakib Al Hasan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
1.1,Shakib Al Hasan,BV Vitori,{'wides': 1},Tamim Iqbal,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
1.2,Shakib Al Hasan,BV Vitori,0,Tamim Iqbal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
1.3,Shakib Al Hasan,BV Vitori,0,Tamim Iqbal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
1.4,Shakib Al Hasan,BV Vitori,0,Tamim Iqbal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
1.5,Shakib Al Hasan,BV Vitori,0,Tamim Iqbal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
1.6,Shakib Al Hasan,BV Vitori,0,Tamim Iqbal,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
1.7,Shakib Al Hasan,BV Vitori,0,Tamim Iqbal,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
2.1,Shakib Al Hasan,SW Masakadza,{'noballs': 1},Tamim Iqbal,"{'batsman': 4, 'extras': 1, 'total': 5}",0,0.0,1.0,0.0,0.0,0,0,0,0,4,1,5,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
2.2,Shakib Al Hasan,SW Masakadza,0,Tamim Iqbal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
2.3,Shakib Al Hasan,SW Masakadza,0,Tamim Iqbal,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
2.4,Shakib Al Hasan,SW Masakadza,0,Tamim Iqbal,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
2.5,Shakib Al Hasan,SW Masakadza,0,Tamim Iqbal,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
2.6,Tamim Iqbal,SW Masakadza,0,Shakib Al Hasan,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
2.7,Tamim Iqbal,SW Masakadza,0,Shakib Al Hasan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
3.1,Shakib Al Hasan,BV Vitori,0,Tamim Iqbal,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
3.2,Shakib Al Hasan,BV Vitori,{'legbyes': 1},Tamim Iqbal,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,1,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
3.3,Tamim Iqbal,BV Vitori,0,Shakib Al Hasan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
3.4,Tamim Iqbal,BV Vitori,0,Shakib Al Hasan,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
3.5,Tamim Iqbal,BV Vitori,0,Shakib Al Hasan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
3.6,Tamim Iqbal,BV Vitori,0,Shakib Al Hasan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
4.1,Shakib Al Hasan,T Panyangara,0,Tamim Iqbal,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
4.2,Shakib Al Hasan,T Panyangara,0,Tamim Iqbal,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
4.3,Tamim Iqbal,T Panyangara,0,Shakib Al Hasan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
4.4,Tamim Iqbal,T Panyangara,0,Shakib Al Hasan,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
4.5,Tamim Iqbal,T Panyangara,0,Shakib Al Hasan,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
4.6,Tamim Iqbal,T Panyangara,0,Shakib Al Hasan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
5.1,Tamim Iqbal,P Utseya,0,Shakib Al Hasan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
5.2,Shakib Al Hasan,P Utseya,0,Tamim Iqbal,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
5.3,Tamim Iqbal,P Utseya,0,Shakib Al Hasan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Bangladesh,Bulawayo,2013-05-12,male,T20,0,Bangladesh,runs,34,0,0,0,0,Shakib Al Hasan,20,Zimbabwe,Bangladesh,Bangladesh,bat,Queens Sports Club
