delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,H Masakadza,KD Mills,0,CJ Chibhabha,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Zimbabwe,0,2011-10-15,male,T20,0,New Zealand,wickets,10,0,0,0,0,BB McCullum,20,Zimbabwe,New Zealand,New Zealand,field,Harare Sports Club
0.2,H Masakadza,KD Mills,0,CJ Chibhabha,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Zimbabwe,0,2011-10-15,male,T20,0,New Zealand,wickets,10,0,0,0,0,BB McCullum,20,Zimbabwe,New Zealand,New Zealand,field,Harare Sports Club
0.3,CJ Chibhabha,KD Mills,0,H Masakadza,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Zimbabwe,0,2011-10-15,male,T20,0,New Zealand,wickets,10,0,0,0,0,BB McCullum,20,Zimbabwe,New Zealand,New Zealand,field,Harare Sports Club
0.4,CJ Chibhabha,KD Mills,0,H Masakadza,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Zimbabwe,0,2011-10-15,male,T20,0,New Zealand,wickets,10,0,0,0,0,BB McCullum,20,Zimbabwe,New Zealand,New Zealand,field,Harare Sports Club
0.5,CJ Chibhabha,KD Mills,0,H Masakadza,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Zimbabwe,0,2011-10-15,male,T20,0,New Zealand,wickets,10,0,0,0,0,BB McCullum,20,Zimbabwe,New Zealand,New Zealand,field,Harare Sports Club
0.6,CJ Chibhabha,KD Mills,0,H Masakadza,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Zimbabwe,0,2011-10-15,male,T20,0,New Zealand,wickets,10,0,0,0,0,BB McCullum,20,Zimbabwe,New Zealand,New Zealand,field,Harare Sports Club
1.1,H Masakadza,DAJ Bracewell,0,CJ Chibhabha,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Zimbabwe,0,2011-10-15,male,T20,0,New Zealand,wickets,10,0,0,0,0,BB McCullum,20,Zimbabwe,New Zealand,New Zealand,field,Harare Sports Club
1.2,CJ Chibhabha,DAJ Bracewell,0,H Masakadza,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Zimbabwe,0,2011-10-15,male,T20,0,New Zealand,wickets,10,0,0,0,0,BB McCullum,20,Zimbabwe,New Zealand,New Zealand,field,Harare Sports Club
1.3,CJ Chibhabha,DAJ Bracewell,0,H Masakadza,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Zimbabwe,0,2011-10-15,male,T20,0,New Zealand,wickets,10,0,0,0,0,BB McCullum,20,Zimbabwe,New Zealand,New Zealand,field,Harare Sports Club
1.4,H Masakadza,DAJ Bracewell,0,CJ Chibhabha,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Zimbabwe,0,2011-10-15,male,T20,0,New Zealand,wickets,10,0,0,0,0,BB McCullum,20,Zimbabwe,New Zealand,New Zealand,field,Harare Sports Club
