delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Ahmed Shehzad,P Utseya,0,Mukhtar Ahmed,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,Pakistan,0,2015-09-27,male,T20,0,Pakistan,runs,13,0,0,0,0,Imad Wasim,20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
0.2,Ahmed Shehzad,P Utseya,0,Mukhtar Ahmed,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4.0,0.0,4.0,Pakistan,0,2015-09-27,male,T20,0,Pakistan,runs,13,0,0,0,0,Imad Wasim,20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
0.3,Ahmed Shehzad,P Utseya,0,Mukhtar Ahmed,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,Pakistan,0,2015-09-27,male,T20,0,Pakistan,runs,13,0,0,0,0,Imad Wasim,20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
0.4,Ahmed Shehzad,P Utseya,0,Mukhtar Ahmed,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,Pakistan,0,2015-09-27,male,T20,0,Pakistan,runs,13,0,0,0,0,Imad Wasim,20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
0.5,Ahmed Shehzad,P Utseya,0,Mukhtar Ahmed,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,Pakistan,0,2015-09-27,male,T20,0,Pakistan,runs,13,0,0,0,0,Imad Wasim,20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
0.6,Ahmed Shehzad,P Utseya,0,Mukhtar Ahmed,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2.0,0.0,2.0,Pakistan,0,2015-09-27,male,T20,0,Pakistan,runs,13,0,0,0,0,Imad Wasim,20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
1.1,Mukhtar Ahmed,CJ Chibhabha,0,Ahmed Shehzad,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1.0,0.0,1.0,Pakistan,0,2015-09-27,male,T20,0,Pakistan,runs,13,0,0,0,0,Imad Wasim,20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
1.2,Ahmed Shehzad,CJ Chibhabha,0,Mukhtar Ahmed,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1.0,0.0,1.0,Pakistan,0,2015-09-27,male,T20,0,Pakistan,runs,13,0,0,0,0,Imad Wasim,20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
1.3,Mukhtar Ahmed,CJ Chibhabha,0,Ahmed Shehzad,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2.0,0.0,2.0,Pakistan,0,2015-09-27,male,T20,0,Pakistan,runs,13,0,0,0,0,Imad Wasim,20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
1.4,Mukhtar Ahmed,CJ Chibhabha,0,Ahmed Shehzad,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1.0,0.0,1.0,Pakistan,0,2015-09-27,male,T20,0,Pakistan,runs,13,0,0,0,0,Imad Wasim,20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
1.5,Ahmed Shehzad,CJ Chibhabha,0,Mukhtar Ahmed,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4.0,0.0,4.0,Pakistan,0,2015-09-27,male,T20,0,Pakistan,runs,13,0,0,0,0,Imad Wasim,20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
1.6,Ahmed Shehzad,CJ Chibhabha,0,Mukhtar Ahmed,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1.0,0.0,1.0,Pakistan,0,2015-09-27,male,T20,0,Pakistan,runs,13,0,0,0,0,Imad Wasim,20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
2.1,Ahmed Shehzad,T Panyangara,0,Mukhtar Ahmed,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,Pakistan,0,2015-09-27,male,T20,0,Pakistan,runs,13,0,0,0,0,Imad Wasim,20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
2.2,Ahmed Shehzad,T Panyangara,0,Mukhtar Ahmed,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,Pakistan,0,2015-09-27,male,T20,0,Pakistan,runs,13,0,0,0,0,Imad Wasim,20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
2.3,Ahmed Shehzad,T Panyangara,0,Mukhtar Ahmed,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4.0,0.0,4.0,Pakistan,0,2015-09-27,male,T20,0,Pakistan,runs,13,0,0,0,0,Imad Wasim,20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
2.4,Ahmed Shehzad,T Panyangara,0,Mukhtar Ahmed,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,Pakistan,0,2015-09-27,male,T20,0,Pakistan,runs,13,0,0,0,0,Imad Wasim,20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
2.5,Ahmed Shehzad,T Panyangara,0,Mukhtar Ahmed,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,Pakistan,0,2015-09-27,male,T20,0,Pakistan,runs,13,0,0,0,0,Imad Wasim,20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
2.6,Ahmed Shehzad,T Panyangara,0,Mukhtar Ahmed,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1.0,0.0,1.0,Pakistan,0,2015-09-27,male,T20,0,Pakistan,runs,13,0,0,0,0,Imad Wasim,20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
3.1,Ahmed Shehzad,CJ Chibhabha,0,Mukhtar Ahmed,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,Pakistan,0,2015-09-27,male,T20,0,Pakistan,runs,13,0,0,0,0,Imad Wasim,20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
3.2,Ahmed Shehzad,CJ Chibhabha,0,Mukhtar Ahmed,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,Pakistan,0,2015-09-27,male,T20,0,Pakistan,runs,13,0,0,0,0,Imad Wasim,20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
3.3,Ahmed Shehzad,CJ Chibhabha,0,Mukhtar Ahmed,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,Pakistan,0,2015-09-27,male,T20,0,Pakistan,runs,13,0,0,0,0,Imad Wasim,20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
3.4,Ahmed Shehzad,CJ Chibhabha,0,Mukhtar Ahmed,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'Ahmed Shehzad'}",0.0,0.0,0.0,0,0,bowled,Ahmed Shehzad,0,0.0,0.0,0.0,Pakistan,0,2015-09-27,male,T20,0,Pakistan,runs,13,0,0,0,0,Imad Wasim,20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
3.5,Sohaib Maqsood,CJ Chibhabha,0,Mukhtar Ahmed,"{'batsman': 3, 'extras': 0, 'total': 3}",0,0.0,0.0,0.0,0,0,0,0,0,3.0,0.0,3.0,Pakistan,0,2015-09-27,male,T20,0,Pakistan,runs,13,0,0,0,0,Imad Wasim,20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
3.6,Mukhtar Ahmed,CJ Chibhabha,{'wides': 1},Sohaib Maqsood,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0.0,1.0,1.0,Pakistan,0,2015-09-27,male,T20,0,Pakistan,runs,13,0,0,0,0,Imad Wasim,20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
3.7,Mukhtar Ahmed,CJ Chibhabha,0,Sohaib Maqsood,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['H Masakadza'], 'kind': 'caught', 'player_out': 'Mukhtar Ahmed'}",0.0,0.0,0.0,0,0,caught,Mukhtar Ahmed,['H Masakadza'],0.0,0.0,0.0,Pakistan,0,2015-09-27,male,T20,0,Pakistan,runs,13,0,0,0,0,Imad Wasim,20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
