,delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0,0.1,Karim Sadiq,H Osinde,0,Shabir Noori,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Afghanistan,Dubai,2012-03-18,male,T20,1,Afghanistan,runs,41,0,0,0,0,Samiullah Shenwari,20,Afghanistan,Canada,Afghanistan,bat,ICC Global Cricket Academy
1,0.2,Karim Sadiq,H Osinde,0,Shabir Noori,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Afghanistan,Dubai,2012-03-18,male,T20,1,Afghanistan,runs,41,0,0,0,0,Samiullah Shenwari,20,Afghanistan,Canada,Afghanistan,bat,ICC Global Cricket Academy
2,0.3,Karim Sadiq,H Osinde,0,Shabir Noori,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Afghanistan,Dubai,2012-03-18,male,T20,1,Afghanistan,runs,41,0,0,0,0,Samiullah Shenwari,20,Afghanistan,Canada,Afghanistan,bat,ICC Global Cricket Academy
3,0.4,Karim Sadiq,H Osinde,0,Shabir Noori,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Afghanistan,Dubai,2012-03-18,male,T20,1,Afghanistan,runs,41,0,0,0,0,Samiullah Shenwari,20,Afghanistan,Canada,Afghanistan,bat,ICC Global Cricket Academy
4,0.5,Shabir Noori,H Osinde,0,Karim Sadiq,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Afghanistan,Dubai,2012-03-18,male,T20,1,Afghanistan,runs,41,0,0,0,0,Samiullah Shenwari,20,Afghanistan,Canada,Afghanistan,bat,ICC Global Cricket Academy
5,0.6,Shabir Noori,H Osinde,0,Karim Sadiq,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Afghanistan,Dubai,2012-03-18,male,T20,1,Afghanistan,runs,41,0,0,0,0,Samiullah Shenwari,20,Afghanistan,Canada,Afghanistan,bat,ICC Global Cricket Academy
6,1.1,Karim Sadiq,Junaid Siddiqui,0,Shabir Noori,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Afghanistan,Dubai,2012-03-18,male,T20,1,Afghanistan,runs,41,0,0,0,0,Samiullah Shenwari,20,Afghanistan,Canada,Afghanistan,bat,ICC Global Cricket Academy
7,1.2,Karim Sadiq,Junaid Siddiqui,0,Shabir Noori,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Afghanistan,Dubai,2012-03-18,male,T20,1,Afghanistan,runs,41,0,0,0,0,Samiullah Shenwari,20,Afghanistan,Canada,Afghanistan,bat,ICC Global Cricket Academy
8,1.3,Karim Sadiq,Junaid Siddiqui,0,Shabir Noori,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Afghanistan,Dubai,2012-03-18,male,T20,1,Afghanistan,runs,41,0,0,0,0,Samiullah Shenwari,20,Afghanistan,Canada,Afghanistan,bat,ICC Global Cricket Academy
9,1.4,Karim Sadiq,Junaid Siddiqui,{'wides': 1},Shabir Noori,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Afghanistan,Dubai,2012-03-18,male,T20,1,Afghanistan,runs,41,0,0,0,0,Samiullah Shenwari,20,Afghanistan,Canada,Afghanistan,bat,ICC Global Cricket Academy
10,1.5,Karim Sadiq,Junaid Siddiqui,0,Shabir Noori,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Afghanistan,Dubai,2012-03-18,male,T20,1,Afghanistan,runs,41,0,0,0,0,Samiullah Shenwari,20,Afghanistan,Canada,Afghanistan,bat,ICC Global Cricket Academy
11,1.6,Karim Sadiq,Junaid Siddiqui,0,Shabir Noori,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Afghanistan,Dubai,2012-03-18,male,T20,1,Afghanistan,runs,41,0,0,0,0,Samiullah Shenwari,20,Afghanistan,Canada,Afghanistan,bat,ICC Global Cricket Academy
