,delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0,0.1,Karim Sadiq,I Wardlaw,0,Nawroz Mangal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Afghanistan,0,2013-03-03,male,T20,1,Afghanistan,runs,27,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Scotland,Afghanistan,bat,Sharjah Cricket Stadium
1,0.2,Karim Sadiq,I Wardlaw,{'legbyes': 1},Nawroz Mangal,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,1,Afghanistan,0,2013-03-03,male,T20,1,Afghanistan,runs,27,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Scotland,Afghanistan,bat,Sharjah Cricket Stadium
2,0.3,Nawroz Mangal,I Wardlaw,0,Karim Sadiq,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Afghanistan,0,2013-03-03,male,T20,1,Afghanistan,runs,27,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Scotland,Afghanistan,bat,Sharjah Cricket Stadium
3,0.4,Nawroz Mangal,I Wardlaw,0,Karim Sadiq,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['MW Machan'], 'kind': 'caught', 'player_out': 'Nawroz Mangal'}",0.0,0.0,0.0,0.0,0,caught,Nawroz Mangal,['MW Machan'],0,0,0,Afghanistan,0,2013-03-03,male,T20,1,Afghanistan,runs,27,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Scotland,Afghanistan,bat,Sharjah Cricket Stadium
4,0.5,Mohammad Shahzad,I Wardlaw,0,Karim Sadiq,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Afghanistan,0,2013-03-03,male,T20,1,Afghanistan,runs,27,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Scotland,Afghanistan,bat,Sharjah Cricket Stadium
5,0.6,Mohammad Shahzad,I Wardlaw,0,Karim Sadiq,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Afghanistan,0,2013-03-03,male,T20,1,Afghanistan,runs,27,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Scotland,Afghanistan,bat,Sharjah Cricket Stadium
6,1.1,Karim Sadiq,NM Carter,0,Mohammad Shahzad,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Afghanistan,0,2013-03-03,male,T20,1,Afghanistan,runs,27,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Scotland,Afghanistan,bat,Sharjah Cricket Stadium
7,1.2,Karim Sadiq,NM Carter,0,Mohammad Shahzad,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Afghanistan,0,2013-03-03,male,T20,1,Afghanistan,runs,27,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Scotland,Afghanistan,bat,Sharjah Cricket Stadium
8,1.3,Karim Sadiq,NM Carter,0,Mohammad Shahzad,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['CS MacLeod'], 'kind': 'caught', 'player_out': 'Karim Sadiq'}",0.0,0.0,0.0,0.0,0,caught,Karim Sadiq,['CS MacLeod'],0,0,0,Afghanistan,0,2013-03-03,male,T20,1,Afghanistan,runs,27,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Scotland,Afghanistan,bat,Sharjah Cricket Stadium
9,1.4,Asghar Stanikzai,NM Carter,0,Mohammad Shahzad,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Afghanistan,0,2013-03-03,male,T20,1,Afghanistan,runs,27,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Scotland,Afghanistan,bat,Sharjah Cricket Stadium
