,delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0,0.1,Rizwan Cheema,E Schiferli,0,JM Davison,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Canada,0,2010-02-09,male,T20,1,Netherlands,wickets,6,0,0,0,0,B Zuiderent,20,Canada,Netherlands,Canada,bat,Dubai International Cricket Stadium
1,0.2,Rizwan Cheema,E Schiferli,{'wides': 1},JM Davison,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0.0,0,0,0,0,0,1,1,Canada,0,2010-02-09,male,T20,1,Netherlands,wickets,6,0,0,0,0,B Zuiderent,20,Canada,Netherlands,Canada,bat,Dubai International Cricket Stadium
2,0.3,Rizwan Cheema,E Schiferli,0,JM Davison,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Canada,0,2010-02-09,male,T20,1,Netherlands,wickets,6,0,0,0,0,B Zuiderent,20,Canada,Netherlands,Canada,bat,Dubai International Cricket Stadium
3,0.4,JM Davison,E Schiferli,0,Rizwan Cheema,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Canada,0,2010-02-09,male,T20,1,Netherlands,wickets,6,0,0,0,0,B Zuiderent,20,Canada,Netherlands,Canada,bat,Dubai International Cricket Stadium
4,0.5,JM Davison,E Schiferli,0,Rizwan Cheema,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Canada,0,2010-02-09,male,T20,1,Netherlands,wickets,6,0,0,0,0,B Zuiderent,20,Canada,Netherlands,Canada,bat,Dubai International Cricket Stadium
5,0.6,JM Davison,E Schiferli,0,Rizwan Cheema,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['TN de Grooth'], 'kind': 'caught', 'player_out': 'JM Davison'}",0.0,0,0.0,0.0,0,caught,JM Davison,['TN de Grooth'],0,0,0,Canada,0,2010-02-09,male,T20,1,Netherlands,wickets,6,0,0,0,0,B Zuiderent,20,Canada,Netherlands,Canada,bat,Dubai International Cricket Stadium
6,0.7,H Patel,E Schiferli,0,Rizwan Cheema,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Canada,0,2010-02-09,male,T20,1,Netherlands,wickets,6,0,0,0,0,B Zuiderent,20,Canada,Netherlands,Canada,bat,Dubai International Cricket Stadium
7,1.1,H Patel,Mudassar Bukhari,0,Rizwan Cheema,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Canada,0,2010-02-09,male,T20,1,Netherlands,wickets,6,0,0,0,0,B Zuiderent,20,Canada,Netherlands,Canada,bat,Dubai International Cricket Stadium
8,1.2,H Patel,Mudassar Bukhari,0,Rizwan Cheema,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Canada,0,2010-02-09,male,T20,1,Netherlands,wickets,6,0,0,0,0,B Zuiderent,20,Canada,Netherlands,Canada,bat,Dubai International Cricket Stadium
9,1.3,Rizwan Cheema,Mudassar Bukhari,0,H Patel,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'retired hurt', 'player_out': 'Rizwan Cheema'}",0.0,0,0.0,0.0,0,retired hurt,Rizwan Cheema,0,0,0,0,Canada,0,2010-02-09,male,T20,1,Netherlands,wickets,6,0,0,0,0,B Zuiderent,20,Canada,Netherlands,Canada,bat,Dubai International Cricket Stadium
10,1.4,GEF Barnett,Mudassar Bukhari,{'legbyes': 1},H Patel,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0,1.0,0.0,0,0,0,0,0,1,1,Canada,0,2010-02-09,male,T20,1,Netherlands,wickets,6,0,0,0,0,B Zuiderent,20,Canada,Netherlands,Canada,bat,Dubai International Cricket Stadium
11,1.5,H Patel,Mudassar Bukhari,0,GEF Barnett,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Canada,0,2010-02-09,male,T20,1,Netherlands,wickets,6,0,0,0,0,B Zuiderent,20,Canada,Netherlands,Canada,bat,Dubai International Cricket Stadium
12,1.6,H Patel,Mudassar Bukhari,0,GEF Barnett,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Canada,0,2010-02-09,male,T20,1,Netherlands,wickets,6,0,0,0,0,B Zuiderent,20,Canada,Netherlands,Canada,bat,Dubai International Cricket Stadium
13,2.1,GEF Barnett,E Schiferli,0,H Patel,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Canada,0,2010-02-09,male,T20,1,Netherlands,wickets,6,0,0,0,0,B Zuiderent,20,Canada,Netherlands,Canada,bat,Dubai International Cricket Stadium
14,2.2,GEF Barnett,E Schiferli,0,H Patel,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Canada,0,2010-02-09,male,T20,1,Netherlands,wickets,6,0,0,0,0,B Zuiderent,20,Canada,Netherlands,Canada,bat,Dubai International Cricket Stadium
15,2.3,GEF Barnett,E Schiferli,0,H Patel,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Canada,0,2010-02-09,male,T20,1,Netherlands,wickets,6,0,0,0,0,B Zuiderent,20,Canada,Netherlands,Canada,bat,Dubai International Cricket Stadium
