,delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0,0.1,MA Ouma,PC Connell,0,KO Otieno,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Kenya,Belfast,2008-08-04,male,T20,0,Ireland,wickets,4,0,0,0,0,AC Botha,20,Ireland,Kenya,Ireland,field,"Civil Service Cricket Club, Stormont"
1,0.2,MA Ouma,PC Connell,0,KO Otieno,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kenya,Belfast,2008-08-04,male,T20,0,Ireland,wickets,4,0,0,0,0,AC Botha,20,Ireland,Kenya,Ireland,field,"Civil Service Cricket Club, Stormont"
2,0.3,MA Ouma,PC Connell,0,KO Otieno,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kenya,Belfast,2008-08-04,male,T20,0,Ireland,wickets,4,0,0,0,0,AC Botha,20,Ireland,Kenya,Ireland,field,"Civil Service Cricket Club, Stormont"
3,0.4,MA Ouma,PC Connell,0,KO Otieno,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Kenya,Belfast,2008-08-04,male,T20,0,Ireland,wickets,4,0,0,0,0,AC Botha,20,Ireland,Kenya,Ireland,field,"Civil Service Cricket Club, Stormont"
4,0.5,MA Ouma,PC Connell,0,KO Otieno,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['AR Cusack'], 'kind': 'caught', 'player_out': 'MA Ouma'}",0.0,0.0,0.0,0.0,0,caught,MA Ouma,['AR Cusack'],0,0,0,Kenya,Belfast,2008-08-04,male,T20,0,Ireland,wickets,4,0,0,0,0,AC Botha,20,Ireland,Kenya,Ireland,field,"Civil Service Cricket Club, Stormont"
5,0.6,KO Otieno,PC Connell,0,NN Odhiambo,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Kenya,Belfast,2008-08-04,male,T20,0,Ireland,wickets,4,0,0,0,0,AC Botha,20,Ireland,Kenya,Ireland,field,"Civil Service Cricket Club, Stormont"
6,1.1,NN Odhiambo,KJ O'Brien,0,KO Otieno,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kenya,Belfast,2008-08-04,male,T20,0,Ireland,wickets,4,0,0,0,0,AC Botha,20,Ireland,Kenya,Ireland,field,"Civil Service Cricket Club, Stormont"
7,1.2,NN Odhiambo,KJ O'Brien,0,KO Otieno,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Kenya,Belfast,2008-08-04,male,T20,0,Ireland,wickets,4,0,0,0,0,AC Botha,20,Ireland,Kenya,Ireland,field,"Civil Service Cricket Club, Stormont"
8,1.3,KO Otieno,KJ O'Brien,0,NN Odhiambo,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Kenya,Belfast,2008-08-04,male,T20,0,Ireland,wickets,4,0,0,0,0,AC Botha,20,Ireland,Kenya,Ireland,field,"Civil Service Cricket Club, Stormont"
9,1.4,KO Otieno,KJ O'Brien,0,NN Odhiambo,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kenya,Belfast,2008-08-04,male,T20,0,Ireland,wickets,4,0,0,0,0,AC Botha,20,Ireland,Kenya,Ireland,field,"Civil Service Cricket Club, Stormont"
