,delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0,0.1,MR Swart,Sompal Kami,0,TP Visee,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,Amstelveen,2015-07-01,male,T20,0,Netherlands,runs,103,0,0,0,0,0,20,Netherlands,Nepal,Nepal,field,VRA Ground
1,0.2,MR Swart,Sompal Kami,0,TP Visee,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Netherlands,Amstelveen,2015-07-01,male,T20,0,Netherlands,runs,103,0,0,0,0,0,20,Netherlands,Nepal,Nepal,field,VRA Ground
2,0.3,MR Swart,Sompal Kami,0,TP Visee,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,Amstelveen,2015-07-01,male,T20,0,Netherlands,runs,103,0,0,0,0,0,20,Netherlands,Nepal,Nepal,field,VRA Ground
3,0.4,MR Swart,Sompal Kami,0,TP Visee,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Netherlands,Amstelveen,2015-07-01,male,T20,0,Netherlands,runs,103,0,0,0,0,0,20,Netherlands,Nepal,Nepal,field,VRA Ground
4,0.5,MR Swart,Sompal Kami,0,TP Visee,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,Amstelveen,2015-07-01,male,T20,0,Netherlands,runs,103,0,0,0,0,0,20,Netherlands,Nepal,Nepal,field,VRA Ground
5,0.6,MR Swart,Sompal Kami,0,TP Visee,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,Amstelveen,2015-07-01,male,T20,0,Netherlands,runs,103,0,0,0,0,0,20,Netherlands,Nepal,Nepal,field,VRA Ground
6,1.1,TP Visee,Karan KC,{'wides': 1},MR Swart,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Netherlands,Amstelveen,2015-07-01,male,T20,0,Netherlands,runs,103,0,0,0,0,0,20,Netherlands,Nepal,Nepal,field,VRA Ground
7,1.2,TP Visee,Karan KC,0,MR Swart,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,Amstelveen,2015-07-01,male,T20,0,Netherlands,runs,103,0,0,0,0,0,20,Netherlands,Nepal,Nepal,field,VRA Ground
8,1.3,TP Visee,Karan KC,0,MR Swart,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Netherlands,Amstelveen,2015-07-01,male,T20,0,Netherlands,runs,103,0,0,0,0,0,20,Netherlands,Nepal,Nepal,field,VRA Ground
9,1.4,TP Visee,Karan KC,0,MR Swart,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,Amstelveen,2015-07-01,male,T20,0,Netherlands,runs,103,0,0,0,0,0,20,Netherlands,Nepal,Nepal,field,VRA Ground
