,delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0,0.1,AC Gilchrist,Mohammad Asif,0,ML Hayden,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4.0,0.0,4.0,Australia,Johannesburg,2007-09-18,male,T20,1,Pakistan,wickets,6,0,0,0,0,Misbah-ul-Haq,20,Australia,Pakistan,Pakistan,field,New Wanderers Stadium
1,0.2,AC Gilchrist,Mohammad Asif,0,ML Hayden,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Australia,Johannesburg,2007-09-18,male,T20,1,Pakistan,wickets,6,0,0,0,0,Misbah-ul-Haq,20,Australia,Pakistan,Pakistan,field,New Wanderers Stadium
2,0.3,ML Hayden,Mohammad Asif,0,AC Gilchrist,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Australia,Johannesburg,2007-09-18,male,T20,1,Pakistan,wickets,6,0,0,0,0,Misbah-ul-Haq,20,Australia,Pakistan,Pakistan,field,New Wanderers Stadium
3,0.4,ML Hayden,Mohammad Asif,0,AC Gilchrist,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Australia,Johannesburg,2007-09-18,male,T20,1,Pakistan,wickets,6,0,0,0,0,Misbah-ul-Haq,20,Australia,Pakistan,Pakistan,field,New Wanderers Stadium
4,0.5,AC Gilchrist,Mohammad Asif,0,ML Hayden,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Australia,Johannesburg,2007-09-18,male,T20,1,Pakistan,wickets,6,0,0,0,0,Misbah-ul-Haq,20,Australia,Pakistan,Pakistan,field,New Wanderers Stadium
5,0.6,AC Gilchrist,Mohammad Asif,0,ML Hayden,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,Australia,Johannesburg,2007-09-18,male,T20,1,Pakistan,wickets,6,0,0,0,0,Misbah-ul-Haq,20,Australia,Pakistan,Pakistan,field,New Wanderers Stadium
6,1.1,ML Hayden,Sohail Tanvir,0,AC Gilchrist,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Australia,Johannesburg,2007-09-18,male,T20,1,Pakistan,wickets,6,0,0,0,0,Misbah-ul-Haq,20,Australia,Pakistan,Pakistan,field,New Wanderers Stadium
7,1.2,ML Hayden,Sohail Tanvir,0,AC Gilchrist,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Australia,Johannesburg,2007-09-18,male,T20,1,Pakistan,wickets,6,0,0,0,0,Misbah-ul-Haq,20,Australia,Pakistan,Pakistan,field,New Wanderers Stadium
8,1.3,ML Hayden,Sohail Tanvir,0,AC Gilchrist,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['Younis Khan'], 'kind': 'caught', 'player_out': 'ML Hayden'}",0.0,0.0,0.0,0.0,0,caught,ML Hayden,['Younis Khan'],0.0,0.0,0.0,Australia,Johannesburg,2007-09-18,male,T20,1,Pakistan,wickets,6,0,0,0,0,Misbah-ul-Haq,20,Australia,Pakistan,Pakistan,field,New Wanderers Stadium
9,1.4,RT Ponting,Sohail Tanvir,0,AC Gilchrist,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Australia,Johannesburg,2007-09-18,male,T20,1,Pakistan,wickets,6,0,0,0,0,Misbah-ul-Haq,20,Australia,Pakistan,Pakistan,field,New Wanderers Stadium
10,1.5,RT Ponting,Sohail Tanvir,0,AC Gilchrist,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Australia,Johannesburg,2007-09-18,male,T20,1,Pakistan,wickets,6,0,0,0,0,Misbah-ul-Haq,20,Australia,Pakistan,Pakistan,field,New Wanderers Stadium
