,delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0,0.1,GC Smith,Z Khan,0,LE Bosman,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,South Africa,Johannesburg,2006-12-01,male,T20,0,India,wickets,6,0,0,0,0,KD Karthik,20,South Africa,India,South Africa,bat,New Wanderers Stadium
1,0.2,GC Smith,Z Khan,0,LE Bosman,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,South Africa,Johannesburg,2006-12-01,male,T20,0,India,wickets,6,0,0,0,0,KD Karthik,20,South Africa,India,South Africa,bat,New Wanderers Stadium
2,0.3,LE Bosman,Z Khan,{'wides': 1},GC Smith,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,South Africa,Johannesburg,2006-12-01,male,T20,0,India,wickets,6,0,0,0,0,KD Karthik,20,South Africa,India,South Africa,bat,New Wanderers Stadium
3,0.4,LE Bosman,Z Khan,0,GC Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,South Africa,Johannesburg,2006-12-01,male,T20,0,India,wickets,6,0,0,0,0,KD Karthik,20,South Africa,India,South Africa,bat,New Wanderers Stadium
4,0.5,LE Bosman,Z Khan,0,GC Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,South Africa,Johannesburg,2006-12-01,male,T20,0,India,wickets,6,0,0,0,0,KD Karthik,20,South Africa,India,South Africa,bat,New Wanderers Stadium
5,0.6,LE Bosman,Z Khan,0,GC Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,South Africa,Johannesburg,2006-12-01,male,T20,0,India,wickets,6,0,0,0,0,KD Karthik,20,South Africa,India,South Africa,bat,New Wanderers Stadium
6,0.7,LE Bosman,Z Khan,0,GC Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,South Africa,Johannesburg,2006-12-01,male,T20,0,India,wickets,6,0,0,0,0,KD Karthik,20,South Africa,India,South Africa,bat,New Wanderers Stadium
7,1.1,GC Smith,S Sreesanth,0,LE Bosman,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,South Africa,Johannesburg,2006-12-01,male,T20,0,India,wickets,6,0,0,0,0,KD Karthik,20,South Africa,India,South Africa,bat,New Wanderers Stadium
8,1.2,GC Smith,S Sreesanth,0,LE Bosman,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,South Africa,Johannesburg,2006-12-01,male,T20,0,India,wickets,6,0,0,0,0,KD Karthik,20,South Africa,India,South Africa,bat,New Wanderers Stadium
9,1.3,GC Smith,S Sreesanth,{'wides': 5},LE Bosman,"{'batsman': 0, 'extras': 5, 'total': 5}",0,5.0,0.0,0.0,0.0,0,0,0,0,0,5,5,South Africa,Johannesburg,2006-12-01,male,T20,0,India,wickets,6,0,0,0,0,KD Karthik,20,South Africa,India,South Africa,bat,New Wanderers Stadium
