,delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0,0.1,GC Smith,CS MacLeod,0,JH Kallis,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,London,2009-06-07,male,T20,1,South Africa,runs,130,0,0,0,0,AB de Villiers,20,Scotland,South Africa,Scotland,field,Kennington Oval
1,0.2,GC Smith,CS MacLeod,0,JH Kallis,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,London,2009-06-07,male,T20,1,South Africa,runs,130,0,0,0,0,AB de Villiers,20,Scotland,South Africa,Scotland,field,Kennington Oval
2,0.3,GC Smith,CS MacLeod,0,JH Kallis,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,London,2009-06-07,male,T20,1,South Africa,runs,130,0,0,0,0,AB de Villiers,20,Scotland,South Africa,Scotland,field,Kennington Oval
3,0.4,GC Smith,CS MacLeod,0,JH Kallis,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,London,2009-06-07,male,T20,1,South Africa,runs,130,0,0,0,0,AB de Villiers,20,Scotland,South Africa,Scotland,field,Kennington Oval
4,0.5,GC Smith,CS MacLeod,0,JH Kallis,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,South Africa,London,2009-06-07,male,T20,1,South Africa,runs,130,0,0,0,0,AB de Villiers,20,Scotland,South Africa,Scotland,field,Kennington Oval
5,0.6,GC Smith,CS MacLeod,0,JH Kallis,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,London,2009-06-07,male,T20,1,South Africa,runs,130,0,0,0,0,AB de Villiers,20,Scotland,South Africa,Scotland,field,Kennington Oval
6,1.1,JH Kallis,GD Drummond,0,GC Smith,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,London,2009-06-07,male,T20,1,South Africa,runs,130,0,0,0,0,AB de Villiers,20,Scotland,South Africa,Scotland,field,Kennington Oval
7,1.2,GC Smith,GD Drummond,0,JH Kallis,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,London,2009-06-07,male,T20,1,South Africa,runs,130,0,0,0,0,AB de Villiers,20,Scotland,South Africa,Scotland,field,Kennington Oval
8,1.3,GC Smith,GD Drummond,0,JH Kallis,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,London,2009-06-07,male,T20,1,South Africa,runs,130,0,0,0,0,AB de Villiers,20,Scotland,South Africa,Scotland,field,Kennington Oval
9,1.4,GC Smith,GD Drummond,0,JH Kallis,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,London,2009-06-07,male,T20,1,South Africa,runs,130,0,0,0,0,AB de Villiers,20,Scotland,South Africa,Scotland,field,Kennington Oval
