,delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0,0.1,AC Jayangani,KJ Garth,0,BYA Mendis,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Sri Lanka,Mohali,2016-03-20,female,T20,1,Sri Lanka,runs,14,0,0,0,0,CJ Metcalfe,20,Sri Lanka,Ireland,Sri Lanka,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali"
1,0.2,AC Jayangani,KJ Garth,0,BYA Mendis,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4.0,0.0,4.0,Sri Lanka,Mohali,2016-03-20,female,T20,1,Sri Lanka,runs,14,0,0,0,0,CJ Metcalfe,20,Sri Lanka,Ireland,Sri Lanka,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali"
2,0.3,AC Jayangani,KJ Garth,{'wides': 1},BYA Mendis,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,1.0,Sri Lanka,Mohali,2016-03-20,female,T20,1,Sri Lanka,runs,14,0,0,0,0,CJ Metcalfe,20,Sri Lanka,Ireland,Sri Lanka,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali"
3,0.4,AC Jayangani,KJ Garth,0,BYA Mendis,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Sri Lanka,Mohali,2016-03-20,female,T20,1,Sri Lanka,runs,14,0,0,0,0,CJ Metcalfe,20,Sri Lanka,Ireland,Sri Lanka,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali"
4,0.5,AC Jayangani,KJ Garth,0,BYA Mendis,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4.0,0.0,4.0,Sri Lanka,Mohali,2016-03-20,female,T20,1,Sri Lanka,runs,14,0,0,0,0,CJ Metcalfe,20,Sri Lanka,Ireland,Sri Lanka,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali"
5,0.6,AC Jayangani,KJ Garth,0,BYA Mendis,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Sri Lanka,Mohali,2016-03-20,female,T20,1,Sri Lanka,runs,14,0,0,0,0,CJ Metcalfe,20,Sri Lanka,Ireland,Sri Lanka,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali"
6,0.7,BYA Mendis,KJ Garth,0,AC Jayangani,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,Sri Lanka,Mohali,2016-03-20,female,T20,1,Sri Lanka,runs,14,0,0,0,0,CJ Metcalfe,20,Sri Lanka,Ireland,Sri Lanka,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali"
7,1.1,AC Jayangani,AJ Kenealy,0,BYA Mendis,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,Sri Lanka,Mohali,2016-03-20,female,T20,1,Sri Lanka,runs,14,0,0,0,0,CJ Metcalfe,20,Sri Lanka,Ireland,Sri Lanka,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali"
8,1.2,AC Jayangani,AJ Kenealy,0,BYA Mendis,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Sri Lanka,Mohali,2016-03-20,female,T20,1,Sri Lanka,runs,14,0,0,0,0,CJ Metcalfe,20,Sri Lanka,Ireland,Sri Lanka,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali"
9,1.3,AC Jayangani,AJ Kenealy,0,BYA Mendis,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Sri Lanka,Mohali,2016-03-20,female,T20,1,Sri Lanka,runs,14,0,0,0,0,CJ Metcalfe,20,Sri Lanka,Ireland,Sri Lanka,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali"
10,1.4,AC Jayangani,AJ Kenealy,0,BYA Mendis,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4.0,0.0,4.0,Sri Lanka,Mohali,2016-03-20,female,T20,1,Sri Lanka,runs,14,0,0,0,0,CJ Metcalfe,20,Sri Lanka,Ireland,Sri Lanka,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali"
11,1.5,AC Jayangani,AJ Kenealy,0,BYA Mendis,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Sri Lanka,Mohali,2016-03-20,female,T20,1,Sri Lanka,runs,14,0,0,0,0,CJ Metcalfe,20,Sri Lanka,Ireland,Sri Lanka,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali"
12,1.6,BYA Mendis,AJ Kenealy,0,AC Jayangani,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Sri Lanka,Mohali,2016-03-20,female,T20,1,Sri Lanka,runs,14,0,0,0,0,CJ Metcalfe,20,Sri Lanka,Ireland,Sri Lanka,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali"
13,2.1,BYA Mendis,LK O'Reilly,0,AC Jayangani,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Sri Lanka,Mohali,2016-03-20,female,T20,1,Sri Lanka,runs,14,0,0,0,0,CJ Metcalfe,20,Sri Lanka,Ireland,Sri Lanka,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali"
14,2.2,BYA Mendis,LK O'Reilly,0,AC Jayangani,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Sri Lanka,Mohali,2016-03-20,female,T20,1,Sri Lanka,runs,14,0,0,0,0,CJ Metcalfe,20,Sri Lanka,Ireland,Sri Lanka,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali"
15,2.3,AC Jayangani,LK O'Reilly,0,BYA Mendis,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Sri Lanka,Mohali,2016-03-20,female,T20,1,Sri Lanka,runs,14,0,0,0,0,CJ Metcalfe,20,Sri Lanka,Ireland,Sri Lanka,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali"
16,2.4,AC Jayangani,LK O'Reilly,0,BYA Mendis,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Sri Lanka,Mohali,2016-03-20,female,T20,1,Sri Lanka,runs,14,0,0,0,0,CJ Metcalfe,20,Sri Lanka,Ireland,Sri Lanka,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali"
