,delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0,0.1,MR Swart,P Utseya,0,SJ Myburgh,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,0,2014-03-19,male,T20,1,Zimbabwe,wickets,5,0,0,0,0,BRM Taylor,20,Netherlands,Zimbabwe,Netherlands,bat,Sylhet Stadium
1,0.2,MR Swart,P Utseya,0,SJ Myburgh,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Netherlands,0,2014-03-19,male,T20,1,Zimbabwe,wickets,5,0,0,0,0,BRM Taylor,20,Netherlands,Zimbabwe,Netherlands,bat,Sylhet Stadium
2,0.3,SJ Myburgh,P Utseya,0,MR Swart,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'lbw', 'player_out': 'SJ Myburgh'}",0.0,0,0.0,0.0,0,lbw,SJ Myburgh,0,0,0,0,Netherlands,0,2014-03-19,male,T20,1,Zimbabwe,wickets,5,0,0,0,0,BRM Taylor,20,Netherlands,Zimbabwe,Netherlands,bat,Sylhet Stadium
3,0.4,W Barresi,P Utseya,0,MR Swart,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Netherlands,0,2014-03-19,male,T20,1,Zimbabwe,wickets,5,0,0,0,0,BRM Taylor,20,Netherlands,Zimbabwe,Netherlands,bat,Sylhet Stadium
4,0.5,W Barresi,P Utseya,0,MR Swart,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,0,2014-03-19,male,T20,1,Zimbabwe,wickets,5,0,0,0,0,BRM Taylor,20,Netherlands,Zimbabwe,Netherlands,bat,Sylhet Stadium
5,0.6,W Barresi,P Utseya,0,MR Swart,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,0,2014-03-19,male,T20,1,Zimbabwe,wickets,5,0,0,0,0,BRM Taylor,20,Netherlands,Zimbabwe,Netherlands,bat,Sylhet Stadium
6,1.1,MR Swart,T Panyangara,0,W Barresi,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,0,2014-03-19,male,T20,1,Zimbabwe,wickets,5,0,0,0,0,BRM Taylor,20,Netherlands,Zimbabwe,Netherlands,bat,Sylhet Stadium
7,1.2,MR Swart,T Panyangara,0,W Barresi,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Netherlands,0,2014-03-19,male,T20,1,Zimbabwe,wickets,5,0,0,0,0,BRM Taylor,20,Netherlands,Zimbabwe,Netherlands,bat,Sylhet Stadium
8,1.3,W Barresi,T Panyangara,0,MR Swart,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Netherlands,0,2014-03-19,male,T20,1,Zimbabwe,wickets,5,0,0,0,0,BRM Taylor,20,Netherlands,Zimbabwe,Netherlands,bat,Sylhet Stadium
9,1.4,W Barresi,T Panyangara,0,MR Swart,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Netherlands,0,2014-03-19,male,T20,1,Zimbabwe,wickets,5,0,0,0,0,BRM Taylor,20,Netherlands,Zimbabwe,Netherlands,bat,Sylhet Stadium
10,1.5,W Barresi,T Panyangara,0,MR Swart,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'W Barresi'}",0.0,0,0.0,0.0,0,bowled,W Barresi,0,0,0,0,Netherlands,0,2014-03-19,male,T20,1,Zimbabwe,wickets,5,0,0,0,0,BRM Taylor,20,Netherlands,Zimbabwe,Netherlands,bat,Sylhet Stadium
11,1.6,PW Borren,T Panyangara,0,MR Swart,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,0,2014-03-19,male,T20,1,Zimbabwe,wickets,5,0,0,0,0,BRM Taylor,20,Netherlands,Zimbabwe,Netherlands,bat,Sylhet Stadium
12,2.1,MR Swart,P Utseya,0,PW Borren,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,0,2014-03-19,male,T20,1,Zimbabwe,wickets,5,0,0,0,0,BRM Taylor,20,Netherlands,Zimbabwe,Netherlands,bat,Sylhet Stadium
13,2.2,MR Swart,P Utseya,0,PW Borren,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,0,2014-03-19,male,T20,1,Zimbabwe,wickets,5,0,0,0,0,BRM Taylor,20,Netherlands,Zimbabwe,Netherlands,bat,Sylhet Stadium
14,2.3,MR Swart,P Utseya,0,PW Borren,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Netherlands,0,2014-03-19,male,T20,1,Zimbabwe,wickets,5,0,0,0,0,BRM Taylor,20,Netherlands,Zimbabwe,Netherlands,bat,Sylhet Stadium
15,2.4,PW Borren,P Utseya,0,MR Swart,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,0,2014-03-19,male,T20,1,Zimbabwe,wickets,5,0,0,0,0,BRM Taylor,20,Netherlands,Zimbabwe,Netherlands,bat,Sylhet Stadium
16,2.5,PW Borren,P Utseya,0,MR Swart,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,0,2014-03-19,male,T20,1,Zimbabwe,wickets,5,0,0,0,0,BRM Taylor,20,Netherlands,Zimbabwe,Netherlands,bat,Sylhet Stadium
17,2.6,PW Borren,P Utseya,0,MR Swart,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Netherlands,0,2014-03-19,male,T20,1,Zimbabwe,wickets,5,0,0,0,0,BRM Taylor,20,Netherlands,Zimbabwe,Netherlands,bat,Sylhet Stadium
18,3.1,MR Swart,TL Chatara,0,PW Borren,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['TL Chatara'], 'kind': 'run out', 'player_out': 'MR Swart'}",0.0,0,0.0,0.0,0,run out,MR Swart,['TL Chatara'],0,0,0,Netherlands,0,2014-03-19,male,T20,1,Zimbabwe,wickets,5,0,0,0,0,BRM Taylor,20,Netherlands,Zimbabwe,Netherlands,bat,Sylhet Stadium
19,3.2,TLW Cooper,TL Chatara,0,PW Borren,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Netherlands,0,2014-03-19,male,T20,1,Zimbabwe,wickets,5,0,0,0,0,BRM Taylor,20,Netherlands,Zimbabwe,Netherlands,bat,Sylhet Stadium
20,3.3,TLW Cooper,TL Chatara,0,PW Borren,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,0,2014-03-19,male,T20,1,Zimbabwe,wickets,5,0,0,0,0,BRM Taylor,20,Netherlands,Zimbabwe,Netherlands,bat,Sylhet Stadium
21,3.4,TLW Cooper,TL Chatara,0,PW Borren,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,0,2014-03-19,male,T20,1,Zimbabwe,wickets,5,0,0,0,0,BRM Taylor,20,Netherlands,Zimbabwe,Netherlands,bat,Sylhet Stadium
22,3.5,TLW Cooper,TL Chatara,0,PW Borren,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Netherlands,0,2014-03-19,male,T20,1,Zimbabwe,wickets,5,0,0,0,0,BRM Taylor,20,Netherlands,Zimbabwe,Netherlands,bat,Sylhet Stadium
23,3.6,TLW Cooper,TL Chatara,0,PW Borren,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,0,2014-03-19,male,T20,1,Zimbabwe,wickets,5,0,0,0,0,BRM Taylor,20,Netherlands,Zimbabwe,Netherlands,bat,Sylhet Stadium
24,4.1,PW Borren,P Utseya,0,TLW Cooper,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Netherlands,0,2014-03-19,male,T20,1,Zimbabwe,wickets,5,0,0,0,0,BRM Taylor,20,Netherlands,Zimbabwe,Netherlands,bat,Sylhet Stadium
