bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,result,venue
BJ McCarthy,4,63,0,1,15.75,2016-05-20,Durham,Worcestershire,0,"County Ground, New Road"
BJ McCarthy,4,23,0,4,5.75,2016-05-27,Durham,Durham,0,Old Trafford
BJ McCarthy,4,27,0,3,6.75,2016-06-01,Nottinghamshire,Durham,0,Riverside Ground
BJ McCarthy,4,34,0,0,8.5,2016-06-03,Durham,Warwickshire,0,Edgbaston
BJ McCarthy,2,19,0,0,9.5,2016-06-04,Durham,Leicestershire,0,Grace Road
C Rushworth,3,13,0,2,4.333333333333333,2016-06-04,Durham,Leicestershire,0,Grace Road
C Rushworth,4,17,0,1,4.25,2016-06-17,Durham,Northamptonshire,0,County Ground
C Rushworth,4,14,1,3,3.5,2016-06-24,Yorkshire,Durham,0,Riverside Ground
C Rushworth,3,22,0,1,7.333333333333333,2016-06-30,Worcestershire,0,0,Riverside Ground
C Rushworth,4,38,0,0,9.5,2016-07-10,Leicestershire,Durham,0,Riverside Ground
C Rushworth,4,25,0,1,6.25,2016-07-15,Northamptonshire,Durham,0,Riverside Ground
C Rushworth,4,41,0,2,10.25,2016-07-20,Durham,Yorkshire,0,Headingley
C Rushworth,4,27,0,0,6.75,2016-07-22,Lancashire,Lancashire,0,Riverside Ground
C Rushworth,4,27,0,2,6.75,2016-07-29,Derbyshire,Durham,0,Riverside Ground
C Rushworth,4,32,0,2,8.0,2016-08-10,Durham,Durham,0,County Ground
C Rushworth,4,22,0,2,5.5,2016-08-20,Northamptonshire,Northamptonshire,0,Edgbaston
C Rushworth,4,19,0,3,4.75,2016-08-20,Yorkshire,Durham,0,Edgbaston
J Harrison,4,47,0,2,11.75,2016-07-20,Durham,Yorkshire,0,Headingley
KK Jennings,3,33,0,0,11.0,2016-05-20,Durham,Worcestershire,0,"County Ground, New Road"
KK Jennings,4,15,0,1,3.75,2016-06-01,Nottinghamshire,Durham,0,Riverside Ground
KK Jennings,2,20,0,0,10.0,2016-06-03,Durham,Warwickshire,0,Edgbaston
KK Jennings,4,33,0,0,8.25,2016-06-04,Durham,Leicestershire,0,Grace Road
KK Jennings,3,19,0,1,6.333333333333333,2016-06-17,Durham,Northamptonshire,0,County Ground
KK Jennings,2,6,0,0,3.0,2016-06-24,Yorkshire,Durham,0,Riverside Ground
KK Jennings,4,18,0,2,4.5,2016-06-30,Worcestershire,0,0,Riverside Ground
KK Jennings,4,24,0,0,6.0,2016-07-10,Leicestershire,Durham,0,Riverside Ground
KK Jennings,4,38,0,2,9.5,2016-07-15,Northamptonshire,Durham,0,Riverside Ground
KK Jennings,4,32,0,1,8.0,2016-07-20,Durham,Yorkshire,0,Headingley
KK Jennings,4,41,0,0,10.25,2016-07-22,Lancashire,Lancashire,0,Riverside Ground
KK Jennings,2,16,0,1,8.0,2016-07-29,Derbyshire,Durham,0,Riverside Ground
KK Jennings,4,25,0,2,6.25,2016-08-10,Durham,Durham,0,County Ground
KK Jennings,4,34,0,0,8.5,2016-08-20,Northamptonshire,Northamptonshire,0,Edgbaston
KK Jennings,2,14,0,0,7.0,2016-08-20,Yorkshire,Durham,0,Edgbaston
MA Wood,4,25,0,1,6.25,2016-07-10,Leicestershire,Durham,0,Riverside Ground
MA Wood,4,19,0,1,4.75,2016-07-15,Northamptonshire,Durham,0,Riverside Ground
MA Wood,4,28,0,5,7.0,2016-08-10,Durham,Durham,0,County Ground
MA Wood,4,25,0,2,6.25,2016-08-20,Northamptonshire,Northamptonshire,0,Edgbaston
MA Wood,4,25,0,4,6.25,2016-08-20,Yorkshire,Durham,0,Edgbaston
P Coughlin,4,43,0,2,10.75,2016-05-20,Durham,Worcestershire,0,"County Ground, New Road"
P Coughlin,4,40,0,1,10.0,2016-05-27,Durham,Durham,0,Old Trafford
P Coughlin,3,25,0,3,8.333333333333334,2016-06-01,Nottinghamshire,Durham,0,Riverside Ground
P Coughlin,3,21,0,0,7.0,2016-06-03,Durham,Warwickshire,0,Edgbaston
P Coughlin,4,42,1,5,10.5,2016-06-17,Durham,Northamptonshire,0,County Ground
P Coughlin,3,27,1,3,9.0,2016-06-24,Yorkshire,Durham,0,Riverside Ground
P Coughlin,1,10,0,0,10.0,2016-06-30,Worcestershire,0,0,Riverside Ground
P Coughlin,4,37,0,1,9.25,2016-07-10,Leicestershire,Durham,0,Riverside Ground
P Coughlin,4,24,0,1,6.0,2016-07-15,Northamptonshire,Durham,0,Riverside Ground
P Coughlin,4,30,0,1,7.5,2016-07-22,Lancashire,Lancashire,0,Riverside Ground
P Coughlin,3,29,0,2,9.666666666666666,2016-07-29,Derbyshire,Durham,0,Riverside Ground
PD Collingwood,4,26,0,0,6.5,2016-05-27,Durham,Durham,0,Old Trafford
PD Collingwood,4,22,0,1,5.5,2016-06-01,Nottinghamshire,Durham,0,Riverside Ground
PD Collingwood,1,11,0,0,11.0,2016-06-03,Durham,Warwickshire,0,Edgbaston
PD Collingwood,3,21,0,1,7.0,2016-06-17,Durham,Northamptonshire,0,County Ground
PD Collingwood,0,22,0,0,inf,2016-08-10,Durham,Durham,0,County Ground
RD Pringle,2,20,0,0,10.0,2016-05-20,Durham,Worcestershire,0,"County Ground, New Road"
RD Pringle,1,19,0,0,19.0,2016-06-03,Durham,Warwickshire,0,Edgbaston
RD Pringle,3,20,0,0,6.666666666666667,2016-06-24,Yorkshire,Durham,0,Riverside Ground
RD Pringle,2,14,0,1,7.0,2016-06-30,Worcestershire,0,0,Riverside Ground
RD Pringle,2,18,0,0,9.0,2016-07-15,Northamptonshire,Durham,0,Riverside Ground
RD Pringle,2,21,0,1,10.5,2016-07-20,Durham,Yorkshire,0,Headingley
RD Pringle,3,34,0,0,11.333333333333334,2016-07-29,Derbyshire,Durham,0,Riverside Ground
RD Pringle,2,17,0,0,8.5,2016-08-20,Yorkshire,Durham,0,Edgbaston
SG Borthwick,3,24,0,2,8.0,2016-05-20,Durham,Worcestershire,0,"County Ground, New Road"
SG Borthwick,4,27,0,0,6.75,2016-05-27,Durham,Durham,0,Old Trafford
SG Borthwick,4,25,0,1,6.25,2016-06-03,Durham,Warwickshire,0,Edgbaston
SG Borthwick,4,30,0,2,7.5,2016-06-04,Durham,Leicestershire,0,Grace Road
SG Borthwick,3,25,0,1,8.333333333333334,2016-06-17,Durham,Northamptonshire,0,County Ground
SG Borthwick,3,24,0,2,8.0,2016-06-24,Yorkshire,Durham,0,Riverside Ground
SG Borthwick,2,15,1,0,7.5,2016-06-30,Worcestershire,0,0,Riverside Ground
SG Borthwick,4,18,0,4,4.5,2016-07-10,Leicestershire,Durham,0,Riverside Ground
SG Borthwick,2,24,0,0,12.0,2016-07-15,Northamptonshire,Durham,0,Riverside Ground
SG Borthwick,2,15,0,0,7.5,2016-07-20,Durham,Yorkshire,0,Headingley
SG Borthwick,4,25,0,1,6.25,2016-07-22,Lancashire,Lancashire,0,Riverside Ground
SG Borthwick,4,33,0,3,8.25,2016-07-29,Derbyshire,Durham,0,Riverside Ground
SG Borthwick,3,25,0,1,8.333333333333334,2016-08-10,Durham,Durham,0,County Ground
SG Borthwick,4,32,0,1,8.0,2016-08-20,Northamptonshire,Northamptonshire,0,Edgbaston
SG Borthwick,4,31,0,1,7.75,2016-08-20,Yorkshire,Durham,0,Edgbaston
U Arshad,4,37,0,1,9.25,2016-05-20,Durham,Worcestershire,0,"County Ground, New Road"
U Arshad,4,30,0,3,7.5,2016-05-27,Durham,Durham,0,Old Trafford
U Arshad,4,22,0,2,5.5,2016-06-01,Nottinghamshire,Durham,0,Riverside Ground
U Arshad,2,22,0,0,11.0,2016-06-03,Durham,Warwickshire,0,Edgbaston
U Arshad,3,26,0,0,8.666666666666666,2016-06-04,Durham,Leicestershire,0,Grace Road
U Arshad,3,30,0,0,10.0,2016-06-17,Durham,Northamptonshire,0,County Ground
U Arshad,4,41,0,2,10.25,2016-06-24,Yorkshire,Durham,0,Riverside Ground
U Arshad,2,17,0,1,8.5,2016-06-30,Worcestershire,0,0,Riverside Ground
U Arshad,4,63,0,0,15.75,2016-07-20,Durham,Yorkshire,0,Headingley
U Arshad,4,43,0,1,10.75,2016-07-22,Lancashire,Lancashire,0,Riverside Ground
U Arshad,4,39,0,1,9.75,2016-07-29,Derbyshire,Durham,0,Riverside Ground
U Arshad,3,23,0,0,7.666666666666667,2016-08-10,Durham,Durham,0,County Ground
U Arshad,3,41,0,1,13.666666666666666,2016-08-20,Northamptonshire,Northamptonshire,0,Edgbaston
U Arshad,4,42,0,1,10.5,2016-08-20,Yorkshire,Durham,0,Edgbaston
