,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,result,venue
5,Ashar Zaidi,30,15,2,2,200.0,SM Curran,0,lbw,Ashar Zaidi,2016-05-20,Surrey,Surrey,0,County Ground
5,Ashar Zaidi,31,20,2,2,155.0,J Overton,['C Overton'],caught,Ashar Zaidi,2016-06-03,Essex,Somerset,0,County Ground
6,Ashar Zaidi,27,13,0,3,207.6923076923077,PR Stirling,['JA Simpson'],stumped,Ashar Zaidi,2016-06-10,Middlesex,Middlesex,0,County Ground
6,Ashar Zaidi,17,10,0,2,170.0,AJ Tye,0,bowled,Ashar Zaidi,2016-06-16,Gloucestershire,Gloucestershire,0,County Ground
4,Ashar Zaidi,52,34,4,2,152.94117647058823,GM Andrew,['TL Best'],caught,Ashar Zaidi,2016-06-24,Hampshire,Essex,0,County Ground
4,Ashar Zaidi,54,34,5,3,158.8235294117647,notOut,notOut,notOut,notOut,2016-07-01,Kent,Essex,0,County Ground
3,Ashar Zaidi,47,45,2,1,104.44444444444446,notOut,notOut,notOut,notOut,2016-07-08,Essex,Essex,0,The Rose Bowl
7,Ashar Zaidi,22,15,1,1,146.66666666666666,BAC Howell,0,bowled,Ashar Zaidi,2016-07-17,Essex,Gloucestershire,0,College Ground
4,Ashar Zaidi,18,12,1,1,150.0,TS Mills,['PD Salt'],run out,Ashar Zaidi,2016-07-21,Sussex,Sussex,0,County Ground
6,Ashar Zaidi,59,27,4,5,218.5185185185185,notOut,notOut,notOut,notOut,2016-07-28,Essex,Essex,0,Lord's
4,Ashar Zaidi,6,2,0,1,300.0,SR Patel,['MH Wessels'],caught,Ashar Zaidi,2016-08-08,Essex,Nottinghamshire,0,Trent Bridge
8,CJ Taylor,1,1,0,0,100.0,notOut,notOut,notOut,notOut,2016-06-03,Essex,Somerset,0,County Ground
7,CJ Taylor,14,12,1,1,116.66666666666667,MJ McClenaghan,0,caught and bowled,CJ Taylor,2016-06-10,Middlesex,Middlesex,0,County Ground
7,CJ Taylor,0,3,0,0,0.0,Mustafizur Rahman,0,bowled,CJ Taylor,2016-07-21,Sussex,Sussex,0,County Ground
11,DD Masters,0,1,0,0,0.0,notOut,notOut,notOut,notOut,2016-08-08,Essex,Nottinghamshire,0,Trent Bridge
3,DW Lawrence,0,1,0,0,0.0,Azhar Mahmood,['GC Wilson'],caught,DW Lawrence,2016-05-20,Surrey,Surrey,0,County Ground
3,DW Lawrence,24,21,1,1,114.28571428571428,notOut,notOut,notOut,notOut,2016-06-01,Essex,Essex,0,Sophia Gardens
0,DW Lawrence,22,15,4,0,146.66666666666666,L Gregory,['MTC Waller'],caught,DW Lawrence,2016-06-03,Essex,Somerset,0,County Ground
0,DW Lawrence,29,27,4,0,107.40740740740742,JEC Franklin,['JEC Franklin'],run out,RS Bopara,2016-06-10,Middlesex,Middlesex,0,County Ground
1,DW Lawrence,29,27,4,0,107.40740740740742,NA Sowter,['JA Simpson'],caught,DW Lawrence,2016-06-10,Middlesex,Middlesex,0,County Ground
