bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,result,venue
AG Salter,1,15,0,0,15.0,2016-08-11,Yorkshire,Yorkshire,0,Sophia Gardens
CA Ingram,4,30,0,1,7.5,2016-06-01,Essex,Essex,0,Sophia Gardens
CA Ingram,1,14,0,0,14.0,2016-06-03,Hampshire,Glamorgan,0,Sophia Gardens
CA Ingram,2,24,0,1,12.0,2016-06-17,Kent,Glamorgan,0,Sophia Gardens
CA Ingram,2,15,0,0,7.5,2016-07-10,Gloucestershire,Gloucestershire,0,Sophia Gardens
CA Ingram,4,28,0,0,7.0,2016-07-14,Glamorgan,Hampshire,0,The Rose Bowl
CA Ingram,4,20,1,3,5.0,2016-07-22,Somerset,Glamorgan,0,Sophia Gardens
CA Ingram,4,32,0,4,8.0,2016-08-11,Yorkshire,Yorkshire,0,Sophia Gardens
CAJ Meschede,4,16,0,3,4.0,2016-05-26,Glamorgan,Glamorgan,0,Kennington Oval
CAJ Meschede,2,15,0,1,7.5,2016-06-03,Hampshire,Glamorgan,0,Sophia Gardens
CAJ Meschede,2,29,0,1,14.5,2016-06-10,Glamorgan,Glamorgan,0,County Ground
CAJ Meschede,2,24,0,0,12.0,2016-06-17,Kent,Glamorgan,0,Sophia Gardens
CAJ Meschede,3,24,0,2,8.0,2016-06-24,Surrey,Glamorgan,0,Sophia Gardens
CAJ Meschede,4,24,0,2,6.0,2016-07-07,Sussex,Glamorgan,0,Sophia Gardens
CAJ Meschede,4,19,0,1,4.75,2016-07-08,Glamorgan,Glamorgan,0,Old Deer Park
CAJ Meschede,1,10,0,0,10.0,2016-07-10,Gloucestershire,Gloucestershire,0,Sophia Gardens
CAJ Meschede,4,22,0,1,5.5,2016-07-14,Glamorgan,Hampshire,0,The Rose Bowl
CAJ Meschede,1,14,0,0,14.0,2016-07-22,Somerset,Glamorgan,0,Sophia Gardens
CAJ Meschede,1,10,0,0,10.0,2016-08-11,Yorkshire,Yorkshire,0,Sophia Gardens
DA Cosker,3,19,0,2,6.333333333333333,2016-05-26,Glamorgan,Glamorgan,0,Kennington Oval
DA Cosker,4,22,0,1,5.5,2016-06-01,Essex,Essex,0,Sophia Gardens
DA Cosker,4,24,0,2,6.0,2016-06-03,Hampshire,Glamorgan,0,Sophia Gardens
DA Cosker,2,16,0,1,8.0,2016-06-10,Glamorgan,Glamorgan,0,County Ground
DA Cosker,4,23,0,2,5.75,2016-06-24,Surrey,Glamorgan,0,Sophia Gardens
DA Cosker,1,17,0,0,17.0,2016-07-07,Sussex,Glamorgan,0,Sophia Gardens
DA Cosker,3,32,0,0,10.666666666666666,2016-07-08,Glamorgan,Glamorgan,0,Old Deer Park
DA Cosker,3,13,0,0,4.333333333333333,2016-07-10,Gloucestershire,Gloucestershire,0,Sophia Gardens
DW Steyn,3,32,0,0,10.666666666666666,2016-06-01,Essex,Essex,0,Sophia Gardens
DW Steyn,3,22,0,3,7.333333333333333,2016-06-03,Hampshire,Glamorgan,0,Sophia Gardens
DW Steyn,4,21,0,2,5.25,2016-06-10,Glamorgan,Glamorgan,0,County Ground
DW Steyn,4,18,0,4,4.5,2016-06-17,Kent,Glamorgan,0,Sophia Gardens
DW Steyn,4,20,0,2,5.0,2016-06-24,Surrey,Glamorgan,0,Sophia Gardens
GG Wagg,3,26,0,0,8.666666666666666,2016-05-26,Glamorgan,Glamorgan,0,Kennington Oval
GG Wagg,1,19,0,0,19.0,2016-06-01,Essex,Essex,0,Sophia Gardens
GG Wagg,2,18,0,0,9.0,2016-06-03,Hampshire,Glamorgan,0,Sophia Gardens
GG Wagg,4,28,0,2,7.0,2016-06-10,Glamorgan,Glamorgan,0,County Ground
GG Wagg,2,24,0,0,12.0,2016-06-17,Kent,Glamorgan,0,Sophia Gardens
GG Wagg,1,5,1,2,5.0,2016-06-24,Surrey,Glamorgan,0,Sophia Gardens
GG Wagg,2,8,0,2,4.0,2016-07-07,Sussex,Glamorgan,0,Sophia Gardens
GG Wagg,4,40,0,1,10.0,2016-07-08,Glamorgan,Glamorgan,0,Old Deer Park
GG Wagg,1,7,0,0,7.0,2016-07-10,Gloucestershire,Gloucestershire,0,Sophia Gardens
GG Wagg,4,38,0,3,9.5,2016-07-14,Glamorgan,Hampshire,0,The Rose Bowl
GG Wagg,4,27,0,2,6.75,2016-07-22,Somerset,Glamorgan,0,Sophia Gardens
GG Wagg,2,25,0,1,12.5,2016-08-11,Yorkshire,Yorkshire,0,Sophia Gardens
JA Rudolph,1,9,0,0,9.0,2016-06-01,Essex,Essex,0,Sophia Gardens
JA Rudolph,1,4,0,0,4.0,2016-07-10,Gloucestershire,Gloucestershire,0,Sophia Gardens
JA Rudolph,1,9,0,0,9.0,2016-07-22,Somerset,Glamorgan,0,Sophia Gardens
MG Hogan,3,18,0,1,6.0,2016-05-26,Glamorgan,Glamorgan,0,Kennington Oval
MG Hogan,1,7,0,0,7.0,2016-06-01,Essex,Essex,0,Sophia Gardens
MG Hogan,4,28,0,4,7.0,2016-06-03,Hampshire,Glamorgan,0,Sophia Gardens
MG Hogan,4,32,0,1,8.0,2016-06-10,Glamorgan,Glamorgan,0,County Ground
MG Hogan,3,12,1,3,4.0,2016-06-17,Kent,Glamorgan,0,Sophia Gardens
MG Hogan,4,19,0,1,4.75,2016-06-24,Surrey,Glamorgan,0,Sophia Gardens
MG Hogan,4,16,0,2,4.0,2016-07-07,Sussex,Glamorgan,0,Sophia Gardens
MG Hogan,3,17,0,2,5.666666666666667,2016-07-08,Glamorgan,Glamorgan,0,Old Deer Park
MG Hogan,3,26,0,0,8.666666666666666,2016-07-10,Gloucestershire,Gloucestershire,0,Sophia Gardens
MG Hogan,4,38,0,2,9.5,2016-07-14,Glamorgan,Hampshire,0,The Rose Bowl
MG Hogan,3,24,0,2,8.0,2016-07-22,Somerset,Glamorgan,0,Sophia Gardens
MG Hogan,0,0,1,0,,2016-07-28,Glamorgan,0,0,County Ground
MG Hogan,4,39,0,0,9.75,2016-08-11,Yorkshire,Yorkshire,0,Sophia Gardens
SW Tait,3,25,0,0,8.333333333333334,2016-07-07,Sussex,Glamorgan,0,Sophia Gardens
SW Tait,3,17,0,2,5.666666666666667,2016-07-08,Glamorgan,Glamorgan,0,Old Deer Park
SW Tait,3,27,0,0,9.0,2016-07-10,Gloucestershire,Gloucestershire,0,Sophia Gardens
SW Tait,1,12,0,0,12.0,2016-07-14,Glamorgan,Hampshire,0,The Rose Bowl
SW Tait,3,25,0,2,8.333333333333334,2016-07-22,Somerset,Glamorgan,0,Sophia Gardens
SW Tait,2,13,0,1,6.5,2016-07-28,Glamorgan,0,0,County Ground
SW Tait,4,34,0,1,8.5,2016-08-11,Yorkshire,Yorkshire,0,Sophia Gardens
T van der Gugten,4,14,1,4,3.5,2016-05-26,Glamorgan,Glamorgan,0,Kennington Oval
T van der Gugten,2,24,0,1,12.0,2016-06-01,Essex,Essex,0,Sophia Gardens
T van der Gugten,2,18,0,0,9.0,2016-06-03,Hampshire,Glamorgan,0,Sophia Gardens
T van der Gugten,4,38,0,1,9.5,2016-06-10,Glamorgan,Glamorgan,0,County Ground
T van der Gugten,3,18,0,2,6.0,2016-06-17,Kent,Glamorgan,0,Sophia Gardens
T van der Gugten,3,17,0,1,5.666666666666667,2016-06-24,Surrey,Glamorgan,0,Sophia Gardens
T van der Gugten,4,17,0,4,4.25,2016-07-07,Sussex,Glamorgan,0,Sophia Gardens
T van der Gugten,3,13,1,2,4.333333333333333,2016-07-08,Glamorgan,Glamorgan,0,Old Deer Park
T van der Gugten,2,17,0,1,8.5,2016-07-10,Gloucestershire,Gloucestershire,0,Sophia Gardens
T van der Gugten,3,29,0,0,9.666666666666666,2016-07-14,Glamorgan,Hampshire,0,The Rose Bowl
T van der Gugten,3,28,0,1,9.333333333333334,2016-07-22,Somerset,Glamorgan,0,Sophia Gardens
T van der Gugten,2,13,0,0,6.5,2016-07-28,Glamorgan,0,0,County Ground
T van der Gugten,4,22,0,2,5.5,2016-08-11,Yorkshire,Yorkshire,0,Sophia Gardens
