,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,result,venue
2,AJA Wheater,30,15,5,1,200.0,TS Roland-Jones,['RH Patel'],caught,AJA Wheater,2016-05-27,Hampshire,Middlesex,0,Uxbridge Cricket Club Ground
3,AJA Wheater,6,8,0,0,75.0,MT Coles,['DA Griffiths'],caught,AJA Wheater,2016-06-02,Kent,Hampshire,0,The Rose Bowl
3,AJA Wheater,39,26,6,0,150.0,DA Cosker,['CB Cooke'],stumped,AJA Wheater,2016-06-03,Hampshire,Glamorgan,0,Sophia Gardens
2,AJA Wheater,19,20,2,1,95.0,DA Griffiths,['JL Denly'],run out,LD McManus,2016-06-08,Hampshire,Kent,0,St Lawrence Ground
3,AJA Wheater,19,20,2,1,95.0,IAA Thomas,0,bowled,AJA Wheater,2016-06-08,Hampshire,Kent,0,St Lawrence Ground
3,AJA Wheater,10,17,0,0,58.82352941176471,MTC Waller,['RC Davies'],stumped,AJA Wheater,2016-06-19,Hampshire,Somerset,0,County Ground
1,AJA Wheater,8,10,1,0,80.0,DP Sibley,0,bowled,AJA Wheater,2016-07-01,Hampshire,Surrey,0,Kennington Oval
1,AJA Wheater,14,12,2,0,116.66666666666667,MG Hogan,['GG Wagg'],caught,AJA Wheater,2016-07-14,Glamorgan,Hampshire,0,The Rose Bowl
1,AJA Wheater,17,12,4,0,141.66666666666669,JC Archer,['CJ Jordan'],caught,AJA Wheater,2016-07-15,Hampshire,Hampshire,0,County Ground
1,AJA Wheater,5,12,0,0,41.66666666666667,JK Fuller,['DJ Malan'],caught,AJA Wheater,2016-07-22,Middlesex,Middlesex,0,The Rose Bowl
7,BJ Taylor,9,11,1,0,81.81818181818183,notOut,notOut,notOut,notOut,2016-07-08,Essex,Essex,0,The Rose Bowl
8,BJ Taylor,5,6,1,0,83.33333333333334,CJ Jordan,0,bowled,BJ Taylor,2016-07-15,Hampshire,Hampshire,0,County Ground
7,BJ Taylor,7,8,1,0,87.5,JK Fuller,['PR Stirling'],caught,BJ Taylor,2016-07-22,Middlesex,Middlesex,0,The Rose Bowl
9,BTJ Wheal,2,8,0,0,25.0,CJ Jordan,0,bowled,BTJ Wheal,2016-07-15,Hampshire,Hampshire,0,County Ground
9,BTJ Wheal,16,11,3,0,145.45454545454547,RF Higgins,0,bowled,BTJ Wheal,2016-07-22,Middlesex,Middlesex,0,The Rose Bowl
5,DJG Sammy,27,15,2,1,180.0,MT Coles,['JL Denly'],caught,DJG Sammy,2016-06-02,Kent,Hampshire,0,The Rose Bowl
8,DJG Sammy,2,5,0,0,40.0,notOut,notOut,notOut,notOut,2016-06-03,Hampshire,Glamorgan,0,Sophia Gardens
8,DJG Sammy,30,17,1,3,176.47058823529412,MT Coles,['MT Coles'],run out,GM Andrew,2016-06-08,Hampshire,Kent,0,St Lawrence Ground
9,DJG Sammy,30,17,1,3,176.47058823529412,DA Griffiths,['SW Billings'],caught,DJG Sammy,2016-06-08,Hampshire,Kent,0,St Lawrence Ground
8,DJG Sammy,0,5,0,0,0.0,TD Groenewald,['JG Myburgh'],run out,LA Dawson,2016-06-19,Hampshire,Somerset,0,County Ground
9,DJG Sammy,0,5,0,0,0.0,J Overton,['J Allenby'],caught,DJG Sammy,2016-06-19,Hampshire,Somerset,0,County Ground
6,DJG Sammy,11,10,1,0,110.00000000000001,GR Napier,0,bowled,DJG Sammy,2016-06-24,Hampshire,Essex,0,County Ground
6,DJG Sammy,0,1,0,0,0.0,ZS Ansari,['BT Foakes'],caught,DJG Sammy,2016-07-01,Hampshire,Surrey,0,Kennington Oval
7,GK Berg,1,2,0,0,50.0,DW Steyn,['CB Cooke'],caught,GK Berg,2016-06-03,Hampshire,Glamorgan,0,Sophia Gardens
11,GK Berg,4,3,0,0,133.33333333333331,notOut,notOut,notOut,notOut,2016-06-08,Hampshire,Kent,0,St Lawrence Ground
10,GK Berg,4,9,0,0,44.44444444444444,J Overton,['CH Gayle'],caught,GK Berg,2016-06-19,Hampshire,Somerset,0,County Ground
9,GK Berg,5,5,0,0,100.0,notOut,notOut,notOut,notOut,2016-06-24,Hampshire,Essex,0,County Ground
8,GM Andrew,3,7,0,0,42.857142857142854,PR Stirling,0,bowled,GM Andrew,2016-05-27,Hampshire,Middlesex,0,Uxbridge Cricket Club Ground
8,GM Andrew,5,2,1,0,250.0,notOut,notOut,notOut,notOut,2016-06-02,Kent,Hampshire,0,The Rose Bowl
9,GM Andrew,4,2,1,0,200.0,DW Steyn,['CB Cooke'],caught,GM Andrew,2016-06-03,Hampshire,Glamorgan,0,Sophia Gardens
10,GM Andrew,5,5,1,0,100.0,notOut,notOut,notOut,notOut,2016-06-08,Hampshire,Kent,0,St Lawrence Ground
8,GM Andrew,13,8,0,1,162.5,notOut,notOut,notOut,notOut,2016-06-24,Hampshire,Essex,0,County Ground
7,GM Andrew,31,22,3,1,140.9090909090909,R Rampaul,['DJ Bravo'],caught,GM Andrew,2016-07-01,Hampshire,Surrey,0,Kennington Oval
