bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,result,venue
BJ Taylor,3,27,0,0,9.0,2016-07-08,Essex,Essex,0,The Rose Bowl
BJ Taylor,3,20,0,2,6.666666666666667,2016-07-14,Glamorgan,Hampshire,0,The Rose Bowl
BJ Taylor,1,3,0,0,3.0,2016-07-15,Hampshire,Hampshire,0,County Ground
BJ Taylor,1,6,0,0,6.0,2016-07-22,Middlesex,Middlesex,0,The Rose Bowl
BJ Taylor,2,12,1,1,6.0,2016-07-29,Somerset,Hampshire,0,The Rose Bowl
BTJ Wheal,3,25,0,0,8.333333333333334,2016-07-08,Essex,Essex,0,The Rose Bowl
BTJ Wheal,3,22,0,0,7.333333333333333,2016-07-14,Glamorgan,Hampshire,0,The Rose Bowl
BTJ Wheal,4,17,0,4,4.25,2016-07-15,Hampshire,Hampshire,0,County Ground
BTJ Wheal,4,43,0,3,10.75,2016-07-22,Middlesex,Middlesex,0,The Rose Bowl
BTJ Wheal,2,22,0,0,11.0,2016-07-29,Somerset,Hampshire,0,The Rose Bowl
DJG Sammy,3,20,0,2,6.666666666666667,2016-06-02,Kent,Hampshire,0,The Rose Bowl
DJG Sammy,1,18,0,0,18.0,2016-06-03,Hampshire,Glamorgan,0,Sophia Gardens
DJG Sammy,2,21,0,0,10.5,2016-06-08,Hampshire,Kent,0,St Lawrence Ground
DJG Sammy,2,22,0,1,11.0,2016-06-19,Hampshire,Somerset,0,County Ground
DJG Sammy,3,18,0,1,6.0,2016-06-24,Hampshire,Essex,0,County Ground
DJG Sammy,3,27,0,2,9.0,2016-07-01,Hampshire,Surrey,0,Kennington Oval
GK Berg,3,30,0,2,10.0,2016-06-02,Kent,Hampshire,0,The Rose Bowl
GK Berg,3,35,0,1,11.666666666666666,2016-06-03,Hampshire,Glamorgan,0,Sophia Gardens
GK Berg,2,26,0,0,13.0,2016-06-08,Hampshire,Kent,0,St Lawrence Ground
GK Berg,2,13,0,2,6.5,2016-06-19,Hampshire,Somerset,0,County Ground
GK Berg,3,25,0,0,8.333333333333334,2016-06-24,Hampshire,Essex,0,County Ground
GM Andrew,3,19,0,2,6.333333333333333,2016-05-27,Hampshire,Middlesex,0,Uxbridge Cricket Club Ground
GM Andrew,2,15,0,1,7.5,2016-06-02,Kent,Hampshire,0,The Rose Bowl
GM Andrew,2,16,0,1,8.0,2016-06-03,Hampshire,Glamorgan,0,Sophia Gardens
GM Andrew,3,25,0,1,8.333333333333334,2016-06-08,Hampshire,Kent,0,St Lawrence Ground
GM Andrew,2,9,0,1,4.5,2016-06-24,Hampshire,Essex,0,County Ground
GM Andrew,2,29,0,0,14.5,2016-07-01,Hampshire,Surrey,0,Kennington Oval
GM Andrew,5,35,0,3,7.0,2016-07-08,Essex,Essex,0,The Rose Bowl
GM Andrew,2,30,0,0,15.0,2016-07-14,Glamorgan,Hampshire,0,The Rose Bowl
GT Griffiths,4,28,0,0,7.0,2016-07-14,Glamorgan,Hampshire,0,The Rose Bowl
GT Griffiths,4,33,0,3,8.25,2016-07-15,Hampshire,Hampshire,0,County Ground
GT Griffiths,3,28,0,1,9.333333333333334,2016-07-22,Middlesex,Middlesex,0,The Rose Bowl
GT Griffiths,1,12,0,1,12.0,2016-07-29,Somerset,Hampshire,0,The Rose Bowl
JJ Weatherley,1,9,0,0,9.0,2016-06-24,Hampshire,Essex,0,County Ground
LA Dawson,2,21,0,1,10.5,2016-05-27,Hampshire,Middlesex,0,Uxbridge Cricket Club Ground
LA Dawson,4,27,0,1,6.75,2016-06-02,Kent,Hampshire,0,The Rose Bowl
LA Dawson,4,15,0,2,3.75,2016-06-03,Hampshire,Glamorgan,0,Sophia Gardens
LA Dawson,4,33,0,0,8.25,2016-06-08,Hampshire,Kent,0,St Lawrence Ground
LA Dawson,3,24,0,0,8.0,2016-06-19,Hampshire,Somerset,0,County Ground
LA Dawson,4,24,0,3,6.0,2016-06-24,Hampshire,Essex,0,County Ground
LA Dawson,3,27,0,0,9.0,2016-07-01,Hampshire,Surrey,0,Kennington Oval
LA Dawson,4,19,0,2,4.75,2016-07-08,Essex,Essex,0,The Rose Bowl
LA Dawson,4,23,0,4,5.75,2016-07-14,Glamorgan,Hampshire,0,The Rose Bowl
LA Dawson,4,34,0,1,8.5,2016-07-15,Hampshire,Hampshire,0,County Ground
LA Dawson,4,32,0,0,8.0,2016-07-22,Middlesex,Middlesex,0,The Rose Bowl
LA Dawson,4,17,0,5,4.25,2016-07-29,Somerset,Hampshire,0,The Rose Bowl
MS Crane,2,25,0,0,12.5,2016-05-27,Hampshire,Middlesex,0,Uxbridge Cricket Club Ground
MS Crane,2,16,0,0,8.0,2016-07-01,Hampshire,Surrey,0,Kennington Oval
R McLaren,3,24,0,1,8.0,2016-05-27,Hampshire,Middlesex,0,Uxbridge Cricket Club Ground
R McLaren,4,35,0,2,8.75,2016-07-22,Middlesex,Middlesex,0,The Rose Bowl
R McLaren,2,14,0,2,7.0,2016-07-29,Somerset,Hampshire,0,The Rose Bowl
RA Stevenson,4,40,0,2,10.0,2016-07-01,Hampshire,Surrey,0,Kennington Oval
Shahid Afridi,4,27,0,2,6.75,2016-05-27,Hampshire,Middlesex,0,Uxbridge Cricket Club Ground
Shahid Afridi,4,33,0,3,8.25,2016-06-02,Kent,Hampshire,0,The Rose Bowl
Shahid Afridi,4,21,0,1,5.25,2016-06-03,Hampshire,Glamorgan,0,Sophia Gardens
Shahid Afridi,4,39,0,0,9.75,2016-06-08,Hampshire,Kent,0,St Lawrence Ground
Shahid Afridi,4,35,0,0,8.75,2016-06-19,Hampshire,Somerset,0,County Ground
Shahid Afridi,4,28,0,0,7.0,2016-06-24,Hampshire,Essex,0,County Ground
Shahid Afridi,4,14,0,1,3.5,2016-07-08,Essex,Essex,0,The Rose Bowl
Shahid Afridi,4,16,0,1,4.0,2016-07-14,Glamorgan,Hampshire,0,The Rose Bowl
Shahid Afridi,4,13,0,0,3.25,2016-07-15,Hampshire,Hampshire,0,County Ground
Shahid Afridi,4,28,0,0,7.0,2016-07-22,Middlesex,Middlesex,0,The Rose Bowl
Shahid Afridi,4,20,0,1,5.0,2016-07-29,Somerset,Hampshire,0,The Rose Bowl
TL Best,4,51,0,0,12.75,2016-05-27,Hampshire,Middlesex,0,Uxbridge Cricket Club Ground
TL Best,3,20,0,1,6.666666666666667,2016-06-02,Kent,Hampshire,0,The Rose Bowl
TL Best,2,33,0,0,16.5,2016-06-03,Hampshire,Glamorgan,0,Sophia Gardens
TL Best,4,38,0,2,9.5,2016-06-08,Hampshire,Kent,0,St Lawrence Ground
TL Best,3,19,0,0,6.333333333333333,2016-06-19,Hampshire,Somerset,0,County Ground
TL Best,2,21,0,0,10.5,2016-06-24,Hampshire,Essex,0,County Ground
TL Best,4,25,0,1,6.25,2016-07-01,Hampshire,Surrey,0,Kennington Oval
TL Best,2,25,0,0,12.5,2016-07-08,Essex,Essex,0,The Rose Bowl
TL Best,3,26,0,0,8.666666666666666,2016-07-15,Hampshire,Hampshire,0,County Ground
WR Smith,2,25,0,0,12.5,2016-05-27,Hampshire,Middlesex,0,Uxbridge Cricket Club Ground
WR Smith,1,8,0,0,8.0,2016-06-08,Hampshire,Kent,0,St Lawrence Ground
WR Smith,1,14,0,1,14.0,2016-06-19,Hampshire,Somerset,0,County Ground
WR Smith,2,22,0,0,11.0,2016-07-01,Hampshire,Surrey,0,Kennington Oval
