,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,result,venue
2,AD Hales,4,6,1,0,66.66666666666666,EG Barnard,['MJ Henry'],caught,AD Hales,2016-06-18,Nottinghamshire,Nottinghamshire,0,"County Ground, New Road"
1,AD Hales,0,2,0,0,0.0,RK Kleinveldt,0,bowled,AD Hales,2016-08-20,Northamptonshire,Northamptonshire,0,Edgbaston
6,AD Russell,41,25,1,3,164.0,MM Ali,['EG Barnard'],caught,AD Russell,2016-06-18,Nottinghamshire,Nottinghamshire,0,"County Ground, New Road"
3,AD Russell,15,8,0,2,187.5,BD Cotton,['MJJ Critchley'],caught,AD Russell,2016-06-24,Nottinghamshire,Nottinghamshire,0,County Ground
5,AD Russell,39,18,4,3,216.66666666666666,RK Kleinveldt,['RI Keogh'],caught,AD Russell,2016-08-20,Northamptonshire,Northamptonshire,0,Edgbaston
8,BA Hutton,4,3,0,0,133.33333333333331,notOut,notOut,notOut,notOut,2016-05-20,Warwickshire,Warwickshire,0,Trent Bridge
5,BRM Taylor,2,5,0,0,40.0,U Arshad,0,bowled,BRM Taylor,2016-06-01,Nottinghamshire,Durham,0,Riverside Ground
5,BRM Taylor,5,10,0,0,50.0,AM Lilley,['SJ Croft'],caught,BRM Taylor,2016-06-04,Lancashire,Nottinghamshire,0,Trent Bridge
5,BRM Taylor,2,3,0,0,66.66666666666666,notOut,notOut,notOut,notOut,2016-07-08,Nottinghamshire,Nottinghamshire,0,County Ground
6,BRM Taylor,1,3,0,0,33.33333333333333,AU Rashid,0,lbw,BRM Taylor,2016-07-15,Yorkshire,Nottinghamshire,0,Trent Bridge
5,BRM Taylor,4,6,0,0,66.66666666666666,notOut,notOut,notOut,notOut,2016-07-22,Nottinghamshire,Nottinghamshire,0,Edgbaston
7,CMW Read,11,7,0,1,157.14285714285714,notOut,notOut,notOut,notOut,2016-05-20,Warwickshire,Warwickshire,0,Trent Bridge
8,CMW Read,35,17,4,1,205.88235294117646,notOut,notOut,notOut,notOut,2016-07-15,Yorkshire,Nottinghamshire,0,Trent Bridge
6,CMW Read,12,6,2,0,200.0,notOut,notOut,notOut,notOut,2016-08-08,Essex,Nottinghamshire,0,Trent Bridge
7,CMW Read,30,20,4,0,150.0,SP Crook,['GG White'],caught,CMW Read,2016-08-20,Northamptonshire,Northamptonshire,0,Edgbaston
4,DT Christian,34,20,2,3,170.0,OJ Hannon-Dalby,['SR Hain'],caught,DT Christian,2016-05-20,Warwickshire,Warwickshire,0,Trent Bridge
3,DT Christian,9,10,0,0,90.0,KK Jennings,['MJ Richardson'],caught,DT Christian,2016-06-01,Nottinghamshire,Durham,0,Riverside Ground
