delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,GC Wilson,DW Steyn,0,SM Davies,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Surrey,Cardiff,2016-06-24,male,T20,0,Glamorgan,wickets,9,0,0,0,0,DA Cosker,20,Glamorgan,Surrey,Surrey,bat,Sophia Gardens
0.2,SM Davies,DW Steyn,0,GC Wilson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Surrey,Cardiff,2016-06-24,male,T20,0,Glamorgan,wickets,9,0,0,0,0,DA Cosker,20,Glamorgan,Surrey,Surrey,bat,Sophia Gardens
0.3,SM Davies,DW Steyn,0,GC Wilson,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Surrey,Cardiff,2016-06-24,male,T20,0,Glamorgan,wickets,9,0,0,0,0,DA Cosker,20,Glamorgan,Surrey,Surrey,bat,Sophia Gardens
0.4,SM Davies,DW Steyn,0,GC Wilson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Surrey,Cardiff,2016-06-24,male,T20,0,Glamorgan,wickets,9,0,0,0,0,DA Cosker,20,Glamorgan,Surrey,Surrey,bat,Sophia Gardens
0.5,SM Davies,DW Steyn,0,GC Wilson,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Surrey,Cardiff,2016-06-24,male,T20,0,Glamorgan,wickets,9,0,0,0,0,DA Cosker,20,Glamorgan,Surrey,Surrey,bat,Sophia Gardens
0.6,SM Davies,DW Steyn,0,GC Wilson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Surrey,Cardiff,2016-06-24,male,T20,0,Glamorgan,wickets,9,0,0,0,0,DA Cosker,20,Glamorgan,Surrey,Surrey,bat,Sophia Gardens
1.1,GC Wilson,T van der Gugten,0,SM Davies,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Surrey,Cardiff,2016-06-24,male,T20,0,Glamorgan,wickets,9,0,0,0,0,DA Cosker,20,Glamorgan,Surrey,Surrey,bat,Sophia Gardens
1.2,GC Wilson,T van der Gugten,{'legbyes': 1},SM Davies,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0,1.0,0,0,0,0,0,0,1,1,Surrey,Cardiff,2016-06-24,male,T20,0,Glamorgan,wickets,9,0,0,0,0,DA Cosker,20,Glamorgan,Surrey,Surrey,bat,Sophia Gardens
1.3,SM Davies,T van der Gugten,{'wides': 1},GC Wilson,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Surrey,Cardiff,2016-06-24,male,T20,0,Glamorgan,wickets,9,0,0,0,0,DA Cosker,20,Glamorgan,Surrey,Surrey,bat,Sophia Gardens
1.4,SM Davies,T van der Gugten,0,GC Wilson,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Surrey,Cardiff,2016-06-24,male,T20,0,Glamorgan,wickets,9,0,0,0,0,DA Cosker,20,Glamorgan,Surrey,Surrey,bat,Sophia Gardens
