delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,SS Eskinazi,MD Taylor,0,NRT Gubbins,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,Bristol,2016-07-29,male,T20,0,Gloucestershire,wickets,4,0,0,0,0,JMR Taylor,20,Gloucestershire,Middlesex,Middlesex,bat,County Ground
0.2,SS Eskinazi,MD Taylor,{'wides': 1},NRT Gubbins,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Middlesex,Bristol,2016-07-29,male,T20,0,Gloucestershire,wickets,4,0,0,0,0,JMR Taylor,20,Gloucestershire,Middlesex,Middlesex,bat,County Ground
0.3,SS Eskinazi,MD Taylor,0,NRT Gubbins,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Middlesex,Bristol,2016-07-29,male,T20,0,Gloucestershire,wickets,4,0,0,0,0,JMR Taylor,20,Gloucestershire,Middlesex,Middlesex,bat,County Ground
0.4,NRT Gubbins,MD Taylor,0,SS Eskinazi,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Middlesex,Bristol,2016-07-29,male,T20,0,Gloucestershire,wickets,4,0,0,0,0,JMR Taylor,20,Gloucestershire,Middlesex,Middlesex,bat,County Ground
0.5,SS Eskinazi,MD Taylor,0,NRT Gubbins,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Middlesex,Bristol,2016-07-29,male,T20,0,Gloucestershire,wickets,4,0,0,0,0,JMR Taylor,20,Gloucestershire,Middlesex,Middlesex,bat,County Ground
0.6,SS Eskinazi,MD Taylor,{'wides': 1},NRT Gubbins,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Middlesex,Bristol,2016-07-29,male,T20,0,Gloucestershire,wickets,4,0,0,0,0,JMR Taylor,20,Gloucestershire,Middlesex,Middlesex,bat,County Ground
0.7,SS Eskinazi,MD Taylor,0,NRT Gubbins,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Middlesex,Bristol,2016-07-29,male,T20,0,Gloucestershire,wickets,4,0,0,0,0,JMR Taylor,20,Gloucestershire,Middlesex,Middlesex,bat,County Ground
0.8,SS Eskinazi,MD Taylor,0,NRT Gubbins,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,Bristol,2016-07-29,male,T20,0,Gloucestershire,wickets,4,0,0,0,0,JMR Taylor,20,Gloucestershire,Middlesex,Middlesex,bat,County Ground
1.1,NRT Gubbins,LC Norwell,0,SS Eskinazi,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,Bristol,2016-07-29,male,T20,0,Gloucestershire,wickets,4,0,0,0,0,JMR Taylor,20,Gloucestershire,Middlesex,Middlesex,bat,County Ground
1.2,NRT Gubbins,LC Norwell,0,SS Eskinazi,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,Bristol,2016-07-29,male,T20,0,Gloucestershire,wickets,4,0,0,0,0,JMR Taylor,20,Gloucestershire,Middlesex,Middlesex,bat,County Ground
