delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,BB McCullum,DA Griffiths,0,DJ Malan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,Middlesex,Canterbury,2016-06-24,male,T20,0,Middlesex,runs,40,0,0,0,0,BB McCullum,20,Kent,Middlesex,Middlesex,bat,St Lawrence Ground
0.2,DJ Malan,DA Griffiths,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,Middlesex,Canterbury,2016-06-24,male,T20,0,Middlesex,runs,40,0,0,0,0,BB McCullum,20,Kent,Middlesex,Middlesex,bat,St Lawrence Ground
0.3,DJ Malan,DA Griffiths,{'wides': 1},BB McCullum,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,Middlesex,Canterbury,2016-06-24,male,T20,0,Middlesex,runs,40,0,0,0,0,BB McCullum,20,Kent,Middlesex,Middlesex,bat,St Lawrence Ground
0.4,DJ Malan,DA Griffiths,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,Middlesex,Canterbury,2016-06-24,male,T20,0,Middlesex,runs,40,0,0,0,0,BB McCullum,20,Kent,Middlesex,Middlesex,bat,St Lawrence Ground
0.5,DJ Malan,DA Griffiths,0,BB McCullum,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,0,4,Middlesex,Canterbury,2016-06-24,male,T20,0,Middlesex,runs,40,0,0,0,0,BB McCullum,20,Kent,Middlesex,Middlesex,bat,St Lawrence Ground
0.6,DJ Malan,DA Griffiths,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,Middlesex,Canterbury,2016-06-24,male,T20,0,Middlesex,runs,40,0,0,0,0,BB McCullum,20,Kent,Middlesex,Middlesex,bat,St Lawrence Ground
0.7,DJ Malan,DA Griffiths,0,BB McCullum,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,0,4,Middlesex,Canterbury,2016-06-24,male,T20,0,Middlesex,runs,40,0,0,0,0,BB McCullum,20,Kent,Middlesex,Middlesex,bat,St Lawrence Ground
1.1,BB McCullum,ME Claydon,0,DJ Malan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,Middlesex,Canterbury,2016-06-24,male,T20,0,Middlesex,runs,40,0,0,0,0,BB McCullum,20,Kent,Middlesex,Middlesex,bat,St Lawrence Ground
1.2,BB McCullum,ME Claydon,0,DJ Malan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,Middlesex,Canterbury,2016-06-24,male,T20,0,Middlesex,runs,40,0,0,0,0,BB McCullum,20,Kent,Middlesex,Middlesex,bat,St Lawrence Ground
1.3,BB McCullum,ME Claydon,0,DJ Malan,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,0,4,Middlesex,Canterbury,2016-06-24,male,T20,0,Middlesex,runs,40,0,0,0,0,BB McCullum,20,Kent,Middlesex,Middlesex,bat,St Lawrence Ground
1.4,BB McCullum,ME Claydon,0,DJ Malan,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,2,Middlesex,Canterbury,2016-06-24,male,T20,0,Middlesex,runs,40,0,0,0,0,BB McCullum,20,Kent,Middlesex,Middlesex,bat,St Lawrence Ground
1.5,BB McCullum,ME Claydon,0,DJ Malan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,Middlesex,Canterbury,2016-06-24,male,T20,0,Middlesex,runs,40,0,0,0,0,BB McCullum,20,Kent,Middlesex,Middlesex,bat,St Lawrence Ground
1.6,DJ Malan,ME Claydon,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,Middlesex,Canterbury,2016-06-24,male,T20,0,Middlesex,runs,40,0,0,0,0,BB McCullum,20,Kent,Middlesex,Middlesex,bat,St Lawrence Ground
2.1,BB McCullum,MD Hunn,0,DJ Malan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,Middlesex,Canterbury,2016-06-24,male,T20,0,Middlesex,runs,40,0,0,0,0,BB McCullum,20,Kent,Middlesex,Middlesex,bat,St Lawrence Ground
