delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,JJ Roy,DI Stevens,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Surrey,Tunbridge Wells,2016-07-15,male,T20,0,Kent,wickets,8,0,0,0,0,DJ Bell-Drummond,20,Kent,Surrey,Surrey,bat,Nevill Ground
0.2,JJ Roy,DI Stevens,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Surrey,Tunbridge Wells,2016-07-15,male,T20,0,Kent,wickets,8,0,0,0,0,DJ Bell-Drummond,20,Kent,Surrey,Surrey,bat,Nevill Ground
0.3,JJ Roy,DI Stevens,0,AJ Finch,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Surrey,Tunbridge Wells,2016-07-15,male,T20,0,Kent,wickets,8,0,0,0,0,DJ Bell-Drummond,20,Kent,Surrey,Surrey,bat,Nevill Ground
0.4,JJ Roy,DI Stevens,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,Tunbridge Wells,2016-07-15,male,T20,0,Kent,wickets,8,0,0,0,0,DJ Bell-Drummond,20,Kent,Surrey,Surrey,bat,Nevill Ground
0.5,AJ Finch,DI Stevens,0,JJ Roy,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Surrey,Tunbridge Wells,2016-07-15,male,T20,0,Kent,wickets,8,0,0,0,0,DJ Bell-Drummond,20,Kent,Surrey,Surrey,bat,Nevill Ground
0.6,AJ Finch,DI Stevens,0,JJ Roy,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,Tunbridge Wells,2016-07-15,male,T20,0,Kent,wickets,8,0,0,0,0,DJ Bell-Drummond,20,Kent,Surrey,Surrey,bat,Nevill Ground
1.1,AJ Finch,ME Claydon,{'wides': 1},JJ Roy,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Surrey,Tunbridge Wells,2016-07-15,male,T20,0,Kent,wickets,8,0,0,0,0,DJ Bell-Drummond,20,Kent,Surrey,Surrey,bat,Nevill Ground
1.2,AJ Finch,ME Claydon,0,JJ Roy,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,Tunbridge Wells,2016-07-15,male,T20,0,Kent,wickets,8,0,0,0,0,DJ Bell-Drummond,20,Kent,Surrey,Surrey,bat,Nevill Ground
1.3,JJ Roy,ME Claydon,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Surrey,Tunbridge Wells,2016-07-15,male,T20,0,Kent,wickets,8,0,0,0,0,DJ Bell-Drummond,20,Kent,Surrey,Surrey,bat,Nevill Ground
1.4,JJ Roy,ME Claydon,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Surrey,Tunbridge Wells,2016-07-15,male,T20,0,Kent,wickets,8,0,0,0,0,DJ Bell-Drummond,20,Kent,Surrey,Surrey,bat,Nevill Ground
1.5,JJ Roy,ME Claydon,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Surrey,Tunbridge Wells,2016-07-15,male,T20,0,Kent,wickets,8,0,0,0,0,DJ Bell-Drummond,20,Kent,Surrey,Surrey,bat,Nevill Ground
