delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,TWM Latham,TS Mills,0,JL Denly,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Kent,Canterbury,2016-06-30,male,T20,0,Kent,runs,10,0,0,0,0,K Rabada,20,Kent,Sussex,Kent,bat,St Lawrence Ground
0.2,JL Denly,TS Mills,{'noballs': 2},TWM Latham,"{'batsman': 0, 'extras': 2, 'total': 2}",0,0.0,2.0,0.0,0.0,0,0,0,0,0,2,2,Kent,Canterbury,2016-06-30,male,T20,0,Kent,runs,10,0,0,0,0,K Rabada,20,Kent,Sussex,Kent,bat,St Lawrence Ground
0.3,JL Denly,TS Mills,0,TWM Latham,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kent,Canterbury,2016-06-30,male,T20,0,Kent,runs,10,0,0,0,0,K Rabada,20,Kent,Sussex,Kent,bat,St Lawrence Ground
0.4,JL Denly,TS Mills,0,TWM Latham,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kent,Canterbury,2016-06-30,male,T20,0,Kent,runs,10,0,0,0,0,K Rabada,20,Kent,Sussex,Kent,bat,St Lawrence Ground
0.5,JL Denly,TS Mills,0,TWM Latham,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kent,Canterbury,2016-06-30,male,T20,0,Kent,runs,10,0,0,0,0,K Rabada,20,Kent,Sussex,Kent,bat,St Lawrence Ground
0.6,JL Denly,TS Mills,0,TWM Latham,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kent,Canterbury,2016-06-30,male,T20,0,Kent,runs,10,0,0,0,0,K Rabada,20,Kent,Sussex,Kent,bat,St Lawrence Ground
0.7,JL Denly,TS Mills,0,TWM Latham,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Kent,Canterbury,2016-06-30,male,T20,0,Kent,runs,10,0,0,0,0,K Rabada,20,Kent,Sussex,Kent,bat,St Lawrence Ground
1.1,TWM Latham,KMDN Kulasekara,0,JL Denly,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Kent,Canterbury,2016-06-30,male,T20,0,Kent,runs,10,0,0,0,0,K Rabada,20,Kent,Sussex,Kent,bat,St Lawrence Ground
1.2,TWM Latham,KMDN Kulasekara,0,JL Denly,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kent,Canterbury,2016-06-30,male,T20,0,Kent,runs,10,0,0,0,0,K Rabada,20,Kent,Sussex,Kent,bat,St Lawrence Ground
1.3,TWM Latham,KMDN Kulasekara,0,JL Denly,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Kent,Canterbury,2016-06-30,male,T20,0,Kent,runs,10,0,0,0,0,K Rabada,20,Kent,Sussex,Kent,bat,St Lawrence Ground
1.4,JL Denly,KMDN Kulasekara,0,TWM Latham,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kent,Canterbury,2016-06-30,male,T20,0,Kent,runs,10,0,0,0,0,K Rabada,20,Kent,Sussex,Kent,bat,St Lawrence Ground
1.5,JL Denly,KMDN Kulasekara,0,TWM Latham,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Kent,Canterbury,2016-06-30,male,T20,0,Kent,runs,10,0,0,0,0,K Rabada,20,Kent,Sussex,Kent,bat,St Lawrence Ground
1.6,JL Denly,KMDN Kulasekara,0,TWM Latham,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kent,Canterbury,2016-06-30,male,T20,0,Kent,runs,10,0,0,0,0,K Rabada,20,Kent,Sussex,Kent,bat,St Lawrence Ground
2.1,TWM Latham,TS Mills,0,JL Denly,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kent,Canterbury,2016-06-30,male,T20,0,Kent,runs,10,0,0,0,0,K Rabada,20,Kent,Sussex,Kent,bat,St Lawrence Ground
2.2,TWM Latham,TS Mills,0,JL Denly,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kent,Canterbury,2016-06-30,male,T20,0,Kent,runs,10,0,0,0,0,K Rabada,20,Kent,Sussex,Kent,bat,St Lawrence Ground
2.3,TWM Latham,TS Mills,0,JL Denly,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kent,Canterbury,2016-06-30,male,T20,0,Kent,runs,10,0,0,0,0,K Rabada,20,Kent,Sussex,Kent,bat,St Lawrence Ground
2.4,TWM Latham,TS Mills,0,JL Denly,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Kent,Canterbury,2016-06-30,male,T20,0,Kent,runs,10,0,0,0,0,K Rabada,20,Kent,Sussex,Kent,bat,St Lawrence Ground
