delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,TC Smith,R Clarke,0,AN Petersen,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Lancashire,Manchester,2016-07-29,male,T20,0,Lancashire,runs,30,0,0,0,0,TJ Moores,20,Lancashire,Warwickshire,Lancashire,bat,Old Trafford
0.2,AN Petersen,R Clarke,0,TC Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Lancashire,Manchester,2016-07-29,male,T20,0,Lancashire,runs,30,0,0,0,0,TJ Moores,20,Lancashire,Warwickshire,Lancashire,bat,Old Trafford
0.3,AN Petersen,R Clarke,0,TC Smith,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Lancashire,Manchester,2016-07-29,male,T20,0,Lancashire,runs,30,0,0,0,0,TJ Moores,20,Lancashire,Warwickshire,Lancashire,bat,Old Trafford
0.4,TC Smith,R Clarke,{'legbyes': 1},AN Petersen,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0,1.0,0.0,0,0,0,0,0,1,1,Lancashire,Manchester,2016-07-29,male,T20,0,Lancashire,runs,30,0,0,0,0,TJ Moores,20,Lancashire,Warwickshire,Lancashire,bat,Old Trafford
0.5,AN Petersen,R Clarke,0,TC Smith,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Lancashire,Manchester,2016-07-29,male,T20,0,Lancashire,runs,30,0,0,0,0,TJ Moores,20,Lancashire,Warwickshire,Lancashire,bat,Old Trafford
0.6,TC Smith,R Clarke,0,AN Petersen,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Lancashire,Manchester,2016-07-29,male,T20,0,Lancashire,runs,30,0,0,0,0,TJ Moores,20,Lancashire,Warwickshire,Lancashire,bat,Old Trafford
1.1,AN Petersen,OJ Hannon-Dalby,0,TC Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Lancashire,Manchester,2016-07-29,male,T20,0,Lancashire,runs,30,0,0,0,0,TJ Moores,20,Lancashire,Warwickshire,Lancashire,bat,Old Trafford
1.2,AN Petersen,OJ Hannon-Dalby,0,TC Smith,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Lancashire,Manchester,2016-07-29,male,T20,0,Lancashire,runs,30,0,0,0,0,TJ Moores,20,Lancashire,Warwickshire,Lancashire,bat,Old Trafford
1.3,AN Petersen,OJ Hannon-Dalby,0,TC Smith,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Lancashire,Manchester,2016-07-29,male,T20,0,Lancashire,runs,30,0,0,0,0,TJ Moores,20,Lancashire,Warwickshire,Lancashire,bat,Old Trafford
1.4,AN Petersen,OJ Hannon-Dalby,0,TC Smith,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Lancashire,Manchester,2016-07-29,male,T20,0,Lancashire,runs,30,0,0,0,0,TJ Moores,20,Lancashire,Warwickshire,Lancashire,bat,Old Trafford
1.5,TC Smith,OJ Hannon-Dalby,0,AN Petersen,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Lancashire,Manchester,2016-07-29,male,T20,0,Lancashire,runs,30,0,0,0,0,TJ Moores,20,Lancashire,Warwickshire,Lancashire,bat,Old Trafford
