delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,BB McCullum,TD Groenewald,0,DJ Malan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Middlesex,London,2016-06-23,male,T20,0,Middlesex,runs,4,0,0,0,0,DJ Malan,20,Middlesex,Somerset,Somerset,field,Lord's
0.2,DJ Malan,TD Groenewald,0,BB McCullum,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Middlesex,London,2016-06-23,male,T20,0,Middlesex,runs,4,0,0,0,0,DJ Malan,20,Middlesex,Somerset,Somerset,field,Lord's
0.3,DJ Malan,TD Groenewald,0,BB McCullum,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Middlesex,London,2016-06-23,male,T20,0,Middlesex,runs,4,0,0,0,0,DJ Malan,20,Middlesex,Somerset,Somerset,field,Lord's
0.4,DJ Malan,TD Groenewald,{'wides': 1},BB McCullum,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Middlesex,London,2016-06-23,male,T20,0,Middlesex,runs,4,0,0,0,0,DJ Malan,20,Middlesex,Somerset,Somerset,field,Lord's
0.5,DJ Malan,TD Groenewald,{'wides': 1},BB McCullum,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Middlesex,London,2016-06-23,male,T20,0,Middlesex,runs,4,0,0,0,0,DJ Malan,20,Middlesex,Somerset,Somerset,field,Lord's
0.6,DJ Malan,TD Groenewald,0,BB McCullum,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Middlesex,London,2016-06-23,male,T20,0,Middlesex,runs,4,0,0,0,0,DJ Malan,20,Middlesex,Somerset,Somerset,field,Lord's
0.7,DJ Malan,TD Groenewald,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,London,2016-06-23,male,T20,0,Middlesex,runs,4,0,0,0,0,DJ Malan,20,Middlesex,Somerset,Somerset,field,Lord's
0.8,DJ Malan,TD Groenewald,0,BB McCullum,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Middlesex,London,2016-06-23,male,T20,0,Middlesex,runs,4,0,0,0,0,DJ Malan,20,Middlesex,Somerset,Somerset,field,Lord's
1.1,BB McCullum,J Overton,0,DJ Malan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,London,2016-06-23,male,T20,0,Middlesex,runs,4,0,0,0,0,DJ Malan,20,Middlesex,Somerset,Somerset,field,Lord's
1.2,BB McCullum,J Overton,0,DJ Malan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Middlesex,London,2016-06-23,male,T20,0,Middlesex,runs,4,0,0,0,0,DJ Malan,20,Middlesex,Somerset,Somerset,field,Lord's
1.3,DJ Malan,J Overton,0,BB McCullum,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Middlesex,London,2016-06-23,male,T20,0,Middlesex,runs,4,0,0,0,0,DJ Malan,20,Middlesex,Somerset,Somerset,field,Lord's
1.4,DJ Malan,J Overton,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,London,2016-06-23,male,T20,0,Middlesex,runs,4,0,0,0,0,DJ Malan,20,Middlesex,Somerset,Somerset,field,Lord's
1.5,DJ Malan,J Overton,0,BB McCullum,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Middlesex,London,2016-06-23,male,T20,0,Middlesex,runs,4,0,0,0,0,DJ Malan,20,Middlesex,Somerset,Somerset,field,Lord's
1.6,BB McCullum,J Overton,0,DJ Malan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,London,2016-06-23,male,T20,0,Middlesex,runs,4,0,0,0,0,DJ Malan,20,Middlesex,Somerset,Somerset,field,Lord's
2.1,DJ Malan,C Overton,0,BB McCullum,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Middlesex,London,2016-06-23,male,T20,0,Middlesex,runs,4,0,0,0,0,DJ Malan,20,Middlesex,Somerset,Somerset,field,Lord's
2.2,BB McCullum,C Overton,0,DJ Malan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Middlesex,London,2016-06-23,male,T20,0,Middlesex,runs,4,0,0,0,0,DJ Malan,20,Middlesex,Somerset,Somerset,field,Lord's
2.3,DJ Malan,C Overton,0,BB McCullum,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Middlesex,London,2016-06-23,male,T20,0,Middlesex,runs,4,0,0,0,0,DJ Malan,20,Middlesex,Somerset,Somerset,field,Lord's
2.4,DJ Malan,C Overton,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,London,2016-06-23,male,T20,0,Middlesex,runs,4,0,0,0,0,DJ Malan,20,Middlesex,Somerset,Somerset,field,Lord's
2.5,DJ Malan,C Overton,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,London,2016-06-23,male,T20,0,Middlesex,runs,4,0,0,0,0,DJ Malan,20,Middlesex,Somerset,Somerset,field,Lord's
2.6,DJ Malan,C Overton,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,London,2016-06-23,male,T20,0,Middlesex,runs,4,0,0,0,0,DJ Malan,20,Middlesex,Somerset,Somerset,field,Lord's
3.1,BB McCullum,L Gregory,{'legbyes': 1},DJ Malan,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0.0,1.0,0,0,0,0,0,0,1,1,Middlesex,London,2016-06-23,male,T20,0,Middlesex,runs,4,0,0,0,0,DJ Malan,20,Middlesex,Somerset,Somerset,field,Lord's
3.2,DJ Malan,L Gregory,0,BB McCullum,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Middlesex,London,2016-06-23,male,T20,0,Middlesex,runs,4,0,0,0,0,DJ Malan,20,Middlesex,Somerset,Somerset,field,Lord's
3.3,BB McCullum,L Gregory,0,DJ Malan,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Middlesex,London,2016-06-23,male,T20,0,Middlesex,runs,4,0,0,0,0,DJ Malan,20,Middlesex,Somerset,Somerset,field,Lord's
3.4,BB McCullum,L Gregory,0,DJ Malan,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['RC Davies'], 'kind': 'caught', 'player_out': 'BB McCullum'}",0.0,0.0,0.0,0,0,caught,BB McCullum,['RC Davies'],0,0,0,Middlesex,London,2016-06-23,male,T20,0,Middlesex,runs,4,0,0,0,0,DJ Malan,20,Middlesex,Somerset,Somerset,field,Lord's
3.5,PR Stirling,L Gregory,0,DJ Malan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,London,2016-06-23,male,T20,0,Middlesex,runs,4,0,0,0,0,DJ Malan,20,Middlesex,Somerset,Somerset,field,Lord's
3.6,PR Stirling,L Gregory,0,DJ Malan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,London,2016-06-23,male,T20,0,Middlesex,runs,4,0,0,0,0,DJ Malan,20,Middlesex,Somerset,Somerset,field,Lord's
