delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,ML Pettini,MA Ashraf,0,MJ Cosgrove,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Leicestershire,Northampton,2016-06-26,male,T20,0,Northamptonshire,wickets,6,0,0,0,0,JJ Cobb,20,Northamptonshire,Leicestershire,Northamptonshire,field,County Ground
0.2,ML Pettini,MA Ashraf,0,MJ Cosgrove,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Leicestershire,Northampton,2016-06-26,male,T20,0,Northamptonshire,wickets,6,0,0,0,0,JJ Cobb,20,Northamptonshire,Leicestershire,Northamptonshire,field,County Ground
0.3,MJ Cosgrove,MA Ashraf,0,ML Pettini,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Leicestershire,Northampton,2016-06-26,male,T20,0,Northamptonshire,wickets,6,0,0,0,0,JJ Cobb,20,Northamptonshire,Leicestershire,Northamptonshire,field,County Ground
0.4,ML Pettini,MA Ashraf,0,MJ Cosgrove,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Leicestershire,Northampton,2016-06-26,male,T20,0,Northamptonshire,wickets,6,0,0,0,0,JJ Cobb,20,Northamptonshire,Leicestershire,Northamptonshire,field,County Ground
0.5,ML Pettini,MA Ashraf,0,MJ Cosgrove,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Leicestershire,Northampton,2016-06-26,male,T20,0,Northamptonshire,wickets,6,0,0,0,0,JJ Cobb,20,Northamptonshire,Leicestershire,Northamptonshire,field,County Ground
0.6,MJ Cosgrove,MA Ashraf,0,ML Pettini,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Leicestershire,Northampton,2016-06-26,male,T20,0,Northamptonshire,wickets,6,0,0,0,0,JJ Cobb,20,Northamptonshire,Leicestershire,Northamptonshire,field,County Ground
1.1,MJ Cosgrove,RJ Gleeson,0,ML Pettini,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'MJ Cosgrove'}",0.0,0.0,0.0,0.0,0,bowled,MJ Cosgrove,0,0,0,0,Leicestershire,Northampton,2016-06-26,male,T20,0,Northamptonshire,wickets,6,0,0,0,0,JJ Cobb,20,Northamptonshire,Leicestershire,Northamptonshire,field,County Ground
1.2,CS Delport,RJ Gleeson,0,ML Pettini,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Leicestershire,Northampton,2016-06-26,male,T20,0,Northamptonshire,wickets,6,0,0,0,0,JJ Cobb,20,Northamptonshire,Leicestershire,Northamptonshire,field,County Ground
1.3,CS Delport,RJ Gleeson,0,ML Pettini,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Leicestershire,Northampton,2016-06-26,male,T20,0,Northamptonshire,wickets,6,0,0,0,0,JJ Cobb,20,Northamptonshire,Leicestershire,Northamptonshire,field,County Ground
1.4,CS Delport,RJ Gleeson,0,ML Pettini,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Leicestershire,Northampton,2016-06-26,male,T20,0,Northamptonshire,wickets,6,0,0,0,0,JJ Cobb,20,Northamptonshire,Leicestershire,Northamptonshire,field,County Ground
