delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,MH Wessels,DW Lawrence,0,MJ Lumb,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Nottinghamshire,Nottingham,2016-08-08,male,T20,0,Nottinghamshire,runs,39,0,0,0,0,SR Patel,20,Nottinghamshire,Essex,Essex,field,Trent Bridge
0.2,MJ Lumb,DW Lawrence,0,MH Wessels,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Nottinghamshire,Nottingham,2016-08-08,male,T20,0,Nottinghamshire,runs,39,0,0,0,0,SR Patel,20,Nottinghamshire,Essex,Essex,field,Trent Bridge
0.3,MJ Lumb,DW Lawrence,0,MH Wessels,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Nottinghamshire,Nottingham,2016-08-08,male,T20,0,Nottinghamshire,runs,39,0,0,0,0,SR Patel,20,Nottinghamshire,Essex,Essex,field,Trent Bridge
0.4,MJ Lumb,DW Lawrence,0,MH Wessels,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Nottinghamshire,Nottingham,2016-08-08,male,T20,0,Nottinghamshire,runs,39,0,0,0,0,SR Patel,20,Nottinghamshire,Essex,Essex,field,Trent Bridge
0.5,MJ Lumb,DW Lawrence,0,MH Wessels,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Nottinghamshire,Nottingham,2016-08-08,male,T20,0,Nottinghamshire,runs,39,0,0,0,0,SR Patel,20,Nottinghamshire,Essex,Essex,field,Trent Bridge
0.6,MH Wessels,DW Lawrence,0,MJ Lumb,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Nottinghamshire,Nottingham,2016-08-08,male,T20,0,Nottinghamshire,runs,39,0,0,0,0,SR Patel,20,Nottinghamshire,Essex,Essex,field,Trent Bridge
1.1,MH Wessels,DD Masters,0,MJ Lumb,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Nottinghamshire,Nottingham,2016-08-08,male,T20,0,Nottinghamshire,runs,39,0,0,0,0,SR Patel,20,Nottinghamshire,Essex,Essex,field,Trent Bridge
1.2,MJ Lumb,DD Masters,0,MH Wessels,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Nottinghamshire,Nottingham,2016-08-08,male,T20,0,Nottinghamshire,runs,39,0,0,0,0,SR Patel,20,Nottinghamshire,Essex,Essex,field,Trent Bridge
1.3,MH Wessels,DD Masters,0,MJ Lumb,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Nottinghamshire,Nottingham,2016-08-08,male,T20,0,Nottinghamshire,runs,39,0,0,0,0,SR Patel,20,Nottinghamshire,Essex,Essex,field,Trent Bridge
1.4,MH Wessels,DD Masters,0,MJ Lumb,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Nottinghamshire,Nottingham,2016-08-08,male,T20,0,Nottinghamshire,runs,39,0,0,0,0,SR Patel,20,Nottinghamshire,Essex,Essex,field,Trent Bridge
1.5,MH Wessels,DD Masters,0,MJ Lumb,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Nottinghamshire,Nottingham,2016-08-08,male,T20,0,Nottinghamshire,runs,39,0,0,0,0,SR Patel,20,Nottinghamshire,Essex,Essex,field,Trent Bridge
1.6,MJ Lumb,DD Masters,0,MH Wessels,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Nottinghamshire,Nottingham,2016-08-08,male,T20,0,Nottinghamshire,runs,39,0,0,0,0,SR Patel,20,Nottinghamshire,Essex,Essex,field,Trent Bridge
2.1,MJ Lumb,PI Walter,0,MH Wessels,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Nottinghamshire,Nottingham,2016-08-08,male,T20,0,Nottinghamshire,runs,39,0,0,0,0,SR Patel,20,Nottinghamshire,Essex,Essex,field,Trent Bridge
2.2,MJ Lumb,PI Walter,0,MH Wessels,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['JD Ryder'], 'kind': 'caught', 'player_out': 'MJ Lumb'}",0.0,0.0,0.0,0.0,0,caught,MJ Lumb,['JD Ryder'],0,0,0,Nottinghamshire,Nottingham,2016-08-08,male,T20,0,Nottinghamshire,runs,39,0,0,0,0,SR Patel,20,Nottinghamshire,Essex,Essex,field,Trent Bridge
2.3,GP Smith,PI Walter,0,MH Wessels,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Nottinghamshire,Nottingham,2016-08-08,male,T20,0,Nottinghamshire,runs,39,0,0,0,0,SR Patel,20,Nottinghamshire,Essex,Essex,field,Trent Bridge
2.4,GP Smith,PI Walter,0,MH Wessels,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Nottinghamshire,Nottingham,2016-08-08,male,T20,0,Nottinghamshire,runs,39,0,0,0,0,SR Patel,20,Nottinghamshire,Essex,Essex,field,Trent Bridge
2.5,GP Smith,PI Walter,0,MH Wessels,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Nottinghamshire,Nottingham,2016-08-08,male,T20,0,Nottinghamshire,runs,39,0,0,0,0,SR Patel,20,Nottinghamshire,Essex,Essex,field,Trent Bridge
2.6,GP Smith,PI Walter,0,MH Wessels,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Nottinghamshire,Nottingham,2016-08-08,male,T20,0,Nottinghamshire,runs,39,0,0,0,0,SR Patel,20,Nottinghamshire,Essex,Essex,field,Trent Bridge
3.1,MH Wessels,DD Masters,0,GP Smith,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Nottinghamshire,Nottingham,2016-08-08,male,T20,0,Nottinghamshire,runs,39,0,0,0,0,SR Patel,20,Nottinghamshire,Essex,Essex,field,Trent Bridge
3.2,MH Wessels,DD Masters,0,GP Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Nottinghamshire,Nottingham,2016-08-08,male,T20,0,Nottinghamshire,runs,39,0,0,0,0,SR Patel,20,Nottinghamshire,Essex,Essex,field,Trent Bridge
3.3,MH Wessels,DD Masters,0,GP Smith,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Nottinghamshire,Nottingham,2016-08-08,male,T20,0,Nottinghamshire,runs,39,0,0,0,0,SR Patel,20,Nottinghamshire,Essex,Essex,field,Trent Bridge
3.4,MH Wessels,DD Masters,0,GP Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Nottinghamshire,Nottingham,2016-08-08,male,T20,0,Nottinghamshire,runs,39,0,0,0,0,SR Patel,20,Nottinghamshire,Essex,Essex,field,Trent Bridge
