delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,JJ Roy,Yasir Arafat,0,DP Sibley,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
0.2,JJ Roy,Yasir Arafat,0,DP Sibley,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
0.3,JJ Roy,Yasir Arafat,0,DP Sibley,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
0.4,JJ Roy,Yasir Arafat,0,DP Sibley,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
0.5,JJ Roy,Yasir Arafat,0,DP Sibley,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
0.6,DP Sibley,Yasir Arafat,0,JJ Roy,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
1.1,JJ Roy,J Overton,0,DP Sibley,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
1.2,DP Sibley,J Overton,0,JJ Roy,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
1.3,JJ Roy,J Overton,0,DP Sibley,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
1.4,DP Sibley,J Overton,0,JJ Roy,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
1.5,JJ Roy,J Overton,0,DP Sibley,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
1.6,DP Sibley,J Overton,0,JJ Roy,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
2.1,DP Sibley,C Overton,0,JJ Roy,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
2.2,DP Sibley,C Overton,0,JJ Roy,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
2.3,DP Sibley,C Overton,0,JJ Roy,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
2.4,DP Sibley,C Overton,0,JJ Roy,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
2.5,JJ Roy,C Overton,0,DP Sibley,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
2.6,JJ Roy,C Overton,0,DP Sibley,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
3.1,JJ Roy,L Gregory,0,DP Sibley,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
3.2,JJ Roy,L Gregory,0,DP Sibley,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
3.3,JJ Roy,L Gregory,0,DP Sibley,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
3.4,JJ Roy,L Gregory,{'wides': 1},DP Sibley,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
3.5,JJ Roy,L Gregory,0,DP Sibley,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
3.6,DP Sibley,L Gregory,0,JJ Roy,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
3.7,DP Sibley,L Gregory,0,JJ Roy,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
4.1,JJ Roy,C Overton,0,DP Sibley,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
4.2,JJ Roy,C Overton,0,DP Sibley,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
4.3,JJ Roy,C Overton,0,DP Sibley,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['RE van der Merwe'], 'kind': 'caught', 'player_out': 'JJ Roy'}",0.0,0.0,0.0,0,0,caught,JJ Roy,['RE van der Merwe'],0,0,0,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
4.4,KC Sangakkara,C Overton,0,DP Sibley,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
4.5,KC Sangakkara,C Overton,0,DP Sibley,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
4.6,KC Sangakkara,C Overton,0,DP Sibley,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
5.1,DP Sibley,J Overton,0,KC Sangakkara,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
5.2,DP Sibley,J Overton,0,KC Sangakkara,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
5.3,DP Sibley,J Overton,0,KC Sangakkara,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
5.4,KC Sangakkara,J Overton,0,DP Sibley,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
5.5,KC Sangakkara,J Overton,0,DP Sibley,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
5.6,KC Sangakkara,J Overton,0,DP Sibley,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
6.1,KC Sangakkara,RE van der Merwe,0,DP Sibley,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
6.2,DP Sibley,RE van der Merwe,0,KC Sangakkara,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
6.3,KC Sangakkara,RE van der Merwe,0,DP Sibley,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
6.4,DP Sibley,RE van der Merwe,0,KC Sangakkara,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
6.5,KC Sangakkara,RE van der Merwe,0,DP Sibley,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
6.6,DP Sibley,RE van der Merwe,0,KC Sangakkara,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
7.1,DP Sibley,L Gregory,0,KC Sangakkara,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
7.2,KC Sangakkara,L Gregory,0,DP Sibley,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
7.3,KC Sangakkara,L Gregory,0,DP Sibley,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
7.4,KC Sangakkara,L Gregory,0,DP Sibley,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
7.5,DP Sibley,L Gregory,0,KC Sangakkara,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
7.6,KC Sangakkara,L Gregory,0,DP Sibley,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
8.1,DP Sibley,RE van der Merwe,0,KC Sangakkara,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,Taunton,2016-06-10,male,T20,0,Somerset,wickets,6,0,0,0,0,JG Myburgh,20,Somerset,Surrey,Surrey,bat,County Ground
