delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,DL Lloyd,TS Mills,0,MA Wallace,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Glamorgan,Hove,2016-07-28,male,T20,0,0,0,0,0,0,0,0,0,20,Sussex,Glamorgan,Sussex,field,County Ground
0.2,DL Lloyd,TS Mills,{'noballs': 3},MA Wallace,"{'batsman': 0, 'extras': 3, 'total': 3}",0,0.0,3.0,0.0,0.0,0,0,0,0,0,3,3,Glamorgan,Hove,2016-07-28,male,T20,0,0,0,0,0,0,0,0,0,20,Sussex,Glamorgan,Sussex,field,County Ground
0.3,MA Wallace,TS Mills,{'noballs': 2},DL Lloyd,"{'batsman': 0, 'extras': 2, 'total': 2}",0,0.0,2.0,0.0,0.0,0,0,0,0,0,2,2,Glamorgan,Hove,2016-07-28,male,T20,0,0,0,0,0,0,0,0,0,20,Sussex,Glamorgan,Sussex,field,County Ground
0.4,MA Wallace,TS Mills,0,DL Lloyd,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Glamorgan,Hove,2016-07-28,male,T20,0,0,0,0,0,0,0,0,0,20,Sussex,Glamorgan,Sussex,field,County Ground
0.5,MA Wallace,TS Mills,{'wides': 1},DL Lloyd,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Glamorgan,Hove,2016-07-28,male,T20,0,0,0,0,0,0,0,0,0,20,Sussex,Glamorgan,Sussex,field,County Ground
0.6,MA Wallace,TS Mills,0,DL Lloyd,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Glamorgan,Hove,2016-07-28,male,T20,0,0,0,0,0,0,0,0,0,20,Sussex,Glamorgan,Sussex,field,County Ground
0.7,MA Wallace,TS Mills,0,DL Lloyd,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Glamorgan,Hove,2016-07-28,male,T20,0,0,0,0,0,0,0,0,0,20,Sussex,Glamorgan,Sussex,field,County Ground
0.8,MA Wallace,TS Mills,{'noballs': 2},DL Lloyd,"{'batsman': 0, 'extras': 2, 'total': 2}",0,0.0,2.0,0.0,0.0,0,0,0,0,0,2,2,Glamorgan,Hove,2016-07-28,male,T20,0,0,0,0,0,0,0,0,0,20,Sussex,Glamorgan,Sussex,field,County Ground
0.9,MA Wallace,TS Mills,0,DL Lloyd,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Glamorgan,Hove,2016-07-28,male,T20,0,0,0,0,0,0,0,0,0,20,Sussex,Glamorgan,Sussex,field,County Ground
0.1,MA Wallace,TS Mills,0,DL Lloyd,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['MW Machan'], 'kind': 'caught', 'player_out': 'MA Wallace'}",0.0,0.0,0.0,0.0,0,caught,MA Wallace,['MW Machan'],0,0,0,Glamorgan,Hove,2016-07-28,male,T20,0,0,0,0,0,0,0,0,0,20,Sussex,Glamorgan,Sussex,field,County Ground
1.1,CA Ingram,JC Archer,0,DL Lloyd,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Glamorgan,Hove,2016-07-28,male,T20,0,0,0,0,0,0,0,0,0,20,Sussex,Glamorgan,Sussex,field,County Ground
1.2,CA Ingram,JC Archer,0,DL Lloyd,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Glamorgan,Hove,2016-07-28,male,T20,0,0,0,0,0,0,0,0,0,20,Sussex,Glamorgan,Sussex,field,County Ground
