delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,DJ Malan,DR Briggs,{'wides': 1},PR Stirling,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
0.2,DJ Malan,DR Briggs,0,PR Stirling,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
0.3,PR Stirling,DR Briggs,0,DJ Malan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
0.4,PR Stirling,DR Briggs,0,DJ Malan,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
0.5,PR Stirling,DR Briggs,0,DJ Malan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
0.6,PR Stirling,DR Briggs,0,DJ Malan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
0.7,DJ Malan,DR Briggs,0,PR Stirling,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
1.1,PR Stirling,KMDN Kulasekara,0,DJ Malan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
1.2,PR Stirling,KMDN Kulasekara,0,DJ Malan,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
1.3,PR Stirling,KMDN Kulasekara,0,DJ Malan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
1.4,PR Stirling,KMDN Kulasekara,0,DJ Malan,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
1.5,PR Stirling,KMDN Kulasekara,0,DJ Malan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
1.6,PR Stirling,KMDN Kulasekara,0,DJ Malan,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
2.1,DJ Malan,TS Mills,0,PR Stirling,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
2.2,DJ Malan,TS Mills,0,PR Stirling,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
2.3,DJ Malan,TS Mills,{'noballs': 2},PR Stirling,"{'batsman': 0, 'extras': 2, 'total': 2}",0,0.0,2.0,0.0,0,0,0,0,0,0,2,2,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
2.4,DJ Malan,TS Mills,0,PR Stirling,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['Craig Cachopa'], 'kind': 'caught', 'player_out': 'DJ Malan'}",0.0,0.0,0.0,0,0,caught,DJ Malan,['Craig Cachopa'],0,0,0,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
2.5,PR Stirling,TS Mills,0,JA Simpson,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
2.6,PR Stirling,TS Mills,0,JA Simpson,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
2.7,JA Simpson,TS Mills,0,PR Stirling,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
3.1,PR Stirling,A Shahzad,0,JA Simpson,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
3.2,PR Stirling,A Shahzad,0,JA Simpson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
3.3,PR Stirling,A Shahzad,0,JA Simpson,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
3.4,PR Stirling,A Shahzad,0,JA Simpson,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
3.5,PR Stirling,A Shahzad,0,JA Simpson,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
3.6,PR Stirling,A Shahzad,0,JA Simpson,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
4.1,PR Stirling,TS Mills,0,JA Simpson,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
4.2,PR Stirling,TS Mills,0,JA Simpson,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
4.3,PR Stirling,TS Mills,0,JA Simpson,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
4.4,JA Simpson,TS Mills,0,PR Stirling,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
4.5,JA Simpson,TS Mills,0,PR Stirling,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
4.6,JA Simpson,TS Mills,0,PR Stirling,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
5.1,PR Stirling,KMDN Kulasekara,0,JA Simpson,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
5.2,JA Simpson,KMDN Kulasekara,0,PR Stirling,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
5.3,JA Simpson,KMDN Kulasekara,0,PR Stirling,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
5.4,JA Simpson,KMDN Kulasekara,0,PR Stirling,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'JA Simpson'}",0.0,0.0,0.0,0,0,bowled,JA Simpson,0,0,0,0,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
5.5,GJ Bailey,KMDN Kulasekara,0,PR Stirling,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
5.6,GJ Bailey,KMDN Kulasekara,0,PR Stirling,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
6.1,PR Stirling,DR Briggs,0,GJ Bailey,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
6.2,GJ Bailey,DR Briggs,0,PR Stirling,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
6.3,GJ Bailey,DR Briggs,0,PR Stirling,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
6.4,PR Stirling,DR Briggs,0,GJ Bailey,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['Craig Cachopa'], 'kind': 'caught', 'player_out': 'PR Stirling'}",0.0,0.0,0.0,0,0,caught,PR Stirling,['Craig Cachopa'],0,0,0,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
6.5,JEC Franklin,DR Briggs,0,GJ Bailey,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Middlesex,Hove,2016-07-01,male,T20,0,Sussex,wickets,7,0,0,0,0,DR Briggs,20,Sussex,Middlesex,Sussex,field,County Ground
