,delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0,0.1,CD Nash,DA Payne,0,PD Salt,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Sussex,Bristol,2016-05-20,male,T20,0,Sussex,runs,1,0,0,0,0,LRPL Taylor,20,Gloucestershire,Sussex,Gloucestershire,field,County Ground
1,0.2,CD Nash,DA Payne,0,PD Salt,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sussex,Bristol,2016-05-20,male,T20,0,Sussex,runs,1,0,0,0,0,LRPL Taylor,20,Gloucestershire,Sussex,Gloucestershire,field,County Ground
2,0.3,PD Salt,DA Payne,0,CD Nash,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sussex,Bristol,2016-05-20,male,T20,0,Sussex,runs,1,0,0,0,0,LRPL Taylor,20,Gloucestershire,Sussex,Gloucestershire,field,County Ground
3,0.4,CD Nash,DA Payne,0,PD Salt,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Sussex,Bristol,2016-05-20,male,T20,0,Sussex,runs,1,0,0,0,0,LRPL Taylor,20,Gloucestershire,Sussex,Gloucestershire,field,County Ground
4,0.5,CD Nash,DA Payne,0,PD Salt,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Sussex,Bristol,2016-05-20,male,T20,0,Sussex,runs,1,0,0,0,0,LRPL Taylor,20,Gloucestershire,Sussex,Gloucestershire,field,County Ground
5,0.6,CD Nash,DA Payne,0,PD Salt,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sussex,Bristol,2016-05-20,male,T20,0,Sussex,runs,1,0,0,0,0,LRPL Taylor,20,Gloucestershire,Sussex,Gloucestershire,field,County Ground
6,1.1,CD Nash,CN Miles,{'legbyes': 1},PD Salt,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,1,Sussex,Bristol,2016-05-20,male,T20,0,Sussex,runs,1,0,0,0,0,LRPL Taylor,20,Gloucestershire,Sussex,Gloucestershire,field,County Ground
7,1.2,PD Salt,CN Miles,0,CD Nash,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Sussex,Bristol,2016-05-20,male,T20,0,Sussex,runs,1,0,0,0,0,LRPL Taylor,20,Gloucestershire,Sussex,Gloucestershire,field,County Ground
8,1.3,PD Salt,CN Miles,0,CD Nash,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Sussex,Bristol,2016-05-20,male,T20,0,Sussex,runs,1,0,0,0,0,LRPL Taylor,20,Gloucestershire,Sussex,Gloucestershire,field,County Ground
9,1.4,PD Salt,CN Miles,0,CD Nash,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sussex,Bristol,2016-05-20,male,T20,0,Sussex,runs,1,0,0,0,0,LRPL Taylor,20,Gloucestershire,Sussex,Gloucestershire,field,County Ground
10,1.5,PD Salt,CN Miles,0,CD Nash,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Sussex,Bristol,2016-05-20,male,T20,0,Sussex,runs,1,0,0,0,0,LRPL Taylor,20,Gloucestershire,Sussex,Gloucestershire,field,County Ground
11,1.6,PD Salt,CN Miles,0,CD Nash,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Sussex,Bristol,2016-05-20,male,T20,0,Sussex,runs,1,0,0,0,0,LRPL Taylor,20,Gloucestershire,Sussex,Gloucestershire,field,County Ground
