,delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0,0.1,NRT Gubbins,DD Masters,0,DJ Malan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Middlesex,London,2016-07-28,male,T20,0,Essex,wickets,5,0,0,0,0,Ashar Zaidi,20,Middlesex,Essex,Essex,field,Lord's
1,0.2,DJ Malan,DD Masters,0,NRT Gubbins,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Middlesex,London,2016-07-28,male,T20,0,Essex,wickets,5,0,0,0,0,Ashar Zaidi,20,Middlesex,Essex,Essex,field,Lord's
2,0.3,DJ Malan,DD Masters,0,NRT Gubbins,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Middlesex,London,2016-07-28,male,T20,0,Essex,wickets,5,0,0,0,0,Ashar Zaidi,20,Middlesex,Essex,Essex,field,Lord's
3,0.4,NRT Gubbins,DD Masters,0,DJ Malan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Middlesex,London,2016-07-28,male,T20,0,Essex,wickets,5,0,0,0,0,Ashar Zaidi,20,Middlesex,Essex,Essex,field,Lord's
4,0.5,DJ Malan,DD Masters,0,NRT Gubbins,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Middlesex,London,2016-07-28,male,T20,0,Essex,wickets,5,0,0,0,0,Ashar Zaidi,20,Middlesex,Essex,Essex,field,Lord's
5,0.6,NRT Gubbins,DD Masters,0,DJ Malan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Middlesex,London,2016-07-28,male,T20,0,Essex,wickets,5,0,0,0,0,Ashar Zaidi,20,Middlesex,Essex,Essex,field,Lord's
6,1.1,NRT Gubbins,MR Quinn,0,DJ Malan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Middlesex,London,2016-07-28,male,T20,0,Essex,wickets,5,0,0,0,0,Ashar Zaidi,20,Middlesex,Essex,Essex,field,Lord's
7,1.2,DJ Malan,MR Quinn,0,NRT Gubbins,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Middlesex,London,2016-07-28,male,T20,0,Essex,wickets,5,0,0,0,0,Ashar Zaidi,20,Middlesex,Essex,Essex,field,Lord's
8,1.3,DJ Malan,MR Quinn,0,NRT Gubbins,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Middlesex,London,2016-07-28,male,T20,0,Essex,wickets,5,0,0,0,0,Ashar Zaidi,20,Middlesex,Essex,Essex,field,Lord's
9,1.4,DJ Malan,MR Quinn,{'wides': 1},NRT Gubbins,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Middlesex,London,2016-07-28,male,T20,0,Essex,wickets,5,0,0,0,0,Ashar Zaidi,20,Middlesex,Essex,Essex,field,Lord's
