,delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0,0.1,JJ Roy,RE van der Merwe,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Surrey,London,2016-07-08,male,T20,0,Surrey,runs,15,0,0,0,0,AJ Finch,20,Surrey,Somerset,Somerset,field,Kennington Oval
1,0.2,JJ Roy,RE van der Merwe,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,London,2016-07-08,male,T20,0,Surrey,runs,15,0,0,0,0,AJ Finch,20,Surrey,Somerset,Somerset,field,Kennington Oval
2,0.3,AJ Finch,RE van der Merwe,0,JJ Roy,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Surrey,London,2016-07-08,male,T20,0,Surrey,runs,15,0,0,0,0,AJ Finch,20,Surrey,Somerset,Somerset,field,Kennington Oval
3,0.4,AJ Finch,RE van der Merwe,0,JJ Roy,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Surrey,London,2016-07-08,male,T20,0,Surrey,runs,15,0,0,0,0,AJ Finch,20,Surrey,Somerset,Somerset,field,Kennington Oval
4,0.5,AJ Finch,RE van der Merwe,0,JJ Roy,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Surrey,London,2016-07-08,male,T20,0,Surrey,runs,15,0,0,0,0,AJ Finch,20,Surrey,Somerset,Somerset,field,Kennington Oval
5,0.6,AJ Finch,RE van der Merwe,0,JJ Roy,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Surrey,London,2016-07-08,male,T20,0,Surrey,runs,15,0,0,0,0,AJ Finch,20,Surrey,Somerset,Somerset,field,Kennington Oval
6,1.1,JJ Roy,J Overton,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,London,2016-07-08,male,T20,0,Surrey,runs,15,0,0,0,0,AJ Finch,20,Surrey,Somerset,Somerset,field,Kennington Oval
7,1.2,AJ Finch,J Overton,0,JJ Roy,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Surrey,London,2016-07-08,male,T20,0,Surrey,runs,15,0,0,0,0,AJ Finch,20,Surrey,Somerset,Somerset,field,Kennington Oval
8,1.3,AJ Finch,J Overton,0,JJ Roy,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Surrey,London,2016-07-08,male,T20,0,Surrey,runs,15,0,0,0,0,AJ Finch,20,Surrey,Somerset,Somerset,field,Kennington Oval
9,1.4,AJ Finch,J Overton,0,JJ Roy,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,London,2016-07-08,male,T20,0,Surrey,runs,15,0,0,0,0,AJ Finch,20,Surrey,Somerset,Somerset,field,Kennington Oval
10,1.5,JJ Roy,J Overton,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,London,2016-07-08,male,T20,0,Surrey,runs,15,0,0,0,0,AJ Finch,20,Surrey,Somerset,Somerset,field,Kennington Oval
11,1.6,AJ Finch,J Overton,0,JJ Roy,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,London,2016-07-08,male,T20,0,Surrey,runs,15,0,0,0,0,AJ Finch,20,Surrey,Somerset,Somerset,field,Kennington Oval
12,2.1,AJ Finch,L Gregory,0,JJ Roy,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Surrey,London,2016-07-08,male,T20,0,Surrey,runs,15,0,0,0,0,AJ Finch,20,Surrey,Somerset,Somerset,field,Kennington Oval
13,2.2,AJ Finch,L Gregory,0,JJ Roy,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Surrey,London,2016-07-08,male,T20,0,Surrey,runs,15,0,0,0,0,AJ Finch,20,Surrey,Somerset,Somerset,field,Kennington Oval
14,2.3,AJ Finch,L Gregory,0,JJ Roy,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Surrey,London,2016-07-08,male,T20,0,Surrey,runs,15,0,0,0,0,AJ Finch,20,Surrey,Somerset,Somerset,field,Kennington Oval
15,2.4,AJ Finch,L Gregory,0,JJ Roy,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,London,2016-07-08,male,T20,0,Surrey,runs,15,0,0,0,0,AJ Finch,20,Surrey,Somerset,Somerset,field,Kennington Oval
16,2.5,JJ Roy,L Gregory,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Surrey,London,2016-07-08,male,T20,0,Surrey,runs,15,0,0,0,0,AJ Finch,20,Surrey,Somerset,Somerset,field,Kennington Oval
17,2.6,JJ Roy,L Gregory,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,London,2016-07-08,male,T20,0,Surrey,runs,15,0,0,0,0,AJ Finch,20,Surrey,Somerset,Somerset,field,Kennington Oval
18,3.1,JJ Roy,JH Davey,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Surrey,London,2016-07-08,male,T20,0,Surrey,runs,15,0,0,0,0,AJ Finch,20,Surrey,Somerset,Somerset,field,Kennington Oval
19,3.2,AJ Finch,JH Davey,0,JJ Roy,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Surrey,London,2016-07-08,male,T20,0,Surrey,runs,15,0,0,0,0,AJ Finch,20,Surrey,Somerset,Somerset,field,Kennington Oval
20,3.3,AJ Finch,JH Davey,{'legbyes': 1},JJ Roy,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0.0,1.0,0,0,0,0,0,0,1,1,Surrey,London,2016-07-08,male,T20,0,Surrey,runs,15,0,0,0,0,AJ Finch,20,Surrey,Somerset,Somerset,field,Kennington Oval
21,3.4,JJ Roy,JH Davey,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Surrey,London,2016-07-08,male,T20,0,Surrey,runs,15,0,0,0,0,AJ Finch,20,Surrey,Somerset,Somerset,field,Kennington Oval
22,3.5,JJ Roy,JH Davey,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['RE van der Merwe'], 'kind': 'caught', 'player_out': 'JJ Roy'}",0.0,0.0,0.0,0,0,caught,JJ Roy,['RE van der Merwe'],0,0,0,Surrey,London,2016-07-08,male,T20,0,Surrey,runs,15,0,0,0,0,AJ Finch,20,Surrey,Somerset,Somerset,field,Kennington Oval
