,delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0,0.1,CD Nash,J Overton,{'wides': 1},LJ Wright,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Sussex,Hove,2016-06-01,male,T20,0,Sussex,runs,48,0,0,0,0,CD Nash,20,Sussex,Somerset,Somerset,field,County Ground
1,0.2,CD Nash,J Overton,0,LJ Wright,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sussex,Hove,2016-06-01,male,T20,0,Sussex,runs,48,0,0,0,0,CD Nash,20,Sussex,Somerset,Somerset,field,County Ground
2,0.3,CD Nash,J Overton,0,LJ Wright,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Sussex,Hove,2016-06-01,male,T20,0,Sussex,runs,48,0,0,0,0,CD Nash,20,Sussex,Somerset,Somerset,field,County Ground
3,0.4,LJ Wright,J Overton,0,CD Nash,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Sussex,Hove,2016-06-01,male,T20,0,Sussex,runs,48,0,0,0,0,CD Nash,20,Sussex,Somerset,Somerset,field,County Ground
4,0.5,LJ Wright,J Overton,0,CD Nash,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Sussex,Hove,2016-06-01,male,T20,0,Sussex,runs,48,0,0,0,0,CD Nash,20,Sussex,Somerset,Somerset,field,County Ground
5,0.6,CD Nash,J Overton,0,LJ Wright,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sussex,Hove,2016-06-01,male,T20,0,Sussex,runs,48,0,0,0,0,CD Nash,20,Sussex,Somerset,Somerset,field,County Ground
6,0.7,CD Nash,J Overton,0,LJ Wright,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Sussex,Hove,2016-06-01,male,T20,0,Sussex,runs,48,0,0,0,0,CD Nash,20,Sussex,Somerset,Somerset,field,County Ground
7,1.1,LJ Wright,RE van der Merwe,0,CD Nash,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Sussex,Hove,2016-06-01,male,T20,0,Sussex,runs,48,0,0,0,0,CD Nash,20,Sussex,Somerset,Somerset,field,County Ground
8,1.2,CD Nash,RE van der Merwe,0,LJ Wright,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Sussex,Hove,2016-06-01,male,T20,0,Sussex,runs,48,0,0,0,0,CD Nash,20,Sussex,Somerset,Somerset,field,County Ground
9,1.3,CD Nash,RE van der Merwe,0,LJ Wright,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Sussex,Hove,2016-06-01,male,T20,0,Sussex,runs,48,0,0,0,0,CD Nash,20,Sussex,Somerset,Somerset,field,County Ground
